feature_name,row_count,non_null_count,weekly_non_null_count,status
ret20,1101821,1078138,218677,present
ret5,1101821,1087898,220656,present
ma20,1101821,1072375,217430,present
avg_money20_D,1101821,1072375,217430,present
rank_pct_ret20,1101821,85817,85817,present
