canonical_unit_id,horizon,split,primary_comparator_scope,event_count
r02_simple_rs20_continuation_natural_exit_v0,H10,robustness,same_liquidity_only,1170
r02_simple_rs20_continuation_natural_exit_v0,H10,train,same_day_pit_universe,783
r02_simple_rs20_continuation_natural_exit_v0,H10,train,same_liquidity_only,1200
r02_simple_rs20_continuation_natural_exit_v0,H10,validation,same_liquidity_only,1184
r02_simple_rs20_continuation_natural_exit_v0,H20,robustness,same_liquidity_only,1123
r02_simple_rs20_continuation_natural_exit_v0,H20,train,same_day_pit_universe,783
r02_simple_rs20_continuation_natural_exit_v0,H20,train,same_liquidity_only,1138
r02_simple_rs20_continuation_natural_exit_v0,H20,validation,same_liquidity_only,1148
r02_simple_rs20_continuation_natural_exit_v0,H5,robustness,same_liquidity_only,1196
r02_simple_rs20_continuation_natural_exit_v0,H5,train,same_day_pit_universe,755
r02_simple_rs20_continuation_natural_exit_v0,H5,train,same_liquidity_only,1286
r02_simple_rs20_continuation_natural_exit_v0,H5,validation,same_liquidity_only,1205
