canonical_unit_id,horizon,split,blocked_reason,blocked_count,signal_event_count,blocked_share
r02_simple_rs20_continuation_natural_exit_v0,H10,robustness,missing_exit_open,3,1264,0.0023734177215189874
r02_simple_rs20_continuation_natural_exit_v0,H10,robustness,not_universe_member,56,1264,0.04430379746835443
r02_simple_rs20_continuation_natural_exit_v0,H10,robustness,split_boundary,35,1264,0.027689873417721517
r02_simple_rs20_continuation_natural_exit_v0,H10,train,missing_exit_open,9,2193,0.004103967168262654
r02_simple_rs20_continuation_natural_exit_v0,H10,train,missing_open,1,2193,0.00045599635202918376
r02_simple_rs20_continuation_natural_exit_v0,H10,train,not_universe_member,141,2193,0.06429548563611491
r02_simple_rs20_continuation_natural_exit_v0,H10,train,split_boundary,59,2193,0.026903784769721842
r02_simple_rs20_continuation_natural_exit_v0,H10,validation,missing_exit_open,1,1277,0.0007830853563038371
r02_simple_rs20_continuation_natural_exit_v0,H10,validation,not_universe_member,63,1277,0.04933437744714174
r02_simple_rs20_continuation_natural_exit_v0,H10,validation,split_boundary,29,1277,0.022709475332811275
r02_simple_rs20_continuation_natural_exit_v0,H20,robustness,missing_exit_open,1,1264,0.0007911392405063291
r02_simple_rs20_continuation_natural_exit_v0,H20,robustness,not_universe_member,63,1264,0.049841772151898736
r02_simple_rs20_continuation_natural_exit_v0,H20,robustness,split_boundary,77,1264,0.06091772151898734
r02_simple_rs20_continuation_natural_exit_v0,H20,train,missing_exit_open,4,2193,0.001823985408116735
r02_simple_rs20_continuation_natural_exit_v0,H20,train,missing_open,1,2193,0.00045599635202918376
r02_simple_rs20_continuation_natural_exit_v0,H20,train,not_universe_member,172,2193,0.0784313725490196
r02_simple_rs20_continuation_natural_exit_v0,H20,train,split_boundary,95,2193,0.04331965344277246
r02_simple_rs20_continuation_natural_exit_v0,H20,validation,not_universe_member,79,1277,0.06186374314800313
r02_simple_rs20_continuation_natural_exit_v0,H20,validation,split_boundary,50,1277,0.03915426781519186
r02_simple_rs20_continuation_natural_exit_v0,H5,robustness,missing_exit_open,2,1264,0.0015822784810126582
r02_simple_rs20_continuation_natural_exit_v0,H5,robustness,not_universe_member,42,1264,0.03322784810126582
r02_simple_rs20_continuation_natural_exit_v0,H5,robustness,split_boundary,24,1264,0.0189873417721519
r02_simple_rs20_continuation_natural_exit_v0,H5,train,missing_exit_open,1,2193,0.00045599635202918376
r02_simple_rs20_continuation_natural_exit_v0,H5,train,missing_open,1,2193,0.00045599635202918376
r02_simple_rs20_continuation_natural_exit_v0,H5,train,not_universe_member,110,2193,0.050159598723210214
r02_simple_rs20_continuation_natural_exit_v0,H5,train,split_boundary,40,2193,0.01823985408116735
r02_simple_rs20_continuation_natural_exit_v0,H5,validation,not_universe_member,51,1277,0.039937353171495694
r02_simple_rs20_continuation_natural_exit_v0,H5,validation,split_boundary,21,1277,0.01644479248238058
