canonical_unit_id,horizon,split,mean_net_return,median_net_return,p10_net_return,loss_rate,absolute_positive
r02_simple_rs20_continuation_natural_exit_v0,H5,train,-0.0075159641751154855,-0.011802802578222638,-0.08612763439848126,0.5987261146496815,False
r02_simple_rs20_continuation_natural_exit_v0,H5,validation,-0.015526236631941174,-0.02017591865809465,-0.07459837011964496,0.6614107883817427,False
r02_simple_rs20_continuation_natural_exit_v0,H5,robustness,-0.00852901010078079,-0.012997702737119254,-0.07006272798096591,0.6254180602006689,False
r02_simple_rs20_continuation_natural_exit_v0,H10,train,-0.001901890339912115,-0.009647184702193834,-0.10337781398260278,0.5471507816439738,False
r02_simple_rs20_continuation_natural_exit_v0,H10,validation,-0.01543195581470847,-0.02475960249606307,-0.10037466192005018,0.6570945945945946,False
r02_simple_rs20_continuation_natural_exit_v0,H10,robustness,-0.003853946559400687,-0.014706529743584607,-0.08728723922859136,0.5923076923076923,False
r02_simple_rs20_continuation_natural_exit_v0,H20,train,0.005270952634263304,-0.010254265883374525,-0.12505141556186994,0.5403435710567412,False
r02_simple_rs20_continuation_natural_exit_v0,H20,validation,-0.016473634186634573,-0.024855930360170475,-0.1308648710940515,0.6341463414634146,False
r02_simple_rs20_continuation_natural_exit_v0,H20,robustness,0.010934286208711548,-0.004895780384261972,-0.10445738646768576,0.5218165627782725,False
