horizon_sessions,split,active_state_event_n,diagnostic_carry_inside_event_n,diagnostic_carry_precision,forward_looking_caveat,allowed_for_supported_gate,frontier_status
5,all,15113,1023,0.06769006815324555,True,False,diagnostic_only
5,train,8303,604,0.07274479103938336,True,False,diagnostic_only
5,validation,2151,43,0.0199907019990702,True,False,diagnostic_only
5,robustness,4659,375,0.08048937540244688,True,False,diagnostic_only
10,all,15113,1045,0.06914576854363792,True,False,diagnostic_only
10,train,8303,610,0.07346742141394677,True,False,diagnostic_only
10,validation,2151,43,0.0199907019990702,True,False,diagnostic_only
10,robustness,4659,391,0.08392358875295128,True,False,diagnostic_only
20,all,15113,1122,0.07424071991001124,True,False,diagnostic_only
20,train,8303,654,0.07876671082741178,True,False,diagnostic_only
20,validation,2151,45,0.02092050209205021,True,False,diagnostic_only
20,robustness,4659,422,0.09057737711955355,True,False,diagnostic_only
40,all,15113,1305,0.0863495004300933,True,False,diagnostic_only
40,train,8303,736,0.0886426592797784,True,False,diagnostic_only
40,validation,2151,54,0.02510460251046025,True,False,diagnostic_only
40,robustness,4659,514,0.11032410388495385,True,False,diagnostic_only
60,all,15113,1469,0.09720108515847284,True,False,diagnostic_only
60,train,8303,816,0.09827773094062386,True,False,diagnostic_only
60,validation,2151,56,0.02603440260344026,True,False,diagnostic_only
60,robustness,4659,596,0.1279244473062889,True,False,diagnostic_only
