frontier_id,score_feature,split,bucket_id,bucket_fraction,event_n,event_inside_window_n,low_to_high_precision,episode_recall_low_to_high,bad_side_10_20_rate,precision_lift_vs_C0_risk_on_baseline,precision_lift_vs_R_core_risk_on_baseline,frontier_status
family_only_frontier,family_prior_train_badside_rate,all,top10,0.1,3474,207,0.05958549222797927,0.397196261682243,0.3946459412780656,0.8872074325531535,0.8525266290425101,ok
family_only_frontier,family_prior_train_badside_rate,all,top20,0.2,3474,207,0.05958549222797927,0.397196261682243,0.3946459412780656,0.8872074325531535,0.8525266290425101,ok
family_only_frontier,family_prior_train_badside_rate,train,top10,0.1,1902,130,0.0683491062039958,0.4533333333333333,0.443217665615142,0.9426953966973042,0.8844896417029947,ok
family_only_frontier,family_prior_train_badside_rate,train,top20,0.2,1902,130,0.0683491062039958,0.4533333333333333,0.443217665615142,0.9426953966973042,0.8844896417029947,ok
family_only_frontier,family_prior_train_badside_rate,validation,top10,0.1,441,6,0.013605442176870748,0.22727272727272727,0.3945578231292517,0.6805885144755576,0.8085260770975056,ok
family_only_frontier,family_prior_train_badside_rate,validation,top20,0.2,441,6,0.013605442176870748,0.22727272727272727,0.3945578231292517,0.6805885144755576,0.8085260770975056,ok
family_only_frontier,family_prior_train_badside_rate,robustness,top10,0.1,1131,71,0.0627763041556145,0.34806629834254144,0.3129973474801061,0.7904724353000214,0.7692864476500366,ok
family_only_frontier,family_prior_train_badside_rate,robustness,top20,0.2,1131,71,0.0627763041556145,0.34806629834254144,0.3129973474801061,0.7904724353000214,0.7692864476500366,ok
freshness_decay_only_frontier,freshness_decay_tau_20,all,top10,0.1,1560,146,0.09358974358974359,0.29906542056074764,0.36346153846153845,1.3935190097259063,1.339046563721285,ok
freshness_decay_only_frontier,freshness_decay_tau_20,all,top20,0.2,3055,277,0.090671031096563,0.49065420560747663,0.376759410801964,1.3500603871550312,1.2972867320925534,ok
freshness_decay_only_frontier,freshness_decay_tau_20,train,top10,0.1,909,88,0.0968096809680968,0.3422222222222222,0.41474147414741475,1.3352338556114747,1.2527912183268208,ok
freshness_decay_only_frontier,freshness_decay_tau_20,train,top20,0.2,1728,164,0.09490740740740741,0.5511111111111111,0.44733796296296297,1.3089970161191091,1.2281743454288272,ok
freshness_decay_only_frontier,freshness_decay_tau_20,validation,top10,0.1,155,5,0.03225806451612903,0.18181818181818182,0.2645161290322581,1.6136534133533382,1.916989247311828,ok
freshness_decay_only_frontier,freshness_decay_tau_20,validation,top20,0.2,315,9,0.02857142857142857,0.2727272727272727,0.2920634920634921,1.4292358803986709,1.6979047619047618,ok
freshness_decay_only_frontier,freshness_decay_tau_20,robustness,top10,0.1,496,53,0.10685483870967742,0.2596685082872928,0.3004032258064516,1.345504577157803,1.3094427967823192,ok
freshness_decay_only_frontier,freshness_decay_tau_20,robustness,top20,0.2,1012,104,0.10276679841897234,0.4419889502762431,0.2826086956521739,1.2940284157675461,1.2593462828924444,ok
density_only_frontier,same_day_c0_event_count_all,all,top10,0.1,1777,139,0.07822172200337647,0.2780373831775701,0.3899831176139561,1.1646944676226882,1.1191667381431047,ok
density_only_frontier,same_day_c0_event_count_all,all,top20,0.2,3550,285,0.08028169014084507,0.4953271028037383,0.37380281690140843,1.1953666828557552,1.1486399811508456,ok
density_only_frontier,same_day_c0_event_count_all,train,top10,0.1,865,73,0.08439306358381503,0.27555555555555555,0.44739884393063584,1.1639794135156414,1.0921107051302268,ok
