feature_name,feature_group,feature_availability_time,allowed_for_primary_model,diagnostic_only,pit_status,forbidden_name_pattern_flag,feature_status
event_t0_pos,event_native,event_t0_close,True,False,pass,False,available
source_arm_is_c0,population_audit,event_t0_close,False,True,pass,False,available
source_arm_is_r_core,population_audit,event_t0_close,False,True,pass,False,available
triggered_family_count,event_native,event_t0_close,True,False,pass,False,available
triggered_family_ge2,event_native,event_t0_close,True,False,pass,False,available
canonical_priority,event_native,event_t0_close,True,False,pass,False,available
raw_instance_count_collapsed,event_native,event_t0_close,True,False,pass,False,available
primary_family_is_B1,event_native,event_t0_close,True,False,pass,False,available
has_B1_trigger,event_native,event_t0_close,True,False,pass,False,available
primary_family_is_B2,event_native,event_t0_close,True,False,pass,False,available
has_B2_trigger,event_native,event_t0_close,True,False,pass,False,available
primary_family_is_B3,event_native,event_t0_close,True,False,pass,False,available
has_B3_trigger,event_native,event_t0_close,True,False,pass,False,available
primary_family_is_B4,event_native,event_t0_close,True,False,pass,False,available
has_B4_trigger,event_native,event_t0_close,True,False,pass,False,available
primary_family_is_B5,event_native,event_t0_close,True,False,pass,False,available
has_B5_trigger,event_native,event_t0_close,True,False,pass,False,available
primary_family_is_B6,event_native,event_t0_close,True,False,pass,False,available
has_B6_trigger,event_native,event_t0_close,True,False,pass,False,available
primary_family_is_B8,event_native,event_t0_close,True,False,pass,False,available
has_B8_trigger,event_native,event_t0_close,True,False,pass,False,available
ret_5d,pre_event_path,event_t0_close,True,False,pass,False,available
ret_10d,pre_event_path,event_t0_close,True,False,pass,False,available
ret_20d,pre_event_path,event_t0_close,True,False,pass,False,available
ret_60d,pre_event_path,event_t0_close,True,False,pass,False,available
volatility_20d,pre_event_path,event_t0_close,True,False,pass,False,available
volatility_60d,pre_event_path,event_t0_close,True,False,pass,False,available
distance_to_20d_high,pre_event_path,event_t0_close,True,False,pass,False,available
distance_to_60d_high,pre_event_path,event_t0_close,True,False,pass,False,available
distance_to_120d_high,pre_event_path,event_t0_close,True,False,pass,False,available
distance_to_20d_low,pre_event_path,event_t0_close,True,False,pass,False,available
distance_to_60d_low,pre_event_path,event_t0_close,True,False,pass,False,available
distance_to_120d_low,pre_event_path,event_t0_close,True,False,pass,False,available
turnover_zscore_20d,volume_acceleration_decay,event_t0_close,True,False,pass,False,available
volume_zscore_20d,volume_acceleration_decay,event_t0_close,False,True,pass,False,available
gap_open_prev_day,event_native,event_t0_close,True,False,pass,False,available
trend_ma_5_20_spread,pre_event_path,event_t0_close,True,False,pass,False,available
trend_ma_20_60_spread,pre_event_path,event_t0_close,True,False,pass,False,available
max_drawdown_20d,pre_event_path,event_t0_close,True,False,pass,False,available
rebound_from_20d_low,event_native,event_t0_close,True,False,pass,False,available
max_drawdown_60d,pre_event_path,event_t0_close,True,False,pass,False,available
rebound_from_60d_low,event_native,event_t0_close,True,False,pass,False,available
return_sign_entropy_20d,entropy_path_disorder,event_t0_close,True,False,pass,False,available
binned_return_entropy_20d,entropy_path_disorder,event_t0_close,True,False,pass,False,available
up_down_transition_entropy_20d,entropy_path_disorder,event_t0_close,True,False,pass,False,available
gaussian_return_entropy_20d,entropy_path_disorder,event_t0_close,False,True,pass,False,available
return_sign_entropy_60d,entropy_path_disorder,event_t0_close,True,False,pass,False,available
