model_id,model_family,split,bucket_id,bucket_fraction,event_n,event_inside_window_n,low_to_high_precision,top10_low_to_high_precision,top20_low_to_high_precision,episode_recall_low_to_high,top20_episode_recall_low_to_high,bad_side_10_20_rate,top20_bad_side_10_20_rate,precision_lift_vs_C0_risk_on_baseline,precision_lift_vs_R_core_risk_on_baseline,precision_lift_vs_best_non_model_baseline,train_reference_top10_threshold,train_reference_top20_threshold,rank_monotonicity_status,threshold_freeze_gate_pass,frontier_status
logistic_regression_l2,logistic_regression_l2,all,top10,0.1,6156,544,0.08836907082521117,0.08836907082521117,,0.6308411214953271,,0.302956465237167,,1.3157849924940064,1.2643511573923103,0.963029363080586,0.16020987859547492,0.11763673830711936,pass,True,ok
logistic_regression_l2,logistic_regression_l2,all,top20,0.2,7405,687,0.09277515192437542,,0.09277515192437542,0.7453271028037384,0.7453271028037384,0.3146522619851452,0.3146522619851452,1.381390020722252,1.3273916950518212,1.0110459987087044,0.16020987859547492,0.11763673830711936,pass,True,ok
logistic_regression_l2,logistic_regression_l2,train,top10,0.1,831,170,0.2045728038507822,0.2045728038507822,,0.4311111111111111,,0.42839951865222625,,2.8215415122475824,2.647328341648119,2.0866425992779782,0.16020987859547492,0.11763673830711936,pass,True,ok
logistic_regression_l2,logistic_regression_l2,train,top20,0.2,1661,303,0.18242022877784467,,0.18242022877784467,0.64,0.64,0.4292594822396147,0.4292594822396147,2.516005248409376,2.3606570992973928,1.8606863335340156,0.16020987859547492,0.11763673830711936,pass,True,ok
logistic_regression_l2,logistic_regression_l2,validation,top10,0.1,1274,25,0.019623233908948195,0.019623233908948195,,0.5909090909090909,,0.32731554160125587,,0.981618049724362,1.1661433804290946,0.6868131868131868,0.16020987859547492,0.11763673830711936,weak,True,ok
logistic_regression_l2,logistic_regression_l2,validation,top20,0.2,1557,29,0.018625561978163133,,0.018625561978163133,0.6363636363636364,0.6363636363636364,0.30892742453436095,0.30892742453436095,0.9317112515122999,1.106855063155641,0.6518946692357097,0.16020987859547492,0.11763673830711936,weak,True,ok
logistic_regression_l2,logistic_regression_l2,robustness,top10,0.1,4051,349,0.08615156751419403,0.08615156751419403,,0.8839779005524862,,0.2695630708467045,,1.0848112244557566,1.0557364633666348,0.7787828206243413,0.16020987859547492,0.11763673830711936,pass,True,ok
logistic_regression_l2,logistic_regression_l2,robustness,top20,0.2,4187,355,0.08478624313350848,,0.08478624313350848,0.8895027624309392,0.8895027624309392,0.2713159780272271,0.2713159780272271,1.0676192074567998,1.039005221270828,0.7664407216592553,0.16020987859547492,0.11763673830711936,pass,True,ok
logistic_regression_l1,logistic_regression_l1,all,top10,0.1,6099,542,0.08886702738153796,0.08886702738153796,,0.6308411214953271,,0.3016888014428595,,1.323199393908555,1.2714757309839932,0.9684559991287311,0.1606236750556297,0.11784488290836959,pass,True,ok
logistic_regression_l1,logistic_regression_l1,all,top20,0.2,7362,685,0.0930453681064928,,0.0930453681064928,0.7406542056074766,0.7406542056074766,0.3128226025536539,0.3128226025536539,1.385413446495986,1.331257845724402,1.0139907633795164,0.1606236750556297,0.11784488290836959,pass,True,ok
logistic_regression_l1,logistic_regression_l1,train,top10,0.1,831,174,0.20938628158844766,0.20938628158844766,,0.44,,0.4259927797833935,,2.8879307243004666,2.7096184202751337,2.135740072202166,0.1606236750556297,0.11784488290836959,pass,True,ok
logistic_regression_l1,logistic_regression_l1,train,top20,0.2,1661,303,0.18242022877784467,,0.18242022877784467,0.6355555555555555,0.6355555555555555,0.42323901264298613,0.42323901264298613,2.516005248409376,2.3606570992973928,1.8606863335340156,0.1606236750556297,0.11784488290836959,pass,True,ok
logistic_regression_l1,logistic_regression_l1,validation,top10,0.1,1266,23,0.018167456556082148,0.018167456556082148,,0.5909090909090909,,0.3285939968404423,,0.9087953267937836,1.0796313849394417,0.6358609794628752,0.1606236750556297,0.11784488290836959,weak,True,ok
logistic_regression_l1,logistic_regression_l1,validation,top20,0.2,1546,28,0.018111254851228976,,0.018111254851228976,0.6363636363636364,0.6363636363636364,0.3072445019404916,0.3072445019404916,0.9059839345347331,1.076291504959034,0.6338939197930142,0.1606236750556297,0.11784488290836959,weak,True,ok
logistic_regression_l1,logistic_regression_l1,robustness,top10,0.1,4002,345,0.08620689655172414,0.08620689655172414,,0.8729281767955801,,0.2673663168415792,,1.0855079217148182,1.056414487970121,0.7792829775588397,0.1606236750556297,0.11784488290836959,pass,True,ok
logistic_regression_l1,logistic_regression_l1,robustness,top20,0.2,4155,354,0.0851985559566787,,0.0851985559566787,0.8839779005524862,0.8839779005524862,0.27075812274368233,0.27075812274368233,1.0728110059518001,1.0440578708545136,0.7701678986877543,0.1606236750556297,0.11784488290836959,pass,True,ok
shallow_decision_tree_max_depth_3,shallow_decision_tree_max_depth_3,all,top10,0.1,3670,495,0.13487738419618528,0.13487738419618528,,0.6144859813084113,,0.4438692098092643,,2.0082777412383725,1.9297744699816657,1.4698681358022234,0.17705882352941177,0.17705882352941177,pass,True,ok
shallow_decision_tree_max_depth_3,shallow_decision_tree_max_depth_3,all,top20,0.2,3670,495,0.13487738419618528,,0.13487738419618528,0.6144859813084113,0.6144859813084113,0.4438692098092643,0.4438692098092643,2.0082777412383725,1.9297744699816657,1.4698681358022234,0.17705882352941177,0.17705882352941177,pass,True,ok
