feature_name,feature_group,feature_availability_time,pit_status,allowed_for_primary_model,coverage_rate,notes
event_t0_pos,event_native,event_t0_close,pass,True,1.0,
source_arm_is_c0,population_audit,event_t0_close,pass,False,1.0,
source_arm_is_r_core,population_audit,event_t0_close,pass,False,1.0,
triggered_family_count,event_native,event_t0_close,pass,True,1.0,
triggered_family_ge2,event_native,event_t0_close,pass,True,1.0,
canonical_priority,event_native,event_t0_close,pass,True,1.0,
raw_instance_count_collapsed,event_native,event_t0_close,pass,True,1.0,
primary_family_is_B1,event_native,event_t0_close,pass,True,1.0,
has_B1_trigger,event_native,event_t0_close,pass,True,1.0,
primary_family_is_B2,event_native,event_t0_close,pass,True,1.0,
has_B2_trigger,event_native,event_t0_close,pass,True,1.0,
primary_family_is_B3,event_native,event_t0_close,pass,True,1.0,
has_B3_trigger,event_native,event_t0_close,pass,True,1.0,
primary_family_is_B4,event_native,event_t0_close,pass,True,1.0,
has_B4_trigger,event_native,event_t0_close,pass,True,1.0,
primary_family_is_B5,event_native,event_t0_close,pass,True,1.0,
has_B5_trigger,event_native,event_t0_close,pass,True,1.0,
primary_family_is_B6,event_native,event_t0_close,pass,True,1.0,
has_B6_trigger,event_native,event_t0_close,pass,True,1.0,
primary_family_is_B8,event_native,event_t0_close,pass,True,1.0,
has_B8_trigger,event_native,event_t0_close,pass,True,1.0,
ret_5d,pre_event_path,event_t0_close,pass,True,1.0,
ret_10d,pre_event_path,event_t0_close,pass,True,1.0,
ret_20d,pre_event_path,event_t0_close,pass,True,1.0,
ret_60d,pre_event_path,event_t0_close,pass,True,1.0,
volatility_20d,pre_event_path,event_t0_close,pass,True,1.0,
volatility_60d,pre_event_path,event_t0_close,pass,True,1.0,
distance_to_20d_high,pre_event_path,event_t0_close,pass,True,1.0,
distance_to_60d_high,pre_event_path,event_t0_close,pass,True,1.0,
distance_to_120d_high,pre_event_path,event_t0_close,pass,True,1.0,
distance_to_20d_low,pre_event_path,event_t0_close,pass,True,1.0,
distance_to_60d_low,pre_event_path,event_t0_close,pass,True,1.0,
distance_to_120d_low,pre_event_path,event_t0_close,pass,True,1.0,
turnover_zscore_20d,volume_acceleration_decay,event_t0_close,pass,True,1.0,
