artifact_id,relative_path,resolved_path,required_flag,read_status,schema_status,exists,row_count,column_count,sha256,mtime_utc,notes
requirement,requirement_12a4_state_change_meta_label_filter_feasibility.md,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/requirement_12a4_state_change_meta_label_filter_feasibility.md,True,pass,not_applicable,True,,,5175a8ea7a8b5551a3468649dda917666ffe34c201c63f3812829209fa69b2ef,2026-06-19T06:23:36.103221+00:00,
backbone_frontier_decision,outputs/publishable/tables/12A3_episode_precision_recall_frontier/backbone_frontier_decision.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A3_episode_precision_recall_frontier/backbone_frontier_decision.csv,True,pass,pass,True,1.0,56.0,8e41f0eab4681ada1f649fa23d987c7f245a25a093d74758e7dbe9c433782d31,2026-06-19T03:53:57.595139+00:00,
backbone_episode_recall_precision_frontier,outputs/publishable/tables/12A3_episode_precision_recall_frontier/backbone_episode_recall_precision_frontier.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A3_episode_precision_recall_frontier/backbone_episode_recall_precision_frontier.csv,True,pass,pass,True,204.0,69.0,639f734f5112190350ab98c6f36bf6aaf827103fb6b925afae8c76202cf1922e,2026-06-19T03:53:57.272770+00:00,
backbone_event_timing_distribution,outputs/publishable/tables/12A3_episode_precision_recall_frontier/backbone_event_timing_distribution.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A3_episode_precision_recall_frontier/backbone_event_timing_distribution.csv,True,pass,pass,True,408.0,18.0,81af6e105d9d07f361a75ecc4ea590529a9df30d297956f3122724882ef6f0a0,2026-06-19T03:53:57.275081+00:00,
backbone_captured_episode_density,outputs/publishable/tables/12A3_episode_precision_recall_frontier/backbone_captured_episode_density.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A3_episode_precision_recall_frontier/backbone_captured_episode_density.csv,True,pass,pass,True,43656.0,27.0,265e71677a4c2679357f039ddf5b0681dfcebb27974260518a9baf81756d0a12,2026-06-19T03:53:57.476719+00:00,
backbone_frontier_slice_readout,outputs/publishable/tables/12A3_episode_precision_recall_frontier/backbone_frontier_slice_readout.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A3_episode_precision_recall_frontier/backbone_frontier_slice_readout.csv,True,pass,pass,True,1334.0,21.0,26f7e495c5cd7ee3e6e8ffed8a46aad0ebe3b8c5e6451b7016c05adb501daf26,2026-06-19T03:53:57.593914+00:00,
backbone_missed_episode_diagnostics,outputs/publishable/tables/12A3_episode_precision_recall_frontier/backbone_missed_episode_diagnostics.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A3_episode_precision_recall_frontier/backbone_missed_episode_diagnostics.csv,True,pass,pass,True,16356.0,28.0,57b062deefa86d581960697f3431fc6787a2c95995c9d2391cf634e79e7cfdb6,2026-06-19T03:53:57.580297+00:00,
backbone_b8_incremental_episode_recall,outputs/publishable/tables/12A3_episode_precision_recall_frontier/backbone_b8_incremental_episode_recall.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A3_episode_precision_recall_frontier/backbone_b8_incremental_episode_recall.csv,True,pass,pass,True,12.0,20.0,2aa7f4fbb0335f6f0972a6daa471bca927a19b2f4362e20c192850da78389037,2026-06-19T03:53:57.582301+00:00,
backbone_event_label_exposure,outputs/publishable/tables/12A3_episode_precision_recall_frontier/backbone_event_label_exposure.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A3_episode_precision_recall_frontier/backbone_event_label_exposure.csv,True,pass,pass,True,68.0,34.0,aebee095688e896c34c80aa927c869483cd5969150c4f0f37abf87fa866f24ff,2026-06-19T03:53:57.583269+00:00,
state_change_label_recompute_parity_audit,outputs/publishable/tables/12A3_episode_precision_recall_frontier/state_change_label_recompute_parity_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A3_episode_precision_recall_frontier/state_change_label_recompute_parity_audit.csv,True,pass,pass,True,6.0,24.0,50a1e8860057ed04c48b1a567b0fc3d667c79a525390b4b94a66d29363790950,2026-06-19T03:53:57.594727+00:00,
