model_id,model_family,fit_status,feature_n,allowed_for_supported_gate,threshold_selection_source,imputation_policy,imputation_medians_hash,feature_list_hash
logistic_regression_l2,logistic_regression_l2,fit,89,True,train_internal_cv,train_median,0acebc5c6eecca2b3ef0972390795590f5658c4f3013add37fff60f512b904c7,c47712444da50e5a13b567dcb2559d3be5bd27d261bab3a635bbdfbb7145b885
logistic_regression_l1,logistic_regression_l1,fit,89,True,train_internal_cv,train_median,0acebc5c6eecca2b3ef0972390795590f5658c4f3013add37fff60f512b904c7,c47712444da50e5a13b567dcb2559d3be5bd27d261bab3a635bbdfbb7145b885
shallow_decision_tree_max_depth_3,shallow_decision_tree_max_depth_3,fit,89,True,train_internal_cv,train_median,0acebc5c6eecca2b3ef0972390795590f5658c4f3013add37fff60f512b904c7,c47712444da50e5a13b567dcb2559d3be5bd27d261bab3a635bbdfbb7145b885
scorecard_quantile_binning,scorecard_quantile_binning,fit,89,True,train_internal_cv,train_median,0acebc5c6eecca2b3ef0972390795590f5658c4f3013add37fff60f512b904c7,c47712444da50e5a13b567dcb2559d3be5bd27d261bab3a635bbdfbb7145b885
