source_arm_id,market_regime_bucket,split,excluded_event_n,exclusion_reason
C0_state_change,risk_off,robustness,1227,non_risk_on_scope
C0_state_change,risk_off,train,2933,non_risk_on_scope
C0_state_change,risk_off,validation,1983,non_risk_on_scope
C0_state_change,transition,robustness,1385,non_risk_on_scope
C0_state_change,transition,train,3324,non_risk_on_scope
C0_state_change,transition,validation,2726,non_risk_on_scope
C0_state_change,risk_off,all_raw,6143,raw_regime_count_reference
C0_state_change,risk_on,all_raw,15113,raw_regime_count_reference
C0_state_change,transition,all_raw,7435,raw_regime_count_reference
R_core,transition,robustness,3225,r_core_non_risk_on_scope
R_core,transition,train,7689,r_core_non_risk_on_scope
R_core,transition,validation,6210,r_core_non_risk_on_scope
