feature_group,eval_split,train_max_event_t0_date,eval_min_event_t0_date,split_time_boundary_gate_pass,primary_model_allowed_status
family_prior_train_rates,validation,2021-12-31,2022-01-04,True,allowed
family_prior_train_rates,robustness,2021-12-31,2024-03-01,True,allowed
