split,regime_scope,event_n,event_inside_window_n,low_to_high_event_inside_n,low_to_high_precision,low_to_high_event_precision,target_low_to_high_precision,pre120_event_precision,outside_episode_event_rate,captured_episode_n,eligible_episode_n,episode_recall_low_to_high,event_density_mean,same_instrument_10d_duplicate_rate,bad_side_10_20_rate,winner_120d_rate,label_20d_complete_rate,source_arm_id,baseline_status
all,risk_on,15113,1015,1015,0.06716072255673923,0.06716072255673923,0.06716072255673923,0.06577119036591014,0.9328392774432608,402,428,0.9392523364485982,11.536641221374046,0.058625024813074834,0.3403030503539999,0.16649020645844362,1.0,C0_state_change,ok
train,risk_on,8303,602,602,0.07250391424786222,0.07250391424786222,0.07250391424786222,0.060098759484523666,0.9274960857521378,215,225,0.9555555555555556,8.498464687819856,0.06371191135734072,0.38455979766349513,0.17054076839696494,1.0,C0_state_change,ok
validation,risk_on,2151,43,43,0.0199907019990702,0.0199907019990702,0.0199907019990702,0.018596001859600187,0.9800092980009298,19,22,0.8636363636363636,3.371473354231975,0.03951650395165039,0.297536029753603,0.06415620641562064,1.0,C0_state_change,ok
robustness,risk_on,4659,370,370,0.07941618373041426,0.07941618373041426,0.07941618373041426,0.09766044215496887,0.9205838162695857,168,181,0.9281767955801105,6.356070941336971,0.05795235028976175,0.2811762180725478,0.20652640618291113,1.0,C0_state_change,ok
all,risk_on,30790,2152,2152,0.06989282234491719,0.06989282234491719,0.06989282234491719,0.07239363429684963,0.9301071776550828,401,428,0.9369158878504673,22.74002954209749,0.5443000974342319,0.37382266969795386,0.17213888256158277,1.0,R_core,ok
train,risk_on,16603,1283,1283,0.07727519123050051,0.07727519123050051,0.07727519123050051,0.06836113955309281,0.9227248087694995,221,225,0.9822222222222222,16.357635467980295,0.5597181232307414,0.42034572065289405,0.17910808038138917,1.0,R_core,ok
validation,risk_on,4457,75,75,0.016827462418667265,0.016827462418667265,0.016827462418667265,0.017949293246578416,0.9831725375813327,20,22,0.9090909090909091,6.662182361733931,0.4722907785505946,0.3143369979807045,0.06689113355780023,1.0,R_core,ok
robustness,risk_on,9730,794,794,0.0816032887975334,0.0816032887975334,0.0816032887975334,0.10421377183967112,0.9183967112024666,160,181,0.8839779005524862,12.802631578947368,0.5467625899280576,0.32168550873586843,0.2085522926326636,1.0,R_core,ok
