fit_id,model_family_id,feature_set_id,fit_split_scope,artifact_relative_path,artifact_sha256,artifact_filename,fit_row_n,fit_month_n,fit_max_label_decision_date,status
selected_full_refit,M1_RIDGE_RANK_REGRESSION,full16,train+validation,models/selected_full_refit/coefficients.csv,55ed37984b15db7513549218c8ac8e42b7dcfd590e14baa84fc07d34987b2570,coefficients.csv,15737,42,2024-06-28,pass
A1_p4_path_only_refit,M1_RIDGE_RANK_REGRESSION,A1_p4_path,train+validation,models/A1_p4_path_only_refit/coefficients.csv,901cdb441cb1c0ed15472e077cf825f10f6e6287240e72c0ad146c3caf919d49,coefficients.csv,15737,42,2024-06-28,pass
A2_cross_signals_without_p4_refit,M1_RIDGE_RANK_REGRESSION,A2_cross_signals,train+validation,models/A2_cross_signals_without_p4_refit/coefficients.csv,3f74ea1f8b033133884542cff336397b3e03ff4f1bb1baa2414f63c7cdc45c14,coefficients.csv,15737,42,2024-06-28,pass
M1_candidate_train,M1_RIDGE_RANK_REGRESSION,full16,train,selection/models/M1_candidate_train/coefficients.csv,a6cd03534b7d9e2692ec131fa72226c98cd9225eee3adc21269372139f471e7d,coefficients.csv,10631,30,2023-06-30,pass
M2_candidate_train,M2_LIGHTGBM_LAMBDARANK,full16,train,selection/models/M2_candidate_train/model.txt,23aecc5e64af4f51eafcc6d8dd010d89e88330d416643b40e6e6f60e4adfebbb,model.txt,10631,30,2023-06-30,pass
