source_pool,model_id,threshold_id,split,pit_transition_context,transition_outcome_label,transition_outcome_direction,selection_bucket,event_n,unique_segment_n,horizon_complete_event_n,cost_bad_10_20_rate,fast_fail_bad_10d_rate,false_repair_bad_20d_rate,readout_only_not_used_for_training
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,validation,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,all_prefilter,1033,4,1033,0.40174249757986447,0.26137463697967084,0.38915779283639884,True
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,validation,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,selected,821,4,821,0.34348355663824603,0.2046285018270402,0.33617539585870887,True
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,validation,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,rejected,212,4,212,0.6273584905660378,0.4811320754716981,0.5943396226415094,True
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,robustness,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,all_prefilter,1111,5,1110,0.345045045045045,0.17927927927927928,0.3333333333333333,True
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,robustness,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,selected,851,5,850,0.3,0.1423529411764706,0.28941176470588237,True
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,robustness,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,rejected,260,5,260,0.49230769230769234,0.3,0.47692307692307695,True
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,robustness,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,all_prefilter,1364,3,1362,0.24155653450807635,0.15051395007342144,0.21659324522760645,True
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,robustness,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,selected,918,3,918,0.1503267973856209,0.0784313725490196,0.1318082788671024,True
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,robustness,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,rejected,446,3,444,0.43018018018018017,0.29954954954954954,0.3918918918918919,True
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,robustness,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,all_prefilter,2303,17,2302,0.15030408340573415,0.10729800173761946,0.12814943527367506,True
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,robustness,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,selected,1630,17,1630,0.1116564417177914,0.0754601226993865,0.09202453987730061,True
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,robustness,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,rejected,673,17,672,0.24404761904761904,0.18452380952380953,0.21577380952380953,True
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,robustness,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,all_prefilter,829,2,829,0.3606755126658625,0.218335343787696,0.3474065138721351,True
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,robustness,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,selected,653,2,653,0.33078101071975496,0.19142419601837674,0.32006125574272587,True
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,robustness,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,rejected,176,2,176,0.4715909090909091,0.3181818181818182,0.44886363636363635,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,train,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,all_prefilter,2366,10,2364,0.30752961082910324,0.21023688663282572,0.2796108291032149,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,train,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,selected,1720,10,1719,0.23211169284467714,0.14136125654450263,0.20826061663758,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,train,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,rejected,646,10,645,0.5085271317829457,0.3937984496124031,0.4697674418604651,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,train,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,all_prefilter,4377,9,4375,0.22285714285714286,0.14285714285714285,0.1929142857142857,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,train,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,selected,3436,9,3435,0.16652110625909752,0.0911208151382824,0.1452692867540029,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,train,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,rejected,941,9,940,0.42872340425531913,0.33191489361702126,0.3670212765957447,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,train,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,all_prefilter,4617,25,4613,0.28072837632776937,0.19640147409494907,0.25059614133969216,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,train,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,selected,2931,25,2930,0.1552901023890785,0.10273037542662115,0.13242320819112627,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,train,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,rejected,1686,25,1683,0.49910873440285203,0.35947712418300654,0.4563279857397504,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,train,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,all_prefilter,1063,8,1061,0.49952874646559847,0.3892554194156456,0.42507068803016024,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,train,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,selected,606,8,605,0.3785123966942149,0.2694214876033058,0.30413223140495865,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,train,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,rejected,457,8,456,0.6600877192982456,0.5482456140350878,0.5855263157894737,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,validation,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,all_prefilter,2349,9,2349,0.37973605789697745,0.24946785866326096,0.351213282247765,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,validation,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,selected,1843,9,1843,0.3510580575149213,0.22083559413998916,0.32338578404774826,True
