source_pool,model_id,threshold_id,threshold_value,keep_fraction,threshold_selection_policy,selected_model_threshold_flag,before_train_horizon_complete_event_n,after_train_horizon_complete_event_n,train_reject_rate,train_fast_fail_rate_before,train_fast_fail_rate_after,train_false_repair_rate_before,train_false_repair_rate_after,train_cost_bad_rate_before,train_cost_bad_rate_after,train_cost_reduction_relative,train_any_recall_retention,train_bridge_recall_retention,train_e1_missed_capture_retention,train_post_filter_e1_missed_captured_episode_n,before_validation_horizon_complete_event_n,after_validation_horizon_complete_event_n,validation_reject_rate,validation_fast_fail_rate_before,validation_fast_fail_rate_after,validation_false_repair_rate_before,validation_false_repair_rate_after,validation_cost_bad_rate_before,validation_cost_bad_rate_after,validation_cost_reduction_relative,validation_any_recall_retention,validation_bridge_recall_retention,validation_e1_missed_capture_retention,validation_post_filter_e1_missed_captured_episode_n,before_robustness_horizon_complete_event_n,after_robustness_horizon_complete_event_n,robustness_reject_rate,robustness_fast_fail_rate_before,robustness_fast_fail_rate_after,robustness_false_repair_rate_before,robustness_false_repair_rate_after,robustness_cost_bad_rate_before,robustness_cost_bad_rate_after,robustness_cost_reduction_relative,robustness_any_recall_retention,robustness_bridge_recall_retention,robustness_e1_missed_capture_retention,robustness_post_filter_e1_missed_captured_episode_n
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0900,0.7283739005260691,0.9,train_constrained_lowest_keep_fraction_then_cost_reduction,False,12413,11171,0.10021733880705141,0.19664867477644404,0.16372750872795633,0.2507049061467816,0.21931787664488409,0.28413759767985175,0.24966430937248232,0.12132603565618846,0.9432213209733488,0.9423076923076923,0.8918918918918919,231,8808,8112,0.07911464245175936,0.19970481380563124,0.17221400394477318,0.3022252497729337,0.27527120315581854,0.3212988192552225,0.292776134122288,0.08877307796851147,0.9754385964912281,0.9518072289156626,0.92,46,5603,5039,0.10076689851970755,0.14849187935034802,0.1349474102004366,0.22273781902552203,0.20956538995832508,0.24219168302694985,0.22722762452867631,0.06178601309198719,0.9487870619946092,0.9726775956284153,0.8831168831168831,68
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0875,0.6991980429524081,0.875,train_constrained_lowest_keep_fraction_then_cost_reduction,False,12413,10861,0.1251710536907349,0.19664867477644404,0.15716784826443236,0.2507049061467816,0.21185894484854065,0.28413759767985175,0.24205874228892368,0.14809323276654102,0.93279258400927,0.9278846153846154,0.8841698841698842,229,8808,7934,0.09931895573212257,0.19970481380563124,0.1670027728762289,0.3022252497729337,0.2704814721451979,0.3212988192552225,0.2873708091756995,0.10559643561146242,0.9649122807017544,0.9518072289156626,0.92,46,5603,4902,0.1252006420545746,0.14849187935034802,0.12933496532027744,0.22273781902552203,0.20318237454100369,0.24219168302694985,0.22031823745410037,0.0903146024647573,0.9353099730458221,0.9562841530054644,0.8831168831168831,68
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0850,0.674274452274014,0.85,train_constrained_lowest_keep_fraction_then_cost_reduction,False,12413,10551,0.15020526442888193,0.19664867477644404,0.15192872713486874,0.2507049061467816,0.2058572647142451,0.28413759767985175,0.23571225476258176,0.1704291980811093,0.9223638470451911,0.9158653846153846,0.8687258687258688,225,8808,7750,0.12020431328036318,0.19970481380563124,0.1624516129032258,0.3022252497729337,0.2659354838709677,0.3212988192552225,0.2824516129032258,0.12090678217257499,0.9298245614035088,0.9156626506024096,0.9,45,5603,4773,0.1483859461387551,0.14849187935034802,0.12612612612612611,0.22273781902552203,0.1996647810601299,0.24219168302694985,0.21705426356589147,0.10379142316898313,0.9110512129380054,0.9344262295081968,0.8571428571428571,66
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0825,0.6521751853688379,0.825,train_constrained_lowest_keep_fraction_then_cost_reduction,False,12413,10240,0.17531997102149244,0.19664867477644404,0.14599609375,0.2507049061467816,0.2001953125,0.28413759767985175,0.22939453125,0.1926639307042103,0.9096176129779838,0.8990384615384616,0.8494208494208494,220,8808,7566,0.1410896708286039,0.19970481380563124,0.1584721120803595,0.3022252497729337,0.26156489558551416,0.3212988192552225,0.2779540047581285,0.1349049915513796,0.9052631578947369,0.8795180722891566,0.9,45,5603,4673,0.1662207954342786,0.14849187935034802,0.12283329766745131,0.22273781902552203,0.19730365931949498,0.24219168302694985,0.21442328268778088,0.11465464045715824,0.9002695417789758,0.912568306010929,0.8441558441558441,65
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0800,0.6314182679183988,0.8,train_constrained_lowest_keep_fraction_then_cost_reduction,False,12413,9930,0.2002736859051759,0.19664867477644404,0.14088620342396777,0.2507049061467816,0.19516616314199395,0.28413759767985175,0.22356495468277945,0.21318066842150793,0.8818076477404403,0.8798076923076923,0.7992277992277992,207,8808,7396,0.1603859250851305,0.19970481380563124,0.1534613304488913,0.3022252497729337,0.2568956192536506,0.3212988192552225,0.27285018929150895,0.15078994089059689,0.8842105263157894,0.8674698795180723,0.88,44,5603,4569,0.18476903870162298,0.14849187935034802,0.12103304880717881,0.22273781902552203,0.1943532501641497,0.24219168302694985,0.21120595316261764,0.12793886840814545,0.8975741239892183,0.912568306010929,0.8441558441558441,65
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0775,0.6125048632435056,0.775,train_constrained_lowest_keep_fraction_then_cost_reduction,False,12413,9620,0.2252274007888594,0.19664867477644404,0.1363825363825364,0.2507049061467816,0.19043659043659045,0.28413759767985175,0.2183991683991684,0.23136124827363835,0.8725376593279258,0.8653846153846154,0.7837837837837838,203,8808,7228,0.17956867196367765,0.19970481380563124,0.15038738240177088,0.3022252497729337,0.2537354731599336,0.3212988192552225,0.2689540675152186,0.16291610364874717,0.8631578947368421,0.8674698795180723,0.86,43,5603,4438,0.20813269127875866,0.14849187935034802,0.11807120324470483,0.22273781902552203,0.18995042812077512,0.24219168302694985,0.20730058584948174,0.1440639775131568,0.8787061994609164,0.9016393442622951,0.8311688311688312,64
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0750,0.5942152203551628,0.75,train_constrained_lowest_keep_fraction_then_cost_reduction,False,12413,9310,0.25018111567254286,0.19664867477644404,0.13039742212674543,0.2507049061467816,0.18474758324382384,0.28413759767985175,0.21160042964554243,0.2552888763282908,0.8539976825028969,0.8461538461538461,0.7567567567567568,196,8808,7040,0.20090805902383657,0.19970481380563124,0.146875,0.3022252497729337,0.25014204545454544,0.3212988192552225,0.26534090909090907,0.17416158046900101,0.8491228070175438,0.8674698795180723,0.86,43,5603,4305,0.2318530408418049,0.14849187935034802,0.11428571428571428,0.22273781902552203,0.18583042973286876,0.24219168302694985,0.20278745644599303,0.16269851255202733,0.8733153638814016,0.8961748633879781,0.8311688311688312,64
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0725,0.5783220261843187,0.725,train_constrained_lowest_keep_fraction_then_cost_reduction,False,12413,8999,0.2752153264106898,0.19664867477644404,0.12612512501389042,0.2507049061467816,0.1802422491387932,0.28413759767985175,0.20657850872319147,0.27296313331982536,0.8400926998841252,0.8317307692307693,0.7335907335907336,190,8808,6849,0.22258796821793414,0.19970481380563124,0.14381661556431596,0.3022252497729337,0.24762739085997956,0.3212988192552225,0.26252007592349247,0.1829410499172715,0.8350877192982457,0.8674698795180723,0.84,42,5603,4179,0.2545032994471197,0.14849187935034802,0.10983488872936109,0.22273781902552203,0.1813831060062216,0.24219168302694985,0.1974156496769562,0.1848784928961049,0.8544474393530997,0.8743169398907104,0.7922077922077922,61
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,0.5624878066021258,0.7,train_constrained_lowest_keep_fraction_then_cost_reduction,True,12413,8689,0.3001690412943734,0.19664867477644404,0.12141788468178157,0.2507049061467816,0.17389803199447576,0.28413759767985175,0.2002531936931753,0.29522458369339805,0.828505214368482,0.8221153846153846,0.7258687258687259,188,8808,6655,0.24460839954597047,0.19970481380563124,0.14079639368895566,0.3022252497729337,0.24297520661157024,0.3212988192552225,0.25755071374906086,0.19840753120080282,0.8245614035087719,0.8674698795180723,0.84,42,5603,4051,0.27733190654538964,0.14849187935034802,0.1088620093803999,0.22273781902552203,0.17921500863984202,0.24219168302694985,0.19526042952357442,0.1937773127335391,0.8328840970350404,0.8579234972677595,0.7792207792207793,60
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0900,0.746762230672116,0.9,train_constrained_lowest_keep_fraction_then_cost_reduction,False,12413,11171,0.10021733880705141,0.19664867477644404,0.16310088622325664,0.2507049061467816,0.21591621161937158,0.28413759767985175,0.2468892668516695,0.13109258025807377,0.9559675550405562,0.9591346153846154,0.9073359073359073,235,8808,8032,0.08819523269012486,0.19970481380563124,0.17368027888446216,0.3022252497729337,0.2772659362549801,0.3212988192552225,0.2958167330677291,0.07930961665704667,0.9578947368421052,0.9518072289156626,0.92,46,5603,4941,0.11824505082932046,0.14849187935034802,0.13418336369156042,0.22273781902552203,0.21028131957093707,0.24219168302694985,0.22809147945759967,0.05821918982982246,0.9272237196765498,0.9453551912568307,0.8571428571428571,66
