source_pool,model_id,threshold_id,split,pit_transition_context,before_horizon_complete_event_n,after_horizon_complete_event_n,reject_rate,cost_bad_rate_before,cost_bad_rate_after,cost_reduction_relative,fast_fail_rate_before,fast_fail_rate_after,false_repair_rate_before,false_repair_rate_after,denominator_policy
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,train,all_primary_contexts,12413,8689,0.3001690412943734,0.28413759767985175,0.2002531936931753,0.29522458369339805,0.19664867477644404,0.12141788468178157,0.2507049061467816,0.17389803199447576,same_universe_split_context_horizon_complete_before_after
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,train,transition_from_risk_on,5674,3768,0.33626760563380287,0.3216425801903419,0.22372611464968153,0.30442631533025044,0.23246387028551285,0.1454352441613588,0.28322171307719424,0.18922505307855628,same_universe_split_context_horizon_complete_before_after
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,train,transition_from_risk_off,6739,4921,0.2697612338721638,0.2525597269624573,0.18228002438528754,0.2782696331771723,0.16649354503635555,0.10302783986994514,0.22332690310135034,0.16216216216216217,same_universe_split_context_horizon_complete_before_after
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,validation,all_primary_contexts,8808,6655,0.24460839954597047,0.3212988192552225,0.25755071374906086,0.19840753120080282,0.19970481380563124,0.14079639368895566,0.3022252497729337,0.24297520661157024,same_universe_split_context_horizon_complete_before_after
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,validation,transition_from_risk_on,4766,3498,0.26635906040268453,0.3199748216533781,0.23813607775871926,0.25576619895209446,0.19765002098195553,0.12521440823327615,0.30507763323541753,0.22727272727272727,same_universe_split_context_horizon_complete_before_after
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,validation,transition_from_risk_off,4042,3157,0.21895101434933206,0.32285997031172686,0.2790624010136205,0.13565500007888573,0.20212765957446807,0.15806145074437758,0.29886194952993567,0.26037377256889455,same_universe_split_context_horizon_complete_before_after
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,robustness,all_primary_contexts,5603,4051,0.27733190654538964,0.24219168302694985,0.19526042952357442,0.1937773127335391,0.14849187935034802,0.1088620093803999,0.22273781902552203,0.17921500863984202,same_universe_split_context_horizon_complete_before_after
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,robustness,transition_from_risk_on,3131,2283,0.27107279693486586,0.20600447141488343,0.17433201927288655,0.15374643047533676,0.13669754072181411,0.10862899693385895,0.1862024912168636,0.15724923346473937,same_universe_split_context_horizon_complete_before_after
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,robustness,transition_from_risk_off,2472,1768,0.2852525252525252,0.28802588996763756,0.22228506787330315,0.22824622502414976,0.1634304207119741,0.10916289592760181,0.2690129449838188,0.207579185520362,same_universe_split_context_horizon_complete_before_after
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,train,all_primary_contexts,12413,8689,0.30024953714883684,0.28413759767985175,0.1904707100932213,0.32965326782331833,0.19664867477644404,0.11738980319944757,0.2507049061467816,0.16446081252157901,same_universe_split_context_horizon_complete_before_after
