split,event_n,horizon_complete_event_n,positive_n,label_prevalence,unique_transition_segment_n,effective_transition_segment_n,cross_split_segment_n,transition_from_risk_on_event_n,transition_from_risk_off_event_n,power_status
train,12423,12413,3527,0.28413759767985175,52,23.99367669402297,0,5680,6743,pass
validation,8810,8808,2830,0.3212988192552225,25,10.635636580589068,0,4768,4042,pass
robustness,5607,5603,1357,0.24219168302694985,27,8.713164191374487,0,3132,2475,pass
