model_id,source_pool,target_label,model_type,model_status,train_sample_n,train_positive_n,train_unique_segment_n,train_effective_segment_n,feature_count,design_feature_count,feature_columns_hash,feature_preprocessing_policy,feature_preprocessing_hash,context_collinearity_policy
transition_cost_rejector_no_context,transition_previous_regime_primary,cost_bad_10_20,logistic_regression_balanced_l2,trained,12413,3527,52,23.99367669402297,44,56,38c80be92376be2a48aa10aeacd6913e43a1a59b21e498b610d776f78ed9ab54,train_median_impute__nonnegative_log1p_selected_numeric__train_winsorize_1_99__train_zscore__categorical_train_vocab_one_hot,3f34928fb988c0fe45248a2cf3f52daeacee143563b5c343696fe36071265c39,previous_non_transition_regime=audit_only
transition_cost_rejector_prev_context,transition_previous_regime_primary,cost_bad_10_20,logistic_regression_balanced_l2,trained,12413,3527,52,23.99367669402297,50,66,bb20299d44e16fe7dcf469bf0279210e1f005a066dfcaed319e157b7abfccad8,train_median_impute__nonnegative_log1p_selected_numeric__train_winsorize_1_99__train_zscore__categorical_train_vocab_one_hot,abdaa613208aa0ed7f62b27099ee85b8e7ee7966a269e16e36d56e8e5ae4982e,previous_non_transition_regime=audit_only
transition_cost_rejector_context_only,transition_previous_regime_primary,cost_bad_10_20,logistic_regression_balanced_l2,trained,12413,3527,52,23.99367669402297,6,10,1baa56aff57833ae1a17925a2278dba0acc5e2574a9e5241e06047d32a5f82bc,train_median_impute__nonnegative_log1p_selected_numeric__train_winsorize_1_99__train_zscore__categorical_train_vocab_one_hot,cdccb545e12a5e26636be6c0b3de4bd1e01c0548a1ac7409fd7821b1bb8ffcbc,previous_non_transition_regime=audit_only
