feature_name,source_artifact,feature_as_of_policy,max_feature_as_of_date_minus_event_t0_date,uses_future_information,allowed_for_model,used_by_model,blocked_reason
return_5d,event_envelope,event_t0_date,,False,True,True,
return_10d,event_envelope,event_t0_date,,False,True,True,
return_20d,event_envelope,event_t0_date,,False,True,True,
return_60d,event_envelope,event_t0_date,,False,True,True,
stock_vs_market_5d,event_envelope,event_t0_date,,False,True,True,
stock_vs_market_10d,event_envelope,event_t0_date,,False,True,True,
stock_vs_market_20d,event_envelope,event_t0_date,,False,True,True,
amount_ratio_20d,event_envelope,event_t0_date,,False,True,True,
amount_ratio_60d,event_envelope,event_t0_date,,False,True,True,
turnover_ratio_20d,event_envelope,event_t0_date,,False,True,True,
turnover_ratio_60d,event_envelope,event_t0_date,,False,True,True,
close_to_high_60,event_envelope,event_t0_date,,False,True,True,
close_to_high_120,event_envelope,event_t0_date,,False,True,True,
range_width_ratio_20d_60d,event_envelope,event_t0_date,,False,True,True,
direction_entropy_20d,event_envelope,event_t0_date,,False,True,True,
relative_cusum_20d,event_envelope,event_t0_date,,False,True,True,
momentum_percentile_20d,event_envelope,event_t0_date,,False,True,True,
universe_up_share,event_envelope,event_t0_date,,False,True,True,
universe_up_share_z,event_envelope,event_t0_date,,False,True,True,
universe_up_share_change_5d,event_envelope,event_t0_date,,False,True,True,
stock_vs_board_20d,event_envelope,event_t0_date,,False,True,True,
board_relative_cusum_20d,event_envelope,event_t0_date,,False,True,True,
atr_pct_rank_60d,event_envelope,event_t0_date,,False,True,True,
ema60_positive_run,event_envelope,event_t0_date,,False,True,True,
family_count,event_envelope,event_t0_date,,False,True,True,
channel_count,event_envelope,event_t0_date,,False,True,True,
panel_return_1d,cross_section_feature_panel,latest_same_or_prior_event_t0_date,0.0,False,True,True,
panel_return_5d,cross_section_feature_panel,latest_same_or_prior_event_t0_date,0.0,False,True,True,
panel_return_20d,cross_section_feature_panel,latest_same_or_prior_event_t0_date,0.0,False,True,True,
panel_return_60d,cross_section_feature_panel,latest_same_or_prior_event_t0_date,0.0,False,True,True,
panel_stock_vs_market_20d,cross_section_feature_panel,latest_same_or_prior_event_t0_date,0.0,False,True,True,
panel_close_to_high_60,cross_section_feature_panel,latest_same_or_prior_event_t0_date,0.0,False,True,True,
panel_momentum_percentile_20d,cross_section_feature_panel,latest_same_or_prior_event_t0_date,0.0,False,True,True,
panel_momentum_percentile_60d,cross_section_feature_panel,latest_same_or_prior_event_t0_date,0.0,False,True,True,
panel_universe_up_share,cross_section_feature_panel,latest_same_or_prior_event_t0_date,0.0,False,True,True,
panel_universe_new_high_60_share,cross_section_feature_panel,latest_same_or_prior_event_t0_date,0.0,False,True,True,
panel_universe_up_share_z,cross_section_feature_panel,latest_same_or_prior_event_t0_date,0.0,False,True,True,
panel_universe_up_share_change_5d,cross_section_feature_panel,latest_same_or_prior_event_t0_date,0.0,False,True,True,
panel_board_relative_1d,cross_section_feature_panel,latest_same_or_prior_event_t0_date,0.0,False,True,True,
panel_board_relative_cusum_20d,cross_section_feature_panel,latest_same_or_prior_event_t0_date,0.0,False,True,True,
panel_board_return_20d,cross_section_feature_panel,latest_same_or_prior_event_t0_date,0.0,False,True,True,
panel_stock_vs_board_20d,cross_section_feature_panel,latest_same_or_prior_event_t0_date,0.0,False,True,True,
source_pool,event_envelope,event_t0_date,,False,False,False,forced_drop_regime_or_binding_proxy_or_i_constant
board_bucket,event_envelope,event_t0_date,,False,True,True,
event_regime_bucket,event_envelope,event_t0_date,,False,False,False,forced_drop_regime_or_binding_proxy_or_i_constant
primary_family_id,event_envelope,event_t0_date,,False,True,True,
pit_transition_context,transition_previous_regime_event_assignment_or_segment_catalog,feature_available_date_lte_event_t0_date,0.0,False,True,True,
previous_non_transition_trading_day_n,transition_previous_regime_event_assignment_or_segment_catalog,feature_available_date_lte_event_t0_date,0.0,False,True,True,
previous_non_transition_duration_bucket,transition_previous_regime_event_assignment_or_segment_catalog,feature_available_date_lte_event_t0_date,0.0,False,True,True,
segment_age_at_event_t0,transition_previous_regime_event_assignment_or_segment_catalog,feature_available_date_lte_event_t0_date,0.0,False,True,True,
observed_segment_trading_day_n_asof_t0,transition_previous_regime_event_assignment_or_segment_catalog,feature_available_date_lte_event_t0_date,0.0,False,True,True,
days_since_previous_regime_end_asof_event,transition_previous_regime_event_assignment_or_segment_catalog,feature_available_date_lte_event_t0_date,0.0,False,True,True,
previous_non_transition_regime,transition_previous_regime_event_assignment,feature_available_date_lte_event_t0_date,0.0,False,False,False,collinear_with_pit_transition_context_after_unknown_filter
final_segment_calendar_day_n,transition_previous_regime_event_assignment,future_or_expost,,True,False,False,forbidden_future_or_complete_segment_field
final_segment_trading_day_n,transition_previous_regime_event_assignment,future_or_expost,,True,False,False,forbidden_future_or_complete_segment_field
next_non_transition_regime,transition_previous_regime_event_assignment,future_or_expost,,True,False,False,forbidden_future_or_complete_segment_field
segment_end_date,transition_previous_regime_event_assignment,future_or_expost,,True,False,False,forbidden_future_or_complete_segment_field
segment_remaining_days_ex_post,transition_previous_regime_event_assignment,future_or_expost,,True,False,False,forbidden_future_or_complete_segment_field
transition_outcome_direction,transition_previous_regime_event_assignment,future_or_expost,,True,False,False,forbidden_future_or_complete_segment_field
transition_outcome_label,transition_previous_regime_event_assignment,future_or_expost,,True,False,False,forbidden_future_or_complete_segment_field
