fit_id,model_family_id,feature_set_id,fit_split_scope,fit_row_n,fit_month_n,fit_max_label_decision_date,fit_call_count,update_or_continuation_call_count,robustness_feature_row_read_count,robustness_label_open_count,robustness_outcome_column_read_count,fit_row_key_hash,feature_order_hash,hyperparameter_hash,artifact_sha256,status,blocking_reason
M1_candidate_train,M1_RIDGE_RANK_REGRESSION,full16,train,10631,30,2023-06-30,1,0,0,0,0,219fbb5a452b229b1162cae8911c7a1c7257e750db15f74869e4ae3d02ed5bd7,68136c71877ccaf92cc2561e4b2993eb0301ac5e3ff3d868d357c5c4e466c55b,db4d789e0163ad957b0d44f5c5ec19d7225026dfb1c3290ace6eaf228335272a,a6cd03534b7d9e2692ec131fa72226c98cd9225eee3adc21269372139f471e7d,pass,
M2_candidate_train,M2_LIGHTGBM_LAMBDARANK,full16,train,10631,30,2023-06-30,1,0,0,0,0,219fbb5a452b229b1162cae8911c7a1c7257e750db15f74869e4ae3d02ed5bd7,68136c71877ccaf92cc2561e4b2993eb0301ac5e3ff3d868d357c5c4e466c55b,3b073eb9e2ffcbdeb711fcb55ac65122b69d4d51a8467242ad17ed84cee53f29,23aecc5e64af4f51eafcc6d8dd010d89e88330d416643b40e6e6f60e4adfebbb,pass,
