primary_family,horizon,split,style_evaluable_date_count,style_explained_score_r2,style_explained_spread_share,neutralized_spread_retention,raw_neutralized_family_rankIC_sign_agree,style_exposure_clean_gate
close_location,H1,robustness,13,0.5917692353918216,0.8482971263140857,0.915009494612488,True,False
close_location,H1,train,77,0.7230129167482516,0.6501543479074066,-0.268065033533833,True,False
close_location,H1,validation,10,0.6502034166878143,-1.2001894218991633,0.10140780380148504,True,False
close_location,H10,robustness,12,0.5094572621088961,-0.10987090147953589,0.3545130291810939,True,False
close_location,H10,train,75,0.6153598051812783,-0.3852064480228371,-1.0010806249546187,True,False
close_location,H10,validation,10,0.5886201686435198,1.2083993724438193,1.647849843708943,True,False
close_location,H20,robustness,11,0.5323399910302349,0.5159854670916778,-1.246444598906757,True,False
close_location,H20,train,72,0.7039858704029733,-0.5596603200366058,-0.22906919334795933,True,False
close_location,H20,validation,10,0.6667941642711839,1.8075997318902128,0.0007269536109586027,True,False
close_location,H3,robustness,13,0.454955339705964,-2.2757805560362994,4.8556187690118735,True,False
close_location,H3,train,75,0.5388114449345409,-0.2628797595936276,0.7148976225347891,True,False
close_location,H3,validation,10,0.5139296115845733,-0.37943351596696206,-0.23571232268659026,True,False
close_location,H5,robustness,13,0.4509821246242479,-1.120789231308481,1.2893145219593443,True,False
close_location,H5,train,76,0.527725730651196,0.24119678142557155,0.524048921020023,True,False
close_location,H5,validation,10,0.5012319414305817,-0.7079425430337426,-0.9625146924492078,True,False
composite_price_volume,H1,robustness,13,0.5015471362435714,-2.089811130564975,-2.3159970660610445,True,False
composite_price_volume,H1,train,76,0.5835604571226006,0.3657831518463168,0.1113115660788042,True,False
composite_price_volume,H1,validation,10,0.5010849630746237,2.631454960061121,-0.5008935566910143,True,False
composite_price_volume,H10,robustness,12,0.48472593326370605,-0.10056974085357033,0.47168139471657017,True,False
composite_price_volume,H10,train,75,0.5346183640608809,3.5370752970220094,4.626105682625879,True,False
composite_price_volume,H10,validation,10,0.49594738544476163,-0.12823310910355007,0.7162732094923822,True,False
composite_price_volume,H20,robustness,11,0.48998147179131324,0.049464607530449456,0.27805764910859737,True,False
composite_price_volume,H20,train,73,0.5344411115141074,0.13348921902081112,0.6454258618826947,True,False
composite_price_volume,H20,validation,10,0.5284897656888952,-0.3241413180379208,0.45788075414951485,True,False
composite_price_volume,H3,robustness,12,0.477750208605299,-0.3285650423152522,1.2800249409674442,True,False
composite_price_volume,H3,train,76,0.5291850761456058,-0.22616477959131406,0.10775877793400972,True,False
composite_price_volume,H3,validation,10,0.5007787504044928,-0.536291736695716,-0.16233262179974994,True,False
composite_price_volume,H5,robustness,13,0.4956238785961802,0.20732742550019642,0.6151798511765383,True,False
composite_price_volume,H5,train,76,0.5457540403285632,0.28238270250159897,1.3765108738068004,True,False
composite_price_volume,H5,validation,10,0.5237593550734091,0.00941213742949174,0.41265341566884606,True,False
other_gtja191,H1,robustness,13,0.4759803344416107,-2.892936856179925,2.6173257444572497,True,False
other_gtja191,H1,train,76,0.6332570674927446,2.1872771745339805,2.0736213682014895,True,False
other_gtja191,H1,validation,10,0.594127367537295,0.5219310505653916,0.20690997884675907,True,False
other_gtja191,H10,robustness,12,0.4693156502791688,-0.3128384497063769,0.715474322336746,True,False
other_gtja191,H10,train,74,0.6269902933158424,-0.7084763596852669,0.5778118597270152,True,False
other_gtja191,H10,validation,10,0.5602822241912262,-0.02470799089614557,0.8579849303372342,True,False
other_gtja191,H20,robustness,11,0.49265802414245186,-1.584669882443373,0.8130465946257016,True,False
other_gtja191,H20,train,73,0.6723815735564326,-0.9972674764421767,1.946572202776099,True,False
other_gtja191,H20,validation,10,0.6058179326617044,0.13376237354350207,1.778388637016299,True,False
other_gtja191,H3,robustness,13,0.45880372700514005,-1.1390236622904157,0.3730701321861878,True,False
other_gtja191,H3,train,76,0.5698734497651541,-0.1522940552323742,0.35598403642007365,True,False
other_gtja191,H3,validation,10,0.5185489349534931,-0.4010807056722478,-0.03904122200227213,True,False
other_gtja191,H5,robustness,13,0.49060581530128355,14.269835085752671,29.231922153850636,True,False
other_gtja191,H5,train,76,0.5619978358756829,0.04166527060233085,0.21941336095690822,True,False
other_gtja191,H5,validation,10,0.5128916234343384,-0.4505166215036138,-0.28182256098713543,True,False
range_volatility,H1,robustness,13,0.5089936343837651,0.4263552789176694,0.9420475195120537,True,False
range_volatility,H1,train,77,0.5166271496434802,0.2787275905885712,0.6626120843262974,True,False
range_volatility,H1,validation,10,0.4841659958022145,-0.7092020200338326,-0.5376263120766348,True,False
