factor_id,horizon,split,valid_date_count,mean_rankIC,median_rankIC,rankIC_std,ICIR,positive_date_share,p10_date_rankIC,p90_date_rankIC,year_count,positive_year_count,negative_year_count,yearly_rankIC_min,yearly_rankIC_max,single_year_ic_contribution_share,neutralized_mean_rankIC,raw_neutralized_rankIC_sign_agree
alpha002,H1,robustness,103,0.017075740687858023,0.012121630551926652,0.1538918078569423,0.11095938715419874,0.5145631067961165,-0.1666049752665327,0.19867130127494262,2,1,1,-0.0075295254875152985,0.041207828667551086,0.8455081196332734,0.021575908108922605,True
alpha002,H1,train,226,0.024001053148073798,0.026249321537798104,0.14264338407220192,0.1682591401219503,0.5796460176991151,-0.1574995561889865,0.19688576787725956,5,5,0,0.0047368643012765535,0.03419972251395579,0.31483645303760205,0.01907853071379409,True
alpha002,H1,validation,98,-0.007697860875364642,-0.004111551196706937,0.14363310801781373,-0.053593917040421726,0.47959183673469385,-0.18026701720139304,0.1398599170441311,2,0,2,-0.008558500743306776,-0.006837221007422514,0.5559012355430081,0.00015839703810214818,False
alpha002,H10,robustness,101,-0.010232568794184521,-0.034191590024505114,0.15392780541715648,-0.06647641578760545,0.44554455445544555,-0.20657801266123774,0.19949686531361252,2,1,1,-0.027311582231574993,0.006511562026786539,0.8074820608915804,0.004747492490055688,False
alpha002,H10,train,224,0.021553864036872847,0.02118011180348809,0.12814784037627305,0.1681952967259182,0.5848214285714286,-0.13482606007272566,0.18963478382423685,5,4,1,-0.005607003370218702,0.03259920386592578,0.2711233953738441,0.015276500033475308,True
alpha002,H10,validation,96,0.009393383766866653,0.024505087339802244,0.14001190831584756,0.06708989170890003,0.5520833333333334,-0.16752138809092018,0.17699180242791107,2,1,1,-0.007178590529034693,0.02667054845833827,0.7879239843674433,0.010800780941152256,True
alpha002,H20,robustness,99,0.015919771179556258,0.006155957234303225,0.15806536562588122,0.1007163784205336,0.5252525252525253,-0.16278592328391886,0.2338373702217667,2,2,0,0.01204485990493684,0.019566746496845117,0.6189734949927168,0.011213624624636064,True
alpha002,H20,train,222,0.021368926316884588,0.03288278489843125,0.12326241714789282,0.1733612467719638,0.5900900900900901,-0.12908210045027782,0.15935442895330035,5,5,0,0.013773938612030944,0.029739506567549846,0.27938961268798856,0.015509361302582065,True
alpha002,H20,validation,94,0.004986250314044487,-0.012323096607226733,0.1452408862420822,0.03433089981104623,0.4787234042553192,-0.19049405019147123,0.21622517195362026,2,2,0,0.003245038302175683,0.006882236726968297,0.6795743876968675,0.011082553373952437,True
alpha002,H3,robustness,102,0.003909233996276647,-0.0004901187801614849,0.16026637170927463,0.02439210393661404,0.49019607843137253,-0.17851347432076173,0.21094873749987195,2,1,1,-0.015793146532807112,0.023611614525360407,0.5992071488647276,0.007032434082320324,True
alpha002,H3,train,226,0.014143514450448648,0.024706059960478824,0.14168633216169305,0.0998227156752707,0.5619469026548672,-0.18986748873439346,0.1778458416557815,5,4,1,-0.018536692866928182,0.03791358975767108,0.33543862525956664,0.00713317813112244,True
alpha002,H3,validation,98,0.007873324167524957,0.00038232135465040033,0.13648680251160789,0.057685607858352084,0.5,-0.1340628645820177,0.18159427049501112,2,1,1,-0.005437996423488278,0.02118464475853819,0.7957379064568699,0.013728718617817095,True
alpha002,H5,robustness,102,-0.00033898151012456886,0.00427793316695687,0.1658303195794912,-0.0020441467578676234,0.5196078431372549,-0.20897747631091285,0.18880318872967305,2,1,1,-0.003184639009070505,0.002506675988821364,0.5595611928438565,0.004918658086851842,False
alpha002,H5,train,225,0.01870007413632647,0.020038261671646462,0.14026096374077412,0.1333234396627087,0.56,-0.1672322371705685,0.19133811402427503,5,4,1,-0.008835068607307624,0.039424381156521714,0.3526433389837459,0.013330623392432515,True
alpha002,H5,validation,97,0.01570941329155699,0.011858602484912195,0.1391307665889409,0.11291113875603186,0.5360824742268041,-0.14449442650247807,0.19518364137882951,2,2,0,0.009413493665379698,0.0221364979099463,0.7016324507439293,0.014954853290393196,True
alpha003,H1,robustness,103,-0.019750923324580342,-0.030599362858502444,0.15256970425938496,-0.1294550803546269,0.42718446601941745,-0.19866729372441058,0.16561513583534873,2,1,1,-0.057318306480999,0.018553075187846525,0.7554667546608707,-0.016957062901872103,True
alpha003,H1,train,226,-0.02350646171591982,-0.02818622996761408,0.16023505242626657,-0.14669987221888608,0.43805309734513276,-0.21374849544168317,0.18002847790904086,5,1,4,-0.043032651911527976,0.009101407183200638,0.30293606247571336,-0.02591658473505986,True
alpha003,H1,validation,98,-0.008371526053536532,-0.023073513914768112,0.15670006214969787,-0.053423884704902606,0.40816326530612246,-0.19299029077231045,0.21315073087915976,2,0,2,-0.013717076935865349,-0.0030259751712077175,0.8192697990870254,-0.012873423515107878,True
alpha003,H10,robustness,101,-0.0042204147985819215,0.00746979904933923,0.1497803540563681,-0.02817735894117073,0.504950495049505,-0.17773690268698797,0.17862537646862817,2,1,1,-0.009501819200396461,0.0009574326541774378,0.9084606941787384,0.0027965968670673872,False
alpha003,H10,train,224,-0.01380969439081398,-0.006288587068552201,0.16593552535429293,-0.08322325410022097,0.46875,-0.2440726864339507,0.19173785065616405,5,1,4,-0.03634311726452212,0.006365346266368677,0.3797397520142804,-0.006509545026269097,True
alpha003,H10,validation,96,-0.006875646285213547,-0.011701849134342288,0.17412273028229322,-0.039487356269147254,0.4791666666666667,-0.2248723600479411,0.22415719347279395,2,1,1,-0.02767653793723876,0.013076229381014715,0.6791327254196607,-0.006902264285144066,True
alpha003,H20,robustness,99,-0.012322346335933427,0.0009289489137227371,0.1521054183140112,-0.08101188289357837,0.5050505050505051,-0.2196989169976892,0.1616191449507419,2,0,2,-0.016473842577217457,-0.008415055755901405,0.6618952095318835,-0.0096015099891623,True
alpha003,H20,train,222,-0.004740879315356192,0.0014318441142979492,0.15863270587401013,-0.029885888217285474,0.509009009009009,-0.19065311680058988,0.19684355146749288,5,2,3,-0.027238283285762086,0.018897787403598584,0.37943592010653915,-0.001109149020469763,True
alpha003,H20,validation,94,-0.00973951963865315,-0.005032648294701483,0.16775599124030977,-0.05805765604342159,0.4787234042553192,-0.2376730284555529,0.19446404128582567,2,0,2,-0.011336259865073934,-0.008273125553164682,0.5781037815968532,-0.00965792389568568,True
alpha003,H3,robustness,102,-0.022375466383405283,-0.03599840749426816,0.15534811410453414,-0.14403436123047347,0.4411764705882353,-0.18057945874962167,0.15128441240852328,2,0,2,-0.03263626324360047,-0.012114669523210093,0.7292867707062652,-0.008813304342297898,True
alpha003,H3,train,226,-0.031031647554403196,-0.03948905436394706,0.16786749353897018,-0.18485799066988062,0.42035398230088494,-0.23578099148579942,0.20428435942574674,5,0,5,-0.06667171598483514,-0.008434072140298994,0.3779997657109108,-0.02112281649096262,True
