split,anchor_family_id,diagnostic_axis,diagnostic_bucket,predeclared_partition_id,diagnostic_bucket_source,baseline_id,anchor_event_count,baseline_event_count,failed_lookalike_baseline_event_count,unique_instrument_year_count,anchor_p05_after_cost_return_H20,baseline_p05_after_cost_return_H20,p05_diff_vs_baseline,anchor_max_adverse_excursion_mean_H20,baseline_max_adverse_excursion_mean_H20,mae_worsening_vs_baseline,failed_lookalike_rate,top1_instrument_year_pnl_share,top1_threshold,top1_threshold_status,top5_instrument_exposure_share,top5_threshold,top5_threshold_status,interpretation_status
train,pullback_hold_restrengthen,all,all,not_applicable,linked_anchor,matched_delay_baseline,179,179,181,147,-0.18310034165443245,-0.1895614302069979,0.006461088552565442,-0.09418357406638014,-0.09113221228921393,0.003051361777166209,0.5027777777777778,0.04671270876548824,,not_applicable,0.12154696132596685,,not_applicable,interpretable
train,pullback_hold_restrengthen,anchor_window_position_bucket,0.139535_0.372093,P05_PART_b0ed159c4c63,linked_anchor,matched_delay_baseline,43,43,43,42,-0.17649893199484049,-0.16247467494991946,-0.014024257044921024,-0.09629191105635465,-0.08758780248509301,0.008704108571261637,0.5,0.20541517091169278,,not_applicable,0.20930232558139536,,not_applicable,interpretable
train,pullback_hold_restrengthen,anchor_window_position_bucket,0.372093_0.627907,P05_PART_a9a24906fcf7,linked_anchor,matched_delay_baseline,46,46,48,44,-0.23247749605475576,-0.1916674122137976,-0.04081008384095816,-0.08280790554817012,-0.08986466369354303,0.0,0.5106382978723404,0.17027324336416763,,not_applicable,0.20833333333333334,,not_applicable,interpretable
train,pullback_hold_restrengthen,anchor_window_position_bucket,ge_0.627907,P05_PART_c6515f897e07,linked_anchor,matched_delay_baseline,47,47,47,43,-0.14910043473882245,-0.14032257698509798,-0.008777857753724472,-0.09215998783166972,-0.08487433121566373,0.007285656616005984,0.5,0.11105649953420964,,not_applicable,0.23404255319148937,,not_applicable,interpretable
train,pullback_hold_restrengthen,anchor_window_position_bucket,lt_0.139535,P05_PART_3389866e685a,linked_anchor,matched_delay_baseline,43,43,43,41,-0.20080603448363368,-0.1896868908050532,-0.011119143678580495,-0.10698548456257938,-0.10287261385746785,0.004112870705111529,0.5,0.14276560765476096,,not_applicable,0.20930232558139536,,not_applicable,interpretable
train,pullback_hold_restrengthen,reference_age_bucket,0_5,P05_PART_64df811e6d73,linked_anchor,matched_delay_baseline,5,5,5,5,-0.11652023847038599,-0.11268724692273574,-0.0038329915476502524,-0.07273018406168008,-0.07285701382192644,0.0,0.5,0.5555745669818082,,not_applicable,1.0,,not_applicable,too_sparse
train,pullback_hold_restrengthen,reference_age_bucket,10_20,P05_PART_8c8ff8202cff,linked_anchor,matched_delay_baseline,40,40,40,39,-0.17951658900278497,-0.16520117118983843,-0.01431541781294654,-0.09378097133534105,-0.09092430072209118,0.002856670613249873,0.5,0.20983130739393474,,not_applicable,0.25,,not_applicable,interpretable
train,pullback_hold_restrengthen,reference_age_bucket,20_40,P05_PART_4b5d754918f1,linked_anchor,matched_delay_baseline,73,73,75,68,-0.21805078691023125,-0.1859153916001528,-0.032135395310078446,-0.08644186270250136,-0.08834538571939357,0.0,0.5067567567567568,0.09527480030038166,,not_applicable,0.14666666666666667,,not_applicable,interpretable
train,pullback_hold_restrengthen,reference_age_bucket,40_60,P05_PART_c0d118e3f8d7,linked_anchor,matched_delay_baseline,16,16,16,15,-0.1314554936341257,-0.08930142536148761,-0.042154068272638096,-0.09691537080235267,-0.08940333334875458,0.007512037453598089,0.5,0.37995839145731986,,not_applicable,0.4375,,not_applicable,too_sparse
train,pullback_hold_restrengthen,reference_age_bucket,5_10,P05_PART_dcad40adc80e,linked_anchor,matched_delay_baseline,45,45,45,43,-0.19711329904017066,-0.1896712082302963,-0.007442090809874374,-0.10885669992816713,-0.09848316468178239,0.010373535246384735,0.5,0.15416044581958194,,not_applicable,0.2,,not_applicable,interpretable
