split,anchor_family_id,p0_5_denominator_launch_episode_count,upstream_ep2_launch_episode_count,count_diff,denominator_reconciliation_status
train,pullback_hold_restrengthen,1153,1153,0,passed
train,second_breakout,1153,1153,0,passed
validation,pullback_hold_restrengthen,536,536,0,passed
validation,second_breakout,536,536,0,passed
robustness,pullback_hold_restrengthen,775,775,0,passed
robustness,second_breakout,775,775,0,passed
