split,anchor_family_id,concentration_axis,concentration_bucket,event_count,event_share,positive_pnl_event_count,positive_pnl_share,negative_tail_event_count,negative_tail_share,winner_capture_event_count,winner_capture_share,interpretation_status
train,pullback_hold_restrengthen,year_bucket,2017,9,0.049723756906077346,4,0.0449438202247191,0,0.0,1,0.03333333333333333,too_sparse
train,pullback_hold_restrengthen,year_bucket,2018,20,0.11049723756906077,6,0.06741573033707865,0,0.0,1,0.03333333333333333,interpretable
train,pullback_hold_restrengthen,year_bucket,2019,50,0.27624309392265195,29,0.3258426966292135,4,0.4,6,0.2,interpretable
train,pullback_hold_restrengthen,year_bucket,2020,62,0.3425414364640884,34,0.38202247191011235,2,0.2,14,0.4666666666666667,interpretable
train,pullback_hold_restrengthen,year_bucket,2021,40,0.22099447513812154,16,0.1797752808988764,4,0.4,8,0.26666666666666666,interpretable
train,pullback_hold_restrengthen,industry_bucket,交通运输,17,0.09392265193370165,7,0.07865168539325842,0,0.0,2,0.06666666666666667,too_sparse
train,pullback_hold_restrengthen,industry_bucket,传媒,9,0.049723756906077346,6,0.06741573033707865,1,0.1,3,0.1,too_sparse
train,pullback_hold_restrengthen,industry_bucket,公用事业,6,0.03314917127071823,1,0.011235955056179775,0,0.0,0,0.0,too_sparse
train,pullback_hold_restrengthen,industry_bucket,农林牧渔,3,0.016574585635359115,3,0.033707865168539325,0,0.0,2,0.06666666666666667,too_sparse
train,pullback_hold_restrengthen,industry_bucket,医药生物,16,0.08839779005524862,6,0.06741573033707865,3,0.3,0,0.0,too_sparse
train,pullback_hold_restrengthen,industry_bucket,商贸零售,2,0.011049723756906077,1,0.011235955056179775,0,0.0,0,0.0,too_sparse
train,pullback_hold_restrengthen,industry_bucket,国防军工,1,0.0055248618784530384,0,0.0,0,0.0,0,0.0,too_sparse
train,pullback_hold_restrengthen,industry_bucket,基础化工,4,0.022099447513812154,3,0.033707865168539325,0,0.0,0,0.0,too_sparse
train,pullback_hold_restrengthen,industry_bucket,家用电器,2,0.011049723756906077,1,0.011235955056179775,0,0.0,0,0.0,too_sparse
train,pullback_hold_restrengthen,industry_bucket,建筑材料,2,0.011049723756906077,0,0.0,0,0.0,0,0.0,too_sparse
train,pullback_hold_restrengthen,industry_bucket,建筑装饰,1,0.0055248618784530384,0,0.0,0,0.0,0,0.0,too_sparse
train,pullback_hold_restrengthen,industry_bucket,房地产,5,0.027624309392265192,2,0.02247191011235955,0,0.0,1,0.03333333333333333,too_sparse
train,pullback_hold_restrengthen,industry_bucket,有色金属,12,0.06629834254143646,9,0.10112359550561797,1,0.1,7,0.23333333333333334,too_sparse
train,pullback_hold_restrengthen,industry_bucket,机械设备,3,0.016574585635359115,1,0.011235955056179775,0,0.0,0,0.0,too_sparse
train,pullback_hold_restrengthen,industry_bucket,汽车,10,0.055248618784530384,8,0.0898876404494382,1,0.1,2,0.06666666666666667,too_sparse
train,pullback_hold_restrengthen,industry_bucket,煤炭,5,0.027624309392265192,2,0.02247191011235955,0,0.0,1,0.03333333333333333,too_sparse
train,pullback_hold_restrengthen,industry_bucket,电力设备,5,0.027624309392265192,3,0.033707865168539325,0,0.0,2,0.06666666666666667,too_sparse
train,pullback_hold_restrengthen,industry_bucket,电子,21,0.11602209944751381,9,0.10112359550561797,1,0.1,2,0.06666666666666667,interpretable
train,pullback_hold_restrengthen,industry_bucket,石油石化,1,0.0055248618784530384,0,0.0,0,0.0,0,0.0,too_sparse
train,pullback_hold_restrengthen,industry_bucket,社会服务,1,0.0055248618784530384,1,0.011235955056179775,0,0.0,0,0.0,too_sparse
train,pullback_hold_restrengthen,industry_bucket,计算机,7,0.03867403314917127,2,0.02247191011235955,2,0.2,0,0.0,too_sparse
train,pullback_hold_restrengthen,industry_bucket,轻工制造,1,0.0055248618784530384,1,0.011235955056179775,0,0.0,0,0.0,too_sparse
train,pullback_hold_restrengthen,industry_bucket,通信,2,0.011049723756906077,2,0.02247191011235955,0,0.0,1,0.03333333333333333,too_sparse
train,pullback_hold_restrengthen,industry_bucket,钢铁,4,0.022099447513812154,2,0.02247191011235955,0,0.0,0,0.0,too_sparse
train,pullback_hold_restrengthen,industry_bucket,银行,8,0.04419889502762431,4,0.0449438202247191,0,0.0,1,0.03333333333333333,too_sparse
train,pullback_hold_restrengthen,industry_bucket,非银金融,17,0.09392265193370165,3,0.033707865168539325,1,0.1,0,0.0,too_sparse
train,pullback_hold_restrengthen,industry_bucket,食品饮料,16,0.08839779005524862,12,0.1348314606741573,0,0.0,6,0.2,too_sparse
train,second_breakout,year_bucket,2017,4,0.021739130434782608,1,0.012048192771084338,0,0.0,0,0.0,too_sparse
train,second_breakout,year_bucket,2018,19,0.10326086956521739,8,0.0963855421686747,0,0.0,0,0.0,too_sparse
train,second_breakout,year_bucket,2019,47,0.2554347826086957,23,0.27710843373493976,2,0.2,9,0.21951219512195122,interpretable
train,second_breakout,year_bucket,2020,78,0.42391304347826086,36,0.43373493975903615,5,0.5,25,0.6097560975609756,interpretable
train,second_breakout,year_bucket,2021,36,0.1956521739130435,15,0.18072289156626506,3,0.3,7,0.17073170731707318,interpretable
train,second_breakout,industry_bucket,交通运输,9,0.04891304347826087,3,0.03614457831325301,1,0.1,1,0.024390243902439025,too_sparse
train,second_breakout,industry_bucket,传媒,2,0.010869565217391304,1,0.012048192771084338,0,0.0,1,0.024390243902439025,too_sparse
train,second_breakout,industry_bucket,公用事业,2,0.010869565217391304,1,0.012048192771084338,0,0.0,0,0.0,too_sparse
train,second_breakout,industry_bucket,农林牧渔,4,0.021739130434782608,4,0.04819277108433735,0,0.0,2,0.04878048780487805,too_sparse
