anchor_family_id,diagnostic_axis,diagnostic_bucket,bin_source_split,bin_method,source_upstream_artifact,source_upstream_hash,source_field_name,bin_edges_json,bucket_lower_bound,bucket_upper_bound,bucket_inclusive_rule,train_observation_count,validation_outcomes_used,robustness_outcomes_used,frozen_before_validation,predeclared_partition_id,bin_hash
all,reference_age_bucket,lt_0,config_static,config_edges,,,reference_age_days,"[-Infinity, 0.0, 5.0, 10.0, 20.0, 40.0, 60.0, Infinity]",-inf,0.0,left_closed_right_open,0,False,False,True,P05_PART_980a391c839d,335db02163385b9280163cee554c51ce8881a7a862457b08b58794b34fec1aec
all,reference_age_bucket,0_5,config_static,config_edges,,,reference_age_days,"[-Infinity, 0.0, 5.0, 10.0, 20.0, 40.0, 60.0, Infinity]",0.0,5.0,left_closed_right_open,0,False,False,True,P05_PART_64df811e6d73,6425e14a76ef8265751d727a6609e34142b8d2c2c0993fd9ddeb9db4610b6727
all,reference_age_bucket,5_10,config_static,config_edges,,,reference_age_days,"[-Infinity, 0.0, 5.0, 10.0, 20.0, 40.0, 60.0, Infinity]",5.0,10.0,left_closed_right_open,0,False,False,True,P05_PART_dcad40adc80e,74af890193b3930f20123410b31da95a8093f6242a86c08c51c31821c47d9e8c
all,reference_age_bucket,10_20,config_static,config_edges,,,reference_age_days,"[-Infinity, 0.0, 5.0, 10.0, 20.0, 40.0, 60.0, Infinity]",10.0,20.0,left_closed_right_open,0,False,False,True,P05_PART_8c8ff8202cff,d57ecbf6e9322258044b86687bdd6d00d159ed664d42aadc2414e79c50938eac
all,reference_age_bucket,20_40,config_static,config_edges,,,reference_age_days,"[-Infinity, 0.0, 5.0, 10.0, 20.0, 40.0, 60.0, Infinity]",20.0,40.0,left_closed_right_open,0,False,False,True,P05_PART_4b5d754918f1,e65815155380d8c62f573e8ac28fc676c51fab4c21108232b6c9e1fa8278e968
all,reference_age_bucket,40_60,config_static,config_edges,,,reference_age_days,"[-Infinity, 0.0, 5.0, 10.0, 20.0, 40.0, 60.0, Infinity]",40.0,60.0,left_closed_right_open,0,False,False,True,P05_PART_c0d118e3f8d7,e7d0873cb69c34e03ef406c1793e3f628873c683e528ccd776250dedf8e8bf2c
all,reference_age_bucket,ge_60,config_static,config_edges,,,reference_age_days,"[-Infinity, 0.0, 5.0, 10.0, 20.0, 40.0, 60.0, Infinity]",60.0,inf,closed,0,False,False,True,P05_PART_dd007424b7d1,7f1517062bccd41c86e43b48ef0611ac8a1ff09dd929773cea804d7a05e238a4
second_breakout,second_breakout_gap_band,lt_3,config_static,config_edges,,,second_breakout_gap_days,"[-Infinity, 3.0, 10.0, 20.0, 40.0, 60.0, Infinity]",-inf,3.0,left_closed_right_open,0,False,False,True,P05_PART_12444041fbbe,c756a73c4dcc1798f0a5d5600079531c3ebcb8933319d0dc008ba75d3ce1ba31
second_breakout,second_breakout_gap_band,3_10,config_static,config_edges,,,second_breakout_gap_days,"[-Infinity, 3.0, 10.0, 20.0, 40.0, 60.0, Infinity]",3.0,10.0,left_closed_right_open,0,False,False,True,P05_PART_d6ddd94cad8f,5b2bc8ee313451291e7d5fb42a4daecd28958d1b04de4f18d2f683eb05825777
second_breakout,second_breakout_gap_band,10_20,config_static,config_edges,,,second_breakout_gap_days,"[-Infinity, 3.0, 10.0, 20.0, 40.0, 60.0, Infinity]",10.0,20.0,left_closed_right_open,0,False,False,True,P05_PART_356d52c488be,690c5119b19145491ad81811aee87e94dba4af3f536d594d01ec77cf3c93d4ec
second_breakout,second_breakout_gap_band,20_40,config_static,config_edges,,,second_breakout_gap_days,"[-Infinity, 3.0, 10.0, 20.0, 40.0, 60.0, Infinity]",20.0,40.0,left_closed_right_open,0,False,False,True,P05_PART_0672a00fd404,f4b6281699d53d07f115a7bf9d6dd8d2447985b4b14b385acb48d4b9601ef767
second_breakout,second_breakout_gap_band,40_60,config_static,config_edges,,,second_breakout_gap_days,"[-Infinity, 3.0, 10.0, 20.0, 40.0, 60.0, Infinity]",40.0,60.0,left_closed_right_open,0,False,False,True,P05_PART_aa98c29161ea,c701e757529147d573d1c8a851ed48f6c2c146dec43ebc0ccc1095f6d509c991
second_breakout,second_breakout_gap_band,ge_60,config_static,config_edges,,,second_breakout_gap_days,"[-Infinity, 3.0, 10.0, 20.0, 40.0, 60.0, Infinity]",60.0,inf,closed,0,False,False,True,P05_PART_8a363bb19fd4,568055e0784e54a97792027d0751821b00923e0f99a9590b84bc95205439cc45
all,year_bucket,2017,config_static,categorical,,,signal_year,"[""2017"", ""2018"", ""2019"", ""2020"", ""2021"", ""2022"", ""2023"", ""2024"", ""2025""]",,,categorical,0,False,False,True,P05_PART_bf400a80dd79,b8d2dcc0267dbb763f9d3ace7c71130e97ba7a941b6e4e91dfafbd6ba38b9706
all,year_bucket,2018,config_static,categorical,,,signal_year,"[""2017"", ""2018"", ""2019"", ""2020"", ""2021"", ""2022"", ""2023"", ""2024"", ""2025""]",,,categorical,0,False,False,True,P05_PART_beb44123e158,756607075b6d5d05424259b335daed7755ec464f01e45f715bf410eb21b1630f
all,year_bucket,2019,config_static,categorical,,,signal_year,"[""2017"", ""2018"", ""2019"", ""2020"", ""2021"", ""2022"", ""2023"", ""2024"", ""2025""]",,,categorical,0,False,False,True,P05_PART_7aff11922ab6,0df8a40fedbc00f996ce62005b0518c4b5993605ca4ffb3c95a323410a8c158c
all,year_bucket,2020,config_static,categorical,,,signal_year,"[""2017"", ""2018"", ""2019"", ""2020"", ""2021"", ""2022"", ""2023"", ""2024"", ""2025""]",,,categorical,0,False,False,True,P05_PART_df64492a95ef,15ca48196bd3d0d313d37e8e6bcd3afdfed0d7dbb5940236fde3fe9e67ababc2
all,year_bucket,2021,config_static,categorical,,,signal_year,"[""2017"", ""2018"", ""2019"", ""2020"", ""2021"", ""2022"", ""2023"", ""2024"", ""2025""]",,,categorical,0,False,False,True,P05_PART_44c00970e79a,4c03541b1e3324962c76e5b7344057f93248a67d568210be1a9fc65a4a1384c9
all,year_bucket,2022,config_static,categorical,,,signal_year,"[""2017"", ""2018"", ""2019"", ""2020"", ""2021"", ""2022"", ""2023"", ""2024"", ""2025""]",,,categorical,0,False,False,True,P05_PART_1bd3c8af1a44,fc2ce65e71b5aa359e2931d9b753b6e8167f72fae3fc73feb51d2bfa547c5b4f
all,year_bucket,2023,config_static,categorical,,,signal_year,"[""2017"", ""2018"", ""2019"", ""2020"", ""2021"", ""2022"", ""2023"", ""2024"", ""2025""]",,,categorical,0,False,False,True,P05_PART_df36061f09aa,52f3ea6d507d123b95b4d22ebe10092f315a47776bc05b5b8e3b57248599a139
all,year_bucket,2024,config_static,categorical,,,signal_year,"[""2017"", ""2018"", ""2019"", ""2020"", ""2021"", ""2022"", ""2023"", ""2024"", ""2025""]",,,categorical,0,False,False,True,P05_PART_ee38fefbf663,6640fc99fa0a1be6cb1fa4cec58d8ea07c87505fbcae3cb455c9a7f06bd4fa0c
all,year_bucket,2025,config_static,categorical,,,signal_year,"[""2017"", ""2018"", ""2019"", ""2020"", ""2021"", ""2022"", ""2023"", ""2024"", ""2025""]",,,categorical,0,False,False,True,P05_PART_f381364dfe1e,a47d1150964e670364a57a1d878eeb0aedb152a4a25de800e2a90b6dad265fcc
all,executable_status,blocked,config_static,categorical,,,is_executable_next_open,"[""blocked"", ""executable""]",,,categorical,0,False,False,True,P05_PART_46baa197cf70,5f787fcf085e28a2bf07a94550f60ceab6f53dc742b941aafa0d2524b3c2eaf3
all,executable_status,executable,config_static,categorical,,,is_executable_next_open,"[""blocked"", ""executable""]",,,categorical,0,False,False,True,P05_PART_0cee223a644a,9b23a60e560c81c14fb08dba756b884fbc42ee76067b67614fb8edcb1d75de48
