split,anchor_family_id,diagnostic_axis,diagnostic_bucket,predeclared_partition_id,trigger_rate_type,numerator_split_rule,denominator_split_rule,numerator_bucket_source,anchor_trigger_count,upstream_anchor_trigger_count,cross_split_reference_count,ep2_launch_episode_count,denominator_scope,trigger_rate_per_launch_episode,trigger_rate_band,trigger_rate_gap_to_min_budget,unique_instrument_count,unique_instrument_year_count,trigger_count_reproduction_status,interpretation_status
train,pullback_hold_restrengthen,all,all,not_applicable,raw,anchor_event_split,canonical_launch_split,anchor_event,229,229,0,1153,split_level,0.19861231569817867,0.15_0.2,0.0013876843018213458,132,184,passed,interpretable
train,pullback_hold_restrengthen,year_bucket,2017,P05_PART_bf400a80dd79,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,13,229,0,46,bucket_level,0.2826086956521739,0.2_1.5,-0.08260869565217388,13,13,passed,too_sparse
train,pullback_hold_restrengthen,year_bucket,2018,P05_PART_beb44123e158,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,18,229,0,133,bucket_level,0.13533834586466165,0.1_0.15,0.06466165413533836,15,15,passed,too_sparse
train,pullback_hold_restrengthen,year_bucket,2019,P05_PART_7aff11922ab6,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,50,229,0,298,bucket_level,0.16778523489932887,0.15_0.2,0.032214765100671144,44,45,passed,interpretable
train,pullback_hold_restrengthen,year_bucket,2020,P05_PART_df64492a95ef,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,68,229,0,345,bucket_level,0.19710144927536233,0.15_0.2,0.002898550724637683,53,54,passed,interpretable
train,pullback_hold_restrengthen,year_bucket,2021,P05_PART_44c00970e79a,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,80,229,0,331,bucket_level,0.24169184290030213,0.2_1.5,-0.04169184290030212,64,64,passed,interpretable
train,pullback_hold_restrengthen,industry_bucket,UNKNOWN,P05_PART_7bbc930b413c,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,0,229,0,1,bucket_level,0.0,0_0.05,0.2,0,0,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,交通运输,P05_PART_5567ef72272e,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,17,229,0,73,bucket_level,0.2328767123287671,0.2_1.5,-0.0328767123287671,8,13,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,传媒,P05_PART_ab7d85ab49cf,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,10,229,0,20,bucket_level,0.5,0.2_1.5,-0.3,3,7,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,公用事业,P05_PART_5ab80d0e8e1b,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,8,229,0,45,bucket_level,0.17777777777777778,0.15_0.2,0.022222222222222227,7,7,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,农林牧渔,P05_PART_3eab43cc7673,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,4,229,0,12,bucket_level,0.3333333333333333,0.2_1.5,-0.1333333333333333,2,3,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,医药生物,P05_PART_e9da2e5c1389,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,17,229,0,72,bucket_level,0.2361111111111111,0.2_1.5,-0.036111111111111094,13,16,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,商贸零售,P05_PART_028b6c711bb7,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,2,229,0,12,bucket_level,0.16666666666666666,0.15_0.2,0.033333333333333354,1,2,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,国防军工,P05_PART_9be3680abaed,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,5,229,0,26,bucket_level,0.19230769230769232,0.15_0.2,0.007692307692307693,4,4,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,基础化工,P05_PART_2e042d6b8f63,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,6,229,0,44,bucket_level,0.13636363636363635,0.1_0.15,0.06363636363636366,5,5,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,家用电器,P05_PART_a15abe39afa3,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,4,229,0,32,bucket_level,0.125,0.1_0.15,0.07500000000000001,3,3,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,建筑材料,P05_PART_2ca4daa4df69,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,2,229,0,16,bucket_level,0.125,0.1_0.15,0.07500000000000001,1,1,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,建筑装饰,P05_PART_220dd76f3516,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,1,229,0,37,bucket_level,0.02702702702702703,0_0.05,0.17297297297297298,1,1,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,房地产,P05_PART_58e5ea3735ca,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,9,229,0,54,bucket_level,0.16666666666666666,0.15_0.2,0.033333333333333354,7,9,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,有色金属,P05_PART_e5a1accd8911,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,15,229,0,49,bucket_level,0.30612244897959184,0.2_1.5,-0.10612244897959183,7,11,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,机械设备,P05_PART_1e1dc3e0ab2d,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,4,229,0,20,bucket_level,0.2,0.2_1.5,0.0,3,4,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,汽车,P05_PART_ca1964526ecf,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,14,229,0,61,bucket_level,0.22950819672131148,0.2_1.5,-0.02950819672131147,4,11,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,煤炭,P05_PART_e14d8d96dc55,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,7,229,0,38,bucket_level,0.18421052631578946,0.15_0.2,0.015789473684210548,2,3,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,电力设备,P05_PART_029d2f3a704b,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,12,229,0,45,bucket_level,0.26666666666666666,0.2_1.5,-0.06666666666666665,7,8,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,电子,P05_PART_06cd7c59519e,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,29,229,0,97,bucket_level,0.29896907216494845,0.2_1.5,-0.09896907216494844,16,22,passed,interpretable
train,pullback_hold_restrengthen,industry_bucket,石油石化,P05_PART_b026189cf5cb,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,1,229,0,17,bucket_level,0.058823529411764705,0.05_0.1,0.1411764705882353,1,1,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,社会服务,P05_PART_335fb875e6e2,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,1,229,0,4,bucket_level,0.25,0.2_1.5,-0.04999999999999999,1,1,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,计算机,P05_PART_3c695642a3b4,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,9,229,0,35,bucket_level,0.2571428571428571,0.2_1.5,-0.057142857142857106,6,8,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,轻工制造,P05_PART_e1d9610a174b,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,1,229,0,2,bucket_level,0.5,0.2_1.5,-0.3,1,1,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,通信,P05_PART_2199aca9574e,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,2,229,0,12,bucket_level,0.16666666666666666,0.15_0.2,0.033333333333333354,1,1,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,钢铁,P05_PART_5fbb8c288926,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,4,229,0,20,bucket_level,0.2,0.2_1.5,0.0,2,3,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,银行,P05_PART_554709790ba9,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,8,229,0,105,bucket_level,0.0761904761904762,0.05_0.1,0.12380952380952381,4,6,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,非银金融,P05_PART_fa21c42ca5ce,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,18,229,0,135,bucket_level,0.13333333333333333,0.1_0.15,0.06666666666666668,14,18,passed,too_sparse
train,pullback_hold_restrengthen,industry_bucket,食品饮料,P05_PART_d33431c59d85,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,19,229,0,69,bucket_level,0.2753623188405797,0.2_1.5,-0.0753623188405797,8,15,passed,too_sparse
train,pullback_hold_restrengthen,executable_status,blocked,P05_PART_46baa197cf70,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,1,229,0,4,bucket_level,0.25,0.2_1.5,-0.04999999999999999,1,1,passed,too_sparse
train,pullback_hold_restrengthen,executable_status,executable,P05_PART_0cee223a644a,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,228,229,0,1149,bucket_level,0.19843342036553524,0.15_0.2,0.0015665796344647709,131,183,passed,interpretable
train,pullback_hold_restrengthen,money_bucket,0,P05_PART_e3621f440496,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,6,229,0,36,bucket_level,0.16666666666666666,0.15_0.2,0.033333333333333354,5,5,passed,too_sparse
train,pullback_hold_restrengthen,money_bucket,1,P05_PART_9c1df3bb564c,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,21,229,0,90,bucket_level,0.23333333333333334,0.2_1.5,-0.033333333333333326,16,19,passed,interpretable
train,pullback_hold_restrengthen,money_bucket,2,P05_PART_239208c4d0f9,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,40,229,0,164,bucket_level,0.24390243902439024,0.2_1.5,-0.04390243902439023,32,37,passed,interpretable
train,pullback_hold_restrengthen,money_bucket,3,P05_PART_556b169e12b1,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,56,229,0,283,bucket_level,0.1978798586572438,0.15_0.2,0.0021201413427562044,46,50,passed,interpretable
train,pullback_hold_restrengthen,money_bucket,4,P05_PART_481390dbfb50,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,106,229,0,561,bucket_level,0.1889483065953654,0.15_0.2,0.011051693404634605,70,88,passed,interpretable
train,pullback_hold_restrengthen,money_bucket,unbucketed,not_applicable,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,0,229,0,19,bucket_level,0.0,0_0.05,0.2,0,0,passed,too_sparse
train,pullback_hold_restrengthen,vol20_bucket,0,P05_PART_8a57903b6903,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,4,229,0,67,bucket_level,0.05970149253731343,0.05_0.1,0.14029850746268657,4,4,passed,too_sparse
train,pullback_hold_restrengthen,vol20_bucket,1,P05_PART_fd87db9809b4,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,25,229,0,165,bucket_level,0.15151515151515152,0.15_0.2,0.04848484848484849,23,24,passed,interpretable
train,pullback_hold_restrengthen,vol20_bucket,2,P05_PART_078d718fac0c,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,50,229,0,298,bucket_level,0.16778523489932887,0.15_0.2,0.032214765100671144,38,44,passed,interpretable
train,pullback_hold_restrengthen,vol20_bucket,3,P05_PART_194ac7ca9f6f,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,79,229,0,315,bucket_level,0.2507936507936508,0.2_1.5,-0.05079365079365078,64,72,passed,interpretable
train,pullback_hold_restrengthen,vol20_bucket,4,P05_PART_34b3514cf6c1,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,71,229,0,289,bucket_level,0.24567474048442905,0.2_1.5,-0.045674740484429044,55,62,passed,interpretable
train,pullback_hold_restrengthen,vol20_bucket,unbucketed,not_applicable,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,0,229,0,19,bucket_level,0.0,0_0.05,0.2,0,0,passed,too_sparse
train,pullback_hold_restrengthen,ret_60d_bucket,0,P05_PART_79029ea4e39d,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,0,229,0,3,bucket_level,0.0,0_0.05,0.2,0,0,passed,too_sparse
train,pullback_hold_restrengthen,ret_60d_bucket,1,P05_PART_e112cdbd9937,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,0,229,0,19,bucket_level,0.0,0_0.05,0.2,0,0,passed,too_sparse
train,pullback_hold_restrengthen,ret_60d_bucket,2,P05_PART_e5a4d5771669,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,13,229,0,73,bucket_level,0.1780821917808219,0.15_0.2,0.021917808219178103,13,13,passed,too_sparse
train,pullback_hold_restrengthen,ret_60d_bucket,3,P05_PART_7413d8b18e92,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,67,229,0,342,bucket_level,0.195906432748538,0.15_0.2,0.00409356725146201,53,61,passed,interpretable
train,pullback_hold_restrengthen,ret_60d_bucket,4,P05_PART_d6b7492c072c,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,149,229,0,697,bucket_level,0.21377331420373027,0.2_1.5,-0.013773314203730264,100,126,passed,interpretable
train,pullback_hold_restrengthen,ret_60d_bucket,unbucketed,not_applicable,raw,anchor_event_split,canonical_launch_split,canonical_denominator_row,0,229,0,19,bucket_level,0.0,0_0.05,0.2,0,0,passed,too_sparse
train,pullback_hold_restrengthen,anchor_window_position_bucket,0.139535_0.372093,P05_PART_b0ed159c4c63,raw,anchor_event_split,canonical_launch_split,anchor_event,57,229,0,1153,split_level,0.049436253252385085,0_0.05,0.1505637467476149,51,56,passed,interpretable
train,pullback_hold_restrengthen,anchor_window_position_bucket,0.372093_0.627907,P05_PART_a9a24906fcf7,raw,anchor_event_split,canonical_launch_split,anchor_event,58,229,0,1153,split_level,0.05030355594102342,0.05_0.1,0.14969644405897659,52,56,passed,interpretable
train,pullback_hold_restrengthen,anchor_window_position_bucket,ge_0.627907,P05_PART_c6515f897e07,raw,anchor_event_split,canonical_launch_split,anchor_event,60,229,0,1153,split_level,0.05203816131830009,0.05_0.1,0.14796183868169993,50,53,passed,interpretable
