anchor_family_id,split,translation_metric_id,metric_source,lifecycle_anchor_recall,canonical_launch_denominator,deduped_anchor_candidate_count,forward_executable_anchor_count,forward_gate_eligible_anchor_count,matched_delay_pair_exclusion_count,metric_numerator,metric_denominator,metric_value,metric_interpretation
pullback_hold_restrengthen,train,lifecycle_anchor_recall,ep3_gate_audit.csv,0.3445945945945945,1153,229,229,181,0,,,0.3445945945945945,upstream lifecycle gate value
pullback_hold_restrengthen,train,forward_executable_anchor_rate,p0_5_anchor_event_diagnostic_panel,0.3445945945945945,1153,229,229,181,0,229.0,1153.0,0.19861231569817867,executable anchor triggers per canonical launch episode
pullback_hold_restrengthen,train,forward_gate_eligible_anchor_rate,p0_5_anchor_event_diagnostic_panel,0.3445945945945945,1153,229,229,181,0,181.0,1153.0,0.1569817866435386,H20 gate-eligible executable anchors per canonical launch episode
pullback_hold_restrengthen,train,execution_block_rate,p0_5_anchor_event_diagnostic_panel,0.3445945945945945,1153,229,229,181,0,0.0,229.0,0.0,deduped anchors blocked at next open
pullback_hold_restrengthen,train,label_horizon_ineligible_rate,p0_5_anchor_event_diagnostic_panel,0.3445945945945945,1153,229,229,181,0,48.0,229.0,0.2096069868995633,executable anchors excluded from primary H20 gate
pullback_hold_restrengthen,train,matched_delay_underperformance_rate,p0_5_anchor_event_diagnostic_panel+p0_5_baseline_event_diagnostic_panel,0.3445945945945945,1153,229,229,181,2,83.0,179.0,0.46368715083798884,share of paired anchors not beating matched-delay baseline
pullback_hold_restrengthen,train,winner_capture_rate_50h120,p0_5_anchor_event_diagnostic_panel,0.3445945945945945,1153,229,229,181,0,30.0,181.0,0.16574585635359115,gate-eligible anchor winner capture
pullback_hold_restrengthen,train,trigger_budget_shortfall_rate,p0_5_trigger_decomposition.csv,0.3445945945945945,1153,229,229,181,0,0.0013876843018213458,1.0,0.0013876843018213458,shortfall to 20pct trigger budget floor
second_breakout,train,lifecycle_anchor_recall,ep3_gate_audit.csv,0.4611486486486486,1153,221,221,184,0,,,0.4611486486486486,upstream lifecycle gate value
second_breakout,train,forward_executable_anchor_rate,p0_5_anchor_event_diagnostic_panel,0.4611486486486486,1153,221,221,184,0,221.0,1153.0,0.191673894189072,executable anchor triggers per canonical launch episode
second_breakout,train,forward_gate_eligible_anchor_rate,p0_5_anchor_event_diagnostic_panel,0.4611486486486486,1153,221,221,184,0,184.0,1153.0,0.1595836947094536,H20 gate-eligible executable anchors per canonical launch episode
second_breakout,train,execution_block_rate,p0_5_anchor_event_diagnostic_panel,0.4611486486486486,1153,221,221,184,0,0.0,221.0,0.0,deduped anchors blocked at next open
second_breakout,train,label_horizon_ineligible_rate,p0_5_anchor_event_diagnostic_panel,0.4611486486486486,1153,221,221,184,0,37.0,221.0,0.167420814479638,executable anchors excluded from primary H20 gate
second_breakout,train,matched_delay_underperformance_rate,p0_5_anchor_event_diagnostic_panel+p0_5_baseline_event_diagnostic_panel,0.4611486486486486,1153,221,221,184,3,94.0,181.0,0.5193370165745856,share of paired anchors not beating matched-delay baseline
second_breakout,train,winner_capture_rate_50h120,p0_5_anchor_event_diagnostic_panel,0.4611486486486486,1153,221,221,184,0,41.0,184.0,0.22282608695652173,gate-eligible anchor winner capture
second_breakout,train,trigger_budget_shortfall_rate,p0_5_trigger_decomposition.csv,0.4611486486486486,1153,221,221,184,0,0.00832610581092802,1.0,0.00832610581092802,shortfall to 20pct trigger budget floor
pullback_hold_restrengthen,validation,lifecycle_anchor_recall,ep3_gate_audit.csv,0.3445945945945945,536,91,91,77,0,,,0.3445945945945945,upstream lifecycle gate value
pullback_hold_restrengthen,validation,forward_executable_anchor_rate,p0_5_anchor_event_diagnostic_panel,0.3445945945945945,536,91,91,77,0,91.0,536.0,0.16977611940298507,executable anchor triggers per canonical launch episode
pullback_hold_restrengthen,validation,forward_gate_eligible_anchor_rate,p0_5_anchor_event_diagnostic_panel,0.3445945945945945,536,91,91,77,0,77.0,536.0,0.14365671641791045,H20 gate-eligible executable anchors per canonical launch episode
pullback_hold_restrengthen,validation,execution_block_rate,p0_5_anchor_event_diagnostic_panel,0.3445945945945945,536,91,91,77,0,0.0,91.0,0.0,deduped anchors blocked at next open
pullback_hold_restrengthen,validation,label_horizon_ineligible_rate,p0_5_anchor_event_diagnostic_panel,0.3445945945945945,536,91,91,77,0,14.0,91.0,0.15384615384615385,executable anchors excluded from primary H20 gate
pullback_hold_restrengthen,validation,matched_delay_underperformance_rate,p0_5_anchor_event_diagnostic_panel+p0_5_baseline_event_diagnostic_panel,0.3445945945945945,536,91,91,77,4,46.0,73.0,0.6301369863013698,share of paired anchors not beating matched-delay baseline
pullback_hold_restrengthen,validation,winner_capture_rate_50h120,p0_5_anchor_event_diagnostic_panel,0.3445945945945945,536,91,91,77,0,2.0,77.0,0.025974025974025976,gate-eligible anchor winner capture
