decision_scope,anchor_family_id,recommended_decision,decision_precedence_rank,supporting_hypothesis_ids,primary_evidence_report,validation_interpretable_partition_count,robustness_interpretable_partition_count,predeclared_partition_id,predeclared_partition_source,validation_partition_trigger_rate_per_launch_episode,validation_partition_unique_instrument_year_count,validation_partition_mean_diff_vs_matched_delay,validation_partition_p05_diff_vs_matched_delay,robustness_collapse_status,family_stop_required,partition_freeze_rule_status,formula_repair_rule_status,deferred_family_rule_status,decision_rule_status,decision_rationale
family,pullback_hold_restrengthen,stop_current_family,1,h4_matched_baseline_too_strong_or_anchor_no_lift;h5_tail_risk_not_trigger_rate_is_core_failure,reports/p0_5_hypothesis_audit.csv,8,8,,not_applicable,,,,,not_applicable,True,failed,failed,not_applicable,passed,"Stop required by sparse partitions, matched-baseline failure, or tail/concentration failure."
family,second_breakout,stop_current_family,1,h4_matched_baseline_too_strong_or_anchor_no_lift;h5_tail_risk_not_trigger_rate_is_core_failure,reports/p0_5_hypothesis_audit.csv,10,7,,not_applicable,,,,,not_applicable,True,failed,failed,not_applicable,passed,"Stop required by sparse partitions, matched-baseline failure, or tail/concentration failure."
overall,all,write_deferred_family_requirement,2,,reports/p0_5_stop_continue_decision.csv,18,15,,not_applicable,,,,,not_applicable,not_applicable,not_applicable,not_applicable,passed,passed,Overall decision follows family precedence unless deferred-family rule passes.
