stage_order,stage_name,completed_at,validation_outcomes_used_by_stage,robustness_outcomes_used_by_stage,frozen_artifact_written,artifact_hash_after_stage
1,upstream artifact authority check,2026-05-10T06:33:25.964365+00:00,False,False,reports/p0_5_upstream_authority.csv,865bab46eac0e263025b95e42babdabc915122ec972934a3ff9cbdd45eaba8f8
2,upstream no-go reproduction,2026-05-10T06:33:25.964440+00:00,False,False,reports/p0_5_upstream_reproduction.csv,29d242fc935368c334e890dca06fec3b28315b7b3792e9477f718564f59e1066
3,formula diagnostic precompute and train-only diagnostic bin freeze,2026-05-10T06:33:25.964462+00:00,False,False,reports/p0_5_diagnostic_bin_freeze.csv,75d74c7001cd8643a99a178ce5ffa9463f4a87c1181dfc61aec7d8aa37f1a060
4,anchor and baseline event enrichment using frozen bins,2026-05-10T06:33:25.964497+00:00,True,True,cache/p0_5_anchor_event_diagnostic_panel.parquet;cache/p0_5_baseline_event_diagnostic_panel.parquet,8ac441408ba9ca8490842c630b3eae048658025dd0d1e4903acbfb8e2b9ad5fb
5,trigger budget decomposition,2026-05-10T06:33:25.965554+00:00,True,True,reports/p0_5_trigger_denominator_panel.csv;reports/p0_5_trigger_denominator_reconciliation.csv;reports/p0_5_trigger_decomposition.csv,d0fe6746b9343e2ee82adc591a2dd8be17611c9e67ff7f95411dd574a3da9961
6,matched-baseline lift decomposition,2026-05-10T06:33:25.965924+00:00,True,True,reports/p0_5_matched_lift_decomposition.csv,c37a25b3b56b4f163c188e4d3c65d27a954e035a171b52e896aab5aa16859a10
7,tail-risk and failure-lookalike decomposition,2026-05-10T06:33:25.966173+00:00,True,True,reports/p0_5_tail_failure_decomposition.csv;reports/p0_5_year_industry_concentration.csv;reports/p0_5_instrument_concentration.csv,8106fea57cc857c581c6175aceaa15305a075b3fbcc667e46fbdc20b00202497
8,lifecycle-vs-forward translation audit,2026-05-10T06:33:25.966501+00:00,True,True,reports/p0_5_lifecycle_forward_translation.csv;reports/p0_5_sensitivity_horizon_audit.csv,3cc45aaea2eb4ee5032e7f967c3b784339fb78a19838bf57b334f2cd8a68d3c3
9,conclusion and stop/continue decision,2026-05-10T06:33:25.966944+00:00,True,True,reports/p0_5_hypothesis_audit.csv;reports/p0_5_stop_continue_decision.csv;reports/p0_5_diagnostic_report.md,431a335484ca0eb4bed5e5f04c9f8a000824534549b42e0ac620cad24e3314f9
10,manifest and validator,2026-05-10T06:33:25.966984+00:00,True,True,reports/p0_5_stage_order_audit.csv,4185b6e22ab7468729123320fb207b6f6d65898229aa0229199d75b172549a87
