family,sample_gate_pass,sample_block_annotation,time_transfer_gate_pass,instrument_transfer_gate_pass,concentration_gate_pass,monotonicity_gate_pass,validation_vs_train_non_deterioration_pass,robustness_vs_train_non_deterioration_pass,train_baseline_input_scope,train_frozen_direction_input_scope,train_frozen_bucket_edge_input_scope,seen_instrument_pass,unseen_transfer_pass,low_factor_count_caveat,validation_single_positive_year_candidate,supported_family_flag,family_decision_label
volume_price_correlation,False,family_sample_blocked,False,False,True,True,True,True,all_active_train_year_instruments,instrument_train_set_train_years,instrument_train_set_train_years,False,False,False,True,False,no_support
volume_surge_money_flow,False,family_sample_blocked,False,False,True,False,True,True,all_active_train_year_instruments,instrument_train_set_train_years,instrument_train_set_train_years,True,False,False,False,False,stock_specific_behavior_only
vwap_deviation,False,family_sample_blocked,True,False,True,True,True,True,all_active_train_year_instruments,instrument_train_set_train_years,instrument_train_set_train_years,False,False,False,False,False,no_support
