replication_id,seed,rng,primary_strata,fallback_strata,candidate_n,assignment_hash,date_gross_invariance_gate,date_weight_multiset_invariance_gate,forward_candidate_manifest_hash
0,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
1,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
2,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
3,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
4,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
5,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
6,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
7,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
8,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
9,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
10,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
11,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
12,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
13,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
14,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
15,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
16,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
17,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
18,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
19,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
20,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
21,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
22,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
23,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
24,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
25,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
26,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
27,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
28,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
29,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
30,20260711,numpy_default_rng_PCG64,decision_date|board_bucket,decision_date,0,b6434f57876fe91164d63ac3f17a5929060868fcb230c3d7365cdf7844982b14,pass,pass,a46fd46fb9ed11852860ba46c357a1e7676b24e6b49484c7368ed753bf09428f
