artifact_id,artifact_path,artifact_type,exists,nonempty,sha256,expected_hash,hash_verified,size_bytes,row_count,schema_hash,input_artifact_gate
nineteen_b0_label_source_map,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B0_fast_rule_grid_enrichment_scan/label_source_map.csv,csv,True,True,44620ce406f9b78dbca513c2874f3ac98d0fdc6be8770fb8bccb6118e11ff896,44620ce406f9b78dbca513c2874f3ac98d0fdc6be8770fb8bccb6118e11ff896,True,5437,20,41caf78d839b1cd36dcc7b16d1b8848e95dbcb0de1c8584bf5108f4385be524d,pass
nineteen_b0_matching_feature_source_map,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B0_fast_rule_grid_enrichment_scan/matching_feature_source_map.csv,csv,True,True,3fbef2d02609c1946fdff2f9adf88d8d35e1efb5c4b74fb015fedd36967c492f,3fbef2d02609c1946fdff2f9adf88d8d35e1efb5c4b74fb015fedd36967c492f,True,1304,6,f4b81bd83081e498a55ef1580540a0d9692a3df44d8d7f12fa9a65319be81b8c,pass
nineteen_b0_output_hashes,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B0_fast_rule_grid_enrichment_scan/output_hashes_19b0_fast_rule_grid_enrichment_scan.json,json,True,True,238f317708350c4898b146caefb9e0619117225417130bed8854f4249be7376d,,True,2607,,01a940c825c5895bccea1d205d20dfffa8f39f09ac1479400770767ed7e9a21a,pass
nineteen_b0_selected_family_cell_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B0_fast_rule_grid_enrichment_scan/selected_family_cell_manifest.csv,csv,True,True,49fc5e2ce6dffc5428140ad6c41c102edd275849967a78c400e261bbeb82e3b0,49fc5e2ce6dffc5428140ad6c41c102edd275849967a78c400e261bbeb82e3b0,True,1447,2,0599da223a9f779bf6a720744b0c8fd2608d38ce2132be71a906ca8b6ae4fd61,pass
nineteen_b0_simple_rule_feature_source_map,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B0_fast_rule_grid_enrichment_scan/simple_rule_feature_source_map.csv,csv,True,True,2ab33236368bcbf6fd980459a44efba9ad91833e7cbfd7d4fe5a5ad60b6bdcf3,2ab33236368bcbf6fd980459a44efba9ad91833e7cbfd7d4fe5a5ad60b6bdcf3,True,5597,18,103f230aa4b128562884bcf1e7a283db738e11ea670915234cb6dfc2d2fb18c8,pass
nineteen_b1_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B1_t0_left_right_tail_separability_readout/entry_universe_19b1_decision.csv,csv,True,True,459ae619d3ac03b4dc29089b6cb44a98a1248a8ae54e1c9c2a73bb84108519c9,459ae619d3ac03b4dc29089b6cb44a98a1248a8ae54e1c9c2a73bb84108519c9,True,2000,1,9a8c315ea6a78cd175f90b21755ecf9c536184c45e8747e5cec63f8f4df28f9b,pass
nineteen_b1_feature_panel_cache,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B1_t0_left_right_tail_separability_readout/local_cache/t0_feature_panel_candidate_dates_v1.parquet,parquet,True,True,394d35719301c1e1b95980ffb3549387f6401306493741446e31e5630cc7e448,,True,29940731,,,pass
nineteen_b1_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B1_t0_left_right_tail_separability_readout/manifest_19b1_t0_left_right_tail_separability_readout.json,json,True,True,43fba88e7be1cd95c631385f6092bf56516239dc2e2921e9ed16106e0ccf3bbd,43fba88e7be1cd95c631385f6092bf56516239dc2e2921e9ed16106e0ccf3bbd,True,8376,,01a940c825c5895bccea1d205d20dfffa8f39f09ac1479400770767ed7e9a21a,pass
nineteen_b1_output_hashes,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B1_t0_left_right_tail_separability_readout/output_hashes_19b1_t0_left_right_tail_separability_readout.json,json,True,True,6c5c8e3e887a85303aa8a684c959f317bf45d622ee26df2542c26eb754ac9f37,,True,1825,,01a940c825c5895bccea1d205d20dfffa8f39f09ac1479400770767ed7e9a21a,pass
nineteen_b1_overlap_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B1_t0_left_right_tail_separability_readout/outcome_left_right_overlap_readout.csv,csv,True,True,3d311dcb4da0dc1e7160b6eda2176cb7d517b24d8060f1e4e9a12ef1a13cfeba,3d311dcb4da0dc1e7160b6eda2176cb7d517b24d8060f1e4e9a12ef1a13cfeba,True,1039,1,badca4e5777ea728fcba18ed19d89f337a99c9ff0f0dea2230bff187b532dbe2,pass
