upstream_scope,required_fact,expected_value,observed_value,source_artifact,source_sha256,contract_gate,blocking_reason
19B1,family_id,B2_relative_strength_breakout,B2_relative_strength_breakout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B1_t0_left_right_tail_separability_readout/entry_universe_19b1_decision.csv,459ae619d3ac03b4dc29089b6cb44a98a1248a8ae54e1c9c2a73bb84108519c9,pass,
19B1,grid_cell_id,B2-relative-strength-breakout__182b3d0f30f5,B2-relative-strength-breakout__182b3d0f30f5,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B1_t0_left_right_tail_separability_readout/entry_universe_19b1_decision.csv,459ae619d3ac03b4dc29089b6cb44a98a1248a8ae54e1c9c2a73bb84108519c9,pass,
19B1,row_scope,candidate_primary_denominator,candidate_primary_denominator,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B1_t0_left_right_tail_separability_readout/entry_universe_19b1_decision.csv,459ae619d3ac03b4dc29089b6cb44a98a1248a8ae54e1c9c2a73bb84108519c9,pass,
19B1,decision_state,19B1_t0_left_right_tail_separable_diagnostic,19B1_t0_left_right_tail_separable_diagnostic,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B1_t0_left_right_tail_separability_readout/entry_universe_19b1_decision.csv,459ae619d3ac03b4dc29089b6cb44a98a1248a8ae54e1c9c2a73bb84108519c9,pass,
19B1,validation_outcome_read,False,False,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B1_t0_left_right_tail_separability_readout/entry_universe_19b1_decision.csv,459ae619d3ac03b4dc29089b6cb44a98a1248a8ae54e1c9c2a73bb84108519c9,pass,
19B1,next_allowed_requirement,none,none,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B1_t0_left_right_tail_separability_readout/entry_universe_19b1_decision.csv,459ae619d3ac03b4dc29089b6cb44a98a1248a8ae54e1c9c2a73bb84108519c9,pass,
19B2,validation_outcome_read,False,False,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B2_b2_high_vol_extension_left_tail_suppressor_ablation/entry_universe_19b2_decision.csv,e1247063e3b36b7e881d0ab7b6f18129f63c4d0abb6a966a0a1a55e33e1523b6,pass,
19B2,interaction_superiority_gate,fail,fail,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B2_b2_high_vol_extension_left_tail_suppressor_ablation/entry_universe_19b2_decision.csv,e1247063e3b36b7e881d0ab7b6f18129f63c4d0abb6a966a0a1a55e33e1523b6,pass,
19B2,best_single_feature_variant_id,A_ATR20_top10,A_ATR20_top10,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B2_b2_high_vol_extension_left_tail_suppressor_ablation/entry_universe_19b2_decision.csv,e1247063e3b36b7e881d0ab7b6f18129f63c4d0abb6a966a0a1a55e33e1523b6,pass,
19B2,next_allowed_requirement,none,none,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B2_b2_high_vol_extension_left_tail_suppressor_ablation/entry_universe_19b2_decision.csv,e1247063e3b36b7e881d0ab7b6f18129f63c4d0abb6a966a0a1a55e33e1523b6,pass,
