instrument,artifact_path,sha256,size_bytes,row_count,schema_hash,min_date,max_date,read_for_forward_outcome
SH600000,data/raw/akshare/day/qfq/SH600000.csv,bca351d03dc5cc58f9bb9834ce21665987fa5d507eda10333da5d906bd3fd6fd,255841,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600004,data/raw/akshare/day/qfq/SH600004.csv,ec2f629f3c2da9889e29bc7e48367c3a12cd570ad5283664bbb193137d9995eb,260010,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600006,data/raw/akshare/day/qfq/SH600006.csv,9cecfe36452bcec294e354ade0e7eddabfaa158545914bac529fa706e72f74f8,237638,2276,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600007,data/raw/akshare/day/qfq/SH600007.csv,8af3c8bbb81348704b225fe1c69e6b9c12c1f7e264d35b4f216c72b1467a96bb,258366,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600008,data/raw/akshare/day/qfq/SH600008.csv,3b88bc7c401f03711207ede38df0eb9a56a67ba4a5bca445cce26c05cc444455,252214,2265,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600009,data/raw/akshare/day/qfq/SH600009.csv,67d06cec052ffff8a587b0db2c4f6f1df7c0f459a1564b1cd9bcb69a9d3cecf1,261296,2270,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600010,data/raw/akshare/day/qfq/SH600010.csv,d6acaf50224e6a7960f94c415738b9d94b2c9990648b181d37651b2f9925c3fd,256113,2272,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600011,data/raw/akshare/day/qfq/SH600011.csv,51e1e1e2a7b633b0364d4835d37fe22190d637dc51d8d8baf2d2728894b1ab7c,254127,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600012,data/raw/akshare/day/qfq/SH600012.csv,f32d68bb68dbbb33617bab48fd424bcdeb178b680dcfb5c43efd30eb0cbff597,251756,2271,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600015,data/raw/akshare/day/qfq/SH600015.csv,d968053c605e59890f333a7d980c89885a6b4060d4d43221900229d7d9261817,254032,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600016,data/raw/akshare/day/qfq/SH600016.csv,15e1e657343d6beb66bec76301099953ffc39ae5c13da705b99709f0bb581e73,255587,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600017,data/raw/akshare/day/qfq/SH600017.csv,a61690829ed8866b37037b3f8aaa3f3e2ed372979329aff845fdf33cc3ef3230,252296,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600018,data/raw/akshare/day/qfq/SH600018.csv,fba318a23f86b3c1e4bd88bd934d8fcf514633c3b95d567cdc87368a8e220549,253488,2278,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
