decision_date,gross_return,net_return,universe_equal_weight_return,buy_fraction,sell_fraction,one_way_turnover,cost,holding_n,lane,seed,topk
2024-01-02,-0.008122655563056469,-0.00862265556305647,-0.009396140463650227,1.0,0.0,0.5,0.0005,50,PAPER_PROXY,20260723,50
2024-01-03,-0.005761327687650919,-0.005961327687650919,-0.007673677988350391,0.1,0.1,0.1,0.0002,50,PAPER_PROXY,20260723,50
2024-01-04,-0.011696230620145798,-0.011896230620145798,-0.01446051150560379,0.1,0.1,0.1,0.0002,50,PAPER_PROXY,20260723,50
2024-01-05,-0.0008683073683641851,-0.001108307368364185,0.0022301252465695143,0.12,0.12,0.12,0.00023999999999999998,50,PAPER_PROXY,20260723,50
2024-01-08,-0.004337964113801718,-0.004537964113801717,-0.004461190197616816,0.1,0.1,0.1,0.0002,50,PAPER_PROXY,20260723,50
2024-01-09,0.0005669534439221025,0.00032695344392210247,0.005916890222579241,0.12,0.12,0.12,0.00023999999999999998,50,PAPER_PROXY,20260723,50
2024-01-10,-0.005194517318159342,-0.0053945173181593415,-0.0038646135944873095,0.1,0.1,0.1,0.0002,50,PAPER_PROXY,20260723,50
2024-01-11,-6.878376007080078e-05,-0.00030878376007080076,-0.0011914946371689439,0.12,0.12,0.12,0.00023999999999999998,50,PAPER_PROXY,20260723,50
2024-01-12,-0.0011451221071183681,-0.0013451221071183682,0.004273656755685806,0.1,0.1,0.1,0.0002,50,PAPER_PROXY,20260723,50
2024-01-15,-0.020142359659075737,-0.020382359659075738,-0.022151373326778412,0.12,0.12,0.12,0.00023999999999999998,50,PAPER_PROXY,20260723,50
2024-01-16,0.004858697764575481,0.004618697764575482,0.010963221080601215,0.12,0.12,0.12,0.00023999999999999998,50,PAPER_PROXY,20260723,50
2024-01-17,-0.009938890114426613,-0.010138890114426613,-0.007573820650577545,0.1,0.1,0.1,0.0002,50,PAPER_PROXY,20260723,50
2024-01-18,-0.026593847200274467,-0.026793847200274466,-0.0253303200006485,0.1,0.1,0.1,0.0002,50,PAPER_PROXY,20260723,50
2024-01-19,0.01334809884428978,0.01314809884428978,0.010607975535094738,0.1,0.1,0.1,0.0002,50,PAPER_PROXY,20260723,50
2024-01-22,0.015388283878564835,0.015148283878564834,0.01655276119709015,0.12,0.12,0.12,0.00023999999999999998,50,PAPER_PROXY,20260723,50
