path_type,eligible_episode_n,captured_episode_n,episode_recall,captured_episode_share
jump_repricing_winner,42,19,0.4523809523809524,0.06529209621993128
late_rescue_winner,193,70,0.3626943005181347,0.24054982817869416
slow_grind_winner,104,85,0.8173076923076923,0.2920962199312715
smooth_trend_winner,33,17,0.5151515151515151,0.058419243986254296
stair_step_winner,7,6,0.8571428571428571,0.020618556701030927
unclassified_mixed_path,155,94,0.6064516129032258,0.3230240549828179
unclassified_short_path,11,0,0.0,0.0
