source_pool_id,scope_type,scope_status,scope_mapping_status,hard_gate_eligible_flag,source_row_count,selected_event_count,accepted_difference_reason,status
08_R_core_event_regime_gated,contract_scope,reconstructable_event_membership,reconstructable_event_membership,True,47914,30790,08_A_H_accepted_r_core_minus_15,pass
08_R6_event_regime_gated,contract_scope,reconstructable_event_membership,reconstructable_event_membership,True,16204,9260,,pass
07_E1_only,contract_scope,reconstructable_event_membership,reconstructable_event_membership,True,6820,1887,,pass
risk_off_e1_horizon_complete_readonly,derived_readonly_scope,derived_from_07_E1_only_event_regime_risk_off_horizon_complete_10d,not_in_contract_by_design,False,1887,1887,derived_readonly_scope_exempt_from_scope_mapping_contract,pass
