family,fold_id,factor_id,total_valid_instrument_count,nonconstant_instrument_count,factor_nonconstant_observation_share,factor_nonconstant_observation_pass
volume_surge_money_flow,0,alpha025,170,170,1.0,True
volume_surge_money_flow,0,alpha069,191,191,1.0,True
volume_surge_money_flow,0,alpha076,191,191,1.0,True
volume_surge_money_flow,0,alpha080,191,191,1.0,True
volume_surge_money_flow,0,alpha081,191,191,1.0,True
volume_surge_money_flow,0,alpha086,191,191,1.0,True
volume_surge_money_flow,0,alpha098,191,191,1.0,True
volume_surge_money_flow,0,alpha100,191,191,1.0,True
volume_surge_money_flow,0,alpha135,191,191,1.0,True
volume_surge_money_flow,0,alpha145,191,191,1.0,True
volume_surge_money_flow,0,alpha146,190,190,1.0,True
volume_surge_money_flow,0,alpha168,191,191,1.0,True
volume_surge_money_flow,0,alpha169,191,191,1.0,True
volume_surge_money_flow,0,alpha178,191,191,1.0,True
volume_surge_money_flow,0,alpha181,191,191,1.0,True
volume_surge_money_flow,1,alpha025,164,164,1.0,True
volume_surge_money_flow,1,alpha069,186,186,1.0,True
volume_surge_money_flow,1,alpha076,186,186,1.0,True
volume_surge_money_flow,1,alpha080,186,186,1.0,True
volume_surge_money_flow,1,alpha081,186,186,1.0,True
volume_surge_money_flow,1,alpha086,186,186,1.0,True
volume_surge_money_flow,1,alpha098,186,186,1.0,True
volume_surge_money_flow,1,alpha100,186,186,1.0,True
volume_surge_money_flow,1,alpha135,186,186,1.0,True
volume_surge_money_flow,1,alpha145,186,186,1.0,True
volume_surge_money_flow,1,alpha146,185,185,1.0,True
volume_surge_money_flow,1,alpha168,186,186,1.0,True
volume_surge_money_flow,1,alpha169,186,186,1.0,True
volume_surge_money_flow,1,alpha178,186,186,1.0,True
volume_surge_money_flow,1,alpha181,185,185,1.0,True
volume_surge_money_flow,2,alpha025,162,162,1.0,True
volume_surge_money_flow,2,alpha069,187,187,1.0,True
volume_surge_money_flow,2,alpha076,187,187,1.0,True
volume_surge_money_flow,2,alpha080,187,187,1.0,True
volume_surge_money_flow,2,alpha081,187,187,1.0,True
volume_surge_money_flow,2,alpha086,187,187,1.0,True
volume_surge_money_flow,2,alpha098,187,187,1.0,True
volume_surge_money_flow,2,alpha100,187,187,1.0,True
volume_surge_money_flow,2,alpha135,187,187,1.0,True
volume_surge_money_flow,2,alpha145,187,187,1.0,True
volume_surge_money_flow,2,alpha146,186,186,1.0,True
volume_surge_money_flow,2,alpha168,187,187,1.0,True
volume_surge_money_flow,2,alpha169,187,187,1.0,True
volume_surge_money_flow,2,alpha178,187,187,1.0,True
volume_surge_money_flow,2,alpha181,186,186,1.0,True
volume_surge_money_flow,3,alpha025,157,157,1.0,True
volume_surge_money_flow,3,alpha069,175,175,1.0,True
volume_surge_money_flow,3,alpha076,175,175,1.0,True
volume_surge_money_flow,3,alpha080,175,175,1.0,True
volume_surge_money_flow,3,alpha081,175,175,1.0,True
volume_surge_money_flow,3,alpha086,175,175,1.0,True
volume_surge_money_flow,3,alpha098,175,175,1.0,True
volume_surge_money_flow,3,alpha100,175,175,1.0,True
volume_surge_money_flow,3,alpha135,175,175,1.0,True
volume_surge_money_flow,3,alpha145,175,175,1.0,True
volume_surge_money_flow,3,alpha146,175,175,1.0,True
volume_surge_money_flow,3,alpha168,175,175,1.0,True
volume_surge_money_flow,3,alpha169,175,175,1.0,True
volume_surge_money_flow,3,alpha178,175,175,1.0,True
volume_surge_money_flow,3,alpha181,174,174,1.0,True
volume_surge_money_flow,4,alpha025,163,163,1.0,True
volume_surge_money_flow,4,alpha069,185,185,1.0,True
volume_surge_money_flow,4,alpha076,185,185,1.0,True
volume_surge_money_flow,4,alpha080,185,185,1.0,True
volume_surge_money_flow,4,alpha081,185,185,1.0,True
volume_surge_money_flow,4,alpha086,185,185,1.0,True
volume_surge_money_flow,4,alpha098,185,185,1.0,True
volume_surge_money_flow,4,alpha100,185,185,1.0,True
volume_surge_money_flow,4,alpha135,185,185,1.0,True
volume_surge_money_flow,4,alpha145,185,185,1.0,True
volume_surge_money_flow,4,alpha146,184,184,1.0,True
volume_surge_money_flow,4,alpha168,185,185,1.0,True
volume_surge_money_flow,4,alpha169,185,185,1.0,True
volume_surge_money_flow,4,alpha178,185,185,1.0,True
volume_surge_money_flow,4,alpha181,184,184,1.0,True
volume_price_correlation,0,alpha022,191,191,1.0,True
volume_price_correlation,0,alpha031,191,191,1.0,True
volume_price_correlation,0,alpha185,191,191,1.0,True
volume_price_correlation,1,alpha022,186,186,1.0,True
volume_price_correlation,1,alpha031,186,186,1.0,True
volume_price_correlation,1,alpha185,186,186,1.0,True
volume_price_correlation,2,alpha022,187,187,1.0,True
volume_price_correlation,2,alpha031,187,187,1.0,True
volume_price_correlation,2,alpha185,187,187,1.0,True
volume_price_correlation,3,alpha022,175,175,1.0,True
volume_price_correlation,3,alpha031,175,175,1.0,True
volume_price_correlation,3,alpha185,175,175,1.0,True
volume_price_correlation,4,alpha022,185,185,1.0,True
volume_price_correlation,4,alpha031,185,185,1.0,True
volume_price_correlation,4,alpha185,185,185,1.0,True
rank_ts_rank_structure,0,alpha038,191,191,1.0,True
rank_ts_rank_structure,1,alpha038,186,186,1.0,True
rank_ts_rank_structure,2,alpha038,187,187,1.0,True
rank_ts_rank_structure,3,alpha038,175,175,1.0,True
rank_ts_rank_structure,4,alpha038,185,185,1.0,True
