instrument_id,canonical_instrument_id,hash_input_description,hash_value,instrument_fold_id,train_signal_count,validation_signal_count,robustness_signal_count
SH603993,SH603993,utf-8 bytes of canonical_instrument_id.lower(),17609851369704746328,3,1096,483,485
SZ000001,SZ000001,utf-8 bytes of canonical_instrument_id.lower(),13317953725178059108,3,1096,483,485
SZ000002,SZ000002,utf-8 bytes of canonical_instrument_id.lower(),15051876370908601022,2,1095,483,485
SZ000039,SZ000039,utf-8 bytes of canonical_instrument_id.lower(),3877477695404023138,3,457,59,69
SZ000063,SZ000063,utf-8 bytes of canonical_instrument_id.lower(),16711144413942517665,0,1056,483,485
SZ000069,SZ000069,utf-8 bytes of canonical_instrument_id.lower(),17848093765637906443,3,999,74,0
SZ000166,SZ000166,utf-8 bytes of canonical_instrument_id.lower(),322526901940891601,1,1096,483,485
SZ000333,SZ000333,utf-8 bytes of canonical_instrument_id.lower(),16012914712967250729,4,1056,483,485
SZ000338,SZ000338,utf-8 bytes of canonical_instrument_id.lower(),14777347962415733068,3,1096,483,485
SZ000413,SZ000413,utf-8 bytes of canonical_instrument_id.lower(),228920681635845876,1,124,0,0
SZ000538,SZ000538,utf-8 bytes of canonical_instrument_id.lower(),3449147763004082121,1,1045,483,485
SZ000568,SZ000568,utf-8 bytes of canonical_instrument_id.lower(),11004564349832652014,4,1096,483,485
SZ000617,SZ000617,utf-8 bytes of canonical_instrument_id.lower(),1158356313113170577,2,1096,483,485
SZ000625,SZ000625,utf-8 bytes of canonical_instrument_id.lower(),4557981869437104059,4,636,483,485
SZ000651,SZ000651,utf-8 bytes of canonical_instrument_id.lower(),14674729488916955257,2,1089,483,485
SZ000725,SZ000725,utf-8 bytes of canonical_instrument_id.lower(),18051202363878690786,1,1096,483,485
SZ000768,SZ000768,utf-8 bytes of canonical_instrument_id.lower(),9419655689417305071,1,485,483,485
SZ000776,SZ000776,utf-8 bytes of canonical_instrument_id.lower(),13750254637992817781,1,1096,483,485
SZ000783,SZ000783,utf-8 bytes of canonical_instrument_id.lower(),903002214636590698,3,83,0,2
SZ000858,SZ000858,utf-8 bytes of canonical_instrument_id.lower(),7618642780006897624,4,1096,483,485
SZ000895,SZ000895,utf-8 bytes of canonical_instrument_id.lower(),15195095433517196736,1,1081,483,485
SZ000938,SZ000938,utf-8 bytes of canonical_instrument_id.lower(),16722338806071547734,4,1049,422,462
SZ001979,SZ001979,utf-8 bytes of canonical_instrument_id.lower(),5983930608396466672,2,1090,473,485
SZ002010,SZ002010,utf-8 bytes of canonical_instrument_id.lower(),16976705948748842467,2,162,0,0
SZ002024,SZ002024,utf-8 bytes of canonical_instrument_id.lower(),14398915383578913243,3,995,0,0
SZ002027,SZ002027,utf-8 bytes of canonical_instrument_id.lower(),15098734749898834443,3,1096,483,485
SZ002120,SZ002120,utf-8 bytes of canonical_instrument_id.lower(),9075379334007623395,0,884,117,0
SZ002142,SZ002142,utf-8 bytes of canonical_instrument_id.lower(),2138277119047498188,3,1090,483,485
SZ002230,SZ002230,utf-8 bytes of canonical_instrument_id.lower(),148050812922901535,0,1077,483,485
SZ002236,SZ002236,utf-8 bytes of canonical_instrument_id.lower(),12272671267514777274,4,821,251,407
SZ002241,SZ002241,utf-8 bytes of canonical_instrument_id.lower(),16573693611366230157,2,704,482,484
SZ002304,SZ002304,utf-8 bytes of canonical_instrument_id.lower(),7533103727936456757,2,1096,483,485
SZ002352,SZ002352,utf-8 bytes of canonical_instrument_id.lower(),10455567708084987901,1,1093,483,485
SZ002415,SZ002415,utf-8 bytes of canonical_instrument_id.lower(),11703755845315932514,4,1094,483,485
SZ002450,SZ002450,utf-8 bytes of canonical_instrument_id.lower(),12119340945600734839,4,150,0,0
SZ002456,SZ002456,utf-8 bytes of canonical_instrument_id.lower(),16130315091869348464,4,255,0,16
SZ002466,SZ002466,utf-8 bytes of canonical_instrument_id.lower(),8917390732486369068,3,514,483,368
SZ002475,SZ002475,utf-8 bytes of canonical_instrument_id.lower(),2791818570004163991,1,1095,483,485
SZ002558,SZ002558,utf-8 bytes of canonical_instrument_id.lower(),18432434178059962077,2,225,0,107
SZ002594,SZ002594,utf-8 bytes of canonical_instrument_id.lower(),6347591524459832412,2,1096,483,485
SZ002736,SZ002736,utf-8 bytes of canonical_instrument_id.lower(),16341393702888426421,1,1096,483,475
SZ002555,SZ002555,utf-8 bytes of canonical_instrument_id.lower(),1848175282429105571,1,444,215,14
SZ002673,SZ002673,utf-8 bytes of canonical_instrument_id.lower(),17070451625381691278,3,75,0,0
SH600377,SH600377,utf-8 bytes of canonical_instrument_id.lower(),2105452102800054628,3,406,64,485
SH601377,SH601377,utf-8 bytes of canonical_instrument_id.lower(),2968760488392968861,1,497,348,300
SH603858,SH603858,utf-8 bytes of canonical_instrument_id.lower(),7530520030988974499,4,4,0,0
SH600390,SH600390,utf-8 bytes of canonical_instrument_id.lower(),11640575928863328504,4,49,0,0
SH600111,SH600111,utf-8 bytes of canonical_instrument_id.lower(),9223889887633521813,3,369,483,485
SH601198,SH601198,utf-8 bytes of canonical_instrument_id.lower(),5890146034607285218,3,43,0,0
SH600066,SH600066,utf-8 bytes of canonical_instrument_id.lower(),1072959046710527578,3,119,0,376
SH601881,SH601881,utf-8 bytes of canonical_instrument_id.lower(),12557459228608788305,0,1082,483,485
SH601919,SH601919,utf-8 bytes of canonical_instrument_id.lower(),1973580356806191356,1,860,483,485
SH600516,SH600516,utf-8 bytes of canonical_instrument_id.lower(),13460058553846916643,3,112,0,0
SZ000709,SZ000709,utf-8 bytes of canonical_instrument_id.lower(),5054465890580311020,0,30,0,0
SZ002460,SZ002460,utf-8 bytes of canonical_instrument_id.lower(),3936828969376753569,4,629,483,485
SZ000898,SZ000898,utf-8 bytes of canonical_instrument_id.lower(),4869950708607524957,2,61,0,0
SH601212,SH601212,utf-8 bytes of canonical_instrument_id.lower(),12070498634929329930,0,39,0,0
SH601866,SH601866,utf-8 bytes of canonical_instrument_id.lower(),12328721975517972231,1,12,0,0
SZ002310,SZ002310,utf-8 bytes of canonical_instrument_id.lower(),12705277727987887594,4,153,0,0
SH600050,SH600050,utf-8 bytes of canonical_instrument_id.lower(),292524258059173729,4,1062,483,485
SH600515,SH600515,utf-8 bytes of canonical_instrument_id.lower(),9210534764552843761,1,85,0,0
SH600795,SH600795,utf-8 bytes of canonical_instrument_id.lower(),15631471241279200338,3,395,436,485
SH601088,SH601088,utf-8 bytes of canonical_instrument_id.lower(),7523611615983515320,0,1053,483,475
SH603799,SH603799,utf-8 bytes of canonical_instrument_id.lower(),6216441631364689993,3,495,482,313
SH601012,SH601012,utf-8 bytes of canonical_instrument_id.lower(),2044640763288521445,0,916,483,485
SZ000792,SZ000792,utf-8 bytes of canonical_instrument_id.lower(),10861338269293222621,1,120,483,485
SZ002252,SZ002252,utf-8 bytes of canonical_instrument_id.lower(),10527456518881708851,1,390,51,68
SZ000963,SZ000963,utf-8 bytes of canonical_instrument_id.lower(),15886661587736904153,3,549,483,458
SH601877,SH601877,utf-8 bytes of canonical_instrument_id.lower(),18348324993327587218,3,839,436,149
SZ000100,SZ000100,utf-8 bytes of canonical_instrument_id.lower(),4765196836012356584,4,628,483,485
SZ002008,SZ002008,utf-8 bytes of canonical_instrument_id.lower(),17391702899473543813,3,228,28,0
SZ002202,SZ002202,utf-8 bytes of canonical_instrument_id.lower(),9403121231506862467,2,589,170,79
SH600332,SH600332,utf-8 bytes of canonical_instrument_id.lower(),688508531841135611,1,679,200,39
SH603833,SH603833,utf-8 bytes of canonical_instrument_id.lower(),1479794211622383332,2,558,454,0
SZ002714,SZ002714,utf-8 bytes of canonical_instrument_id.lower(),15458234177959409204,4,977,483,485
SH600809,SH600809,utf-8 bytes of canonical_instrument_id.lower(),17007028465734524566,1,752,483,485
SH603160,SH603160,utf-8 bytes of canonical_instrument_id.lower(),9984504132503848568,3,594,0,0
SH600487,SH600487,utf-8 bytes of canonical_instrument_id.lower(),8926184232092188079,4,75,0,60
SH601989,SH601989,utf-8 bytes of canonical_instrument_id.lower(),11281836435276774094,4,1007,483,380
SZ002044,SZ002044,utf-8 bytes of canonical_instrument_id.lower(),17536333087348746691,1,533,0,0
SZ000839,SZ000839,utf-8 bytes of canonical_instrument_id.lower(),1303651252490374106,1,5,0,0
SZ000627,SZ000627,utf-8 bytes of canonical_instrument_id.lower(),8469492719336063978,3,9,0,0
SH600438,SH600438,utf-8 bytes of canonical_instrument_id.lower(),16002646467424430034,4,646,483,485
SH601155,SH601155,utf-8 bytes of canonical_instrument_id.lower(),7539199814193238939,4,1004,138,0
SH600406,SH600406,utf-8 bytes of canonical_instrument_id.lower(),12406220834159154873,3,979,483,485
SZ002625,SZ002625,utf-8 bytes of canonical_instrument_id.lower(),1891428253921984956,1,73,0,305
SZ002493,SZ002493,utf-8 bytes of canonical_instrument_id.lower(),9770350344765022856,1,992,483,485
SH601878,SH601878,utf-8 bytes of canonical_instrument_id.lower(),10947355240409970708,3,217,9,233
SH600600,SH600600,utf-8 bytes of canonical_instrument_id.lower(),15580834413070981755,0,865,483,485
SZ002001,SZ002001,utf-8 bytes of canonical_instrument_id.lower(),8736419668718487343,3,512,427,479
SH600176,SH600176,utf-8 bytes of canonical_instrument_id.lower(),9543104223496479055,0,335,424,129
SH600760,SH600760,utf-8 bytes of canonical_instrument_id.lower(),4899223409879621395,0,476,483,485
SZ002146,SZ002146,utf-8 bytes of canonical_instrument_id.lower(),2734064758191072647,2,32,0,0
SZ002508,SZ002508,utf-8 bytes of canonical_instrument_id.lower(),2964296429707149324,4,9,0,0
SZ000732,SZ000732,utf-8 bytes of canonical_instrument_id.lower(),2819815815354584573,3,2,0,0
SH600398,SH600398,utf-8 bytes of canonical_instrument_id.lower(),10089939549555019389,4,119,0,0
SH600871,SH600871,utf-8 bytes of canonical_instrument_id.lower(),3319818732014586052,2,30,0,0
SH600346,SH600346,utf-8 bytes of canonical_instrument_id.lower(),1861087146293682450,0,946,483,485
SZ002600,SZ002600,utf-8 bytes of canonical_instrument_id.lower(),6535902531425645157,2,535,7,319
SH601360,SH601360,utf-8 bytes of canonical_instrument_id.lower(),1433249797562153247,2,927,428,463
SH600588,SH600588,utf-8 bytes of canonical_instrument_id.lower(),4118975561076127899,4,809,483,112
SZ002602,SZ002602,utf-8 bytes of canonical_instrument_id.lower(),2350718067607017270,0,559,62,0
SH600436,SH600436,utf-8 bytes of canonical_instrument_id.lower(),14145182934115645459,4,888,483,485
SH600271,SH600271,utf-8 bytes of canonical_instrument_id.lower(),17839340471882198297,2,97,0,0
SH600085,SH600085,utf-8 bytes of canonical_instrument_id.lower(),3912341322832271997,2,99,479,303
SH601108,SH601108,utf-8 bytes of canonical_instrument_id.lower(),10003196350454034765,0,58,0,0
SH600535,SH600535,utf-8 bytes of canonical_instrument_id.lower(),11465410173994429427,2,3,0,0
SH600867,SH600867,utf-8 bytes of canonical_instrument_id.lower(),3712877576554658060,0,40,0,0
SZ002422,SZ002422,utf-8 bytes of canonical_instrument_id.lower(),15696107701371317727,2,4,0,290
SH603260,SH603260,utf-8 bytes of canonical_instrument_id.lower(),4113501741139385298,3,187,483,485
SZ002411,SZ002411,utf-8 bytes of canonical_instrument_id.lower(),8674162241943101680,0,11,0,0
SH600025,SH600025,utf-8 bytes of canonical_instrument_id.lower(),7236569247295941204,4,851,483,485
SZ001965,SZ001965,utf-8 bytes of canonical_instrument_id.lower(),526059150402264534,4,295,241,485
SZ000596,SZ000596,utf-8 bytes of canonical_instrument_id.lower(),12357436752095041200,0,680,483,485
