family,role,r06_family_map_primary_count,r06_executable_in_scope_factor_count,r07_reference_executable_factor_count,family_scope_reference_count_changed,family_scope_reference_count_change_explained,unexplained_family_scope_reference_count_changed,in_scope_factor_ids,available_factor_ids,primary_decision_eligible,single_factor_family_caveat
volume_surge_money_flow,co_primary_diagnostic,25,15,15,False,True,False,alpha025;alpha069;alpha076;alpha080;alpha081;alpha086;alpha098;alpha100;alpha135;alpha145;alpha146;alpha168;alpha169;alpha178;alpha181,alpha025;alpha069;alpha076;alpha080;alpha081;alpha086;alpha098;alpha100;alpha135;alpha145;alpha146;alpha168;alpha169;alpha178;alpha181,True,False
volume_price_correlation,co_primary_diagnostic,4,3,3,False,True,False,alpha022;alpha031;alpha185,alpha022;alpha031;alpha185,True,False
rank_ts_rank_structure,co_primary_diagnostic,1,1,1,False,True,False,alpha038,alpha038,True,True
