family,horizon,split,fold_id,fold_unseen_full_valid_instrument_count,fold_unseen_valid_signal_date_count,anchor_valid_signal_date_counts,anchor_min_valid_signal_date_count,partial_instruments_horizon_specific,partial_instruments_excluded_from_sample_gate_by_horizon,partial_instruments_excluded_from_positive_instrument_share_by_horizon,fold_evaluable_flag
volume_surge_money_flow,H10,robustness_oof_unseen,4,43,114,"[9, 12, 12, 12, 13, 10, 13, 12, 11, 10]",9,True,True,True,False
volume_price_correlation,H3,train_oof_unseen,0,34,178,"[61, 63, 54]",54,True,True,True,True
volume_price_correlation,H3,train_oof_unseen,1,41,228,"[80, 73, 75]",73,True,True,True,True
volume_price_correlation,H3,train_oof_unseen,2,41,247,"[75, 94, 78]",75,True,True,True,True
volume_price_correlation,H3,train_oof_unseen,3,49,264,"[85, 92, 87]",85,True,True,True,True
volume_price_correlation,H3,train_oof_unseen,4,39,276,"[98, 89, 89]",89,True,True,True,True
volume_price_correlation,H3,validation_oof_unseen,0,44,163,"[59, 48, 56]",48,True,True,True,True
volume_price_correlation,H3,validation_oof_unseen,1,52,177,"[54, 61, 62]",54,True,True,True,True
volume_price_correlation,H3,validation_oof_unseen,2,49,167,"[55, 53, 59]",53,True,True,True,True
volume_price_correlation,H3,validation_oof_unseen,3,54,206,"[68, 72, 66]",66,True,True,True,True
volume_price_correlation,H3,validation_oof_unseen,4,45,161,"[53, 58, 50]",50,True,True,True,True
volume_price_correlation,H3,robustness_oof_unseen,0,39,181,"[63, 63, 55]",55,True,True,True,True
volume_price_correlation,H3,robustness_oof_unseen,1,48,233,"[81, 73, 79]",73,True,True,True,True
volume_price_correlation,H3,robustness_oof_unseen,2,48,233,"[82, 67, 84]",67,True,True,True,True
volume_price_correlation,H3,robustness_oof_unseen,3,56,278,"[97, 92, 89]",89,True,True,True,True
volume_price_correlation,H3,robustness_oof_unseen,4,43,215,"[74, 67, 74]",67,True,True,True,True
volume_price_correlation,H5,train_oof_unseen,0,34,172,"[42, 31, 32, 40, 27]",27,True,True,True,True
volume_price_correlation,H5,train_oof_unseen,1,40,221,"[47, 42, 43, 43, 46]",42,True,True,True,True
volume_price_correlation,H5,train_oof_unseen,2,41,245,"[57, 44, 43, 42, 59]",42,True,True,True,True
volume_price_correlation,H5,train_oof_unseen,3,49,261,"[48, 52, 49, 53, 59]",48,True,True,True,True
volume_price_correlation,H5,train_oof_unseen,4,39,272,"[52, 50, 54, 53, 63]",50,True,True,True,True
volume_price_correlation,H5,validation_oof_unseen,0,44,161,"[36, 30, 35, 33, 27]",27,True,True,True,True
volume_price_correlation,H5,validation_oof_unseen,1,51,171,"[35, 39, 31, 30, 36]",30,True,True,True,True
volume_price_correlation,H5,validation_oof_unseen,2,48,163,"[36, 34, 35, 33, 25]",25,True,True,True,True
volume_price_correlation,H5,validation_oof_unseen,3,54,201,"[41, 42, 40, 42, 36]",36,True,True,True,True
volume_price_correlation,H5,validation_oof_unseen,4,44,161,"[34, 36, 34, 25, 32]",25,True,True,True,True
