family,factor_id,in_r06_factor_matrix_columns,available_in_runtime_factor_matrix,r06_family_map_primary_family
volume_surge_money_flow,alpha025,True,True,volume_surge_money_flow
volume_surge_money_flow,alpha069,True,True,volume_surge_money_flow
volume_surge_money_flow,alpha076,True,True,volume_surge_money_flow
volume_surge_money_flow,alpha080,True,True,volume_surge_money_flow
volume_surge_money_flow,alpha081,True,True,volume_surge_money_flow
volume_surge_money_flow,alpha086,True,True,volume_surge_money_flow
volume_surge_money_flow,alpha098,True,True,volume_surge_money_flow
volume_surge_money_flow,alpha100,True,True,volume_surge_money_flow
volume_surge_money_flow,alpha135,True,True,volume_surge_money_flow
volume_surge_money_flow,alpha145,True,True,volume_surge_money_flow
volume_surge_money_flow,alpha146,True,True,volume_surge_money_flow
volume_surge_money_flow,alpha168,True,True,volume_surge_money_flow
volume_surge_money_flow,alpha169,True,True,volume_surge_money_flow
volume_surge_money_flow,alpha178,True,True,volume_surge_money_flow
volume_surge_money_flow,alpha181,True,True,volume_surge_money_flow
volume_price_correlation,alpha022,True,True,volume_price_correlation
volume_price_correlation,alpha031,True,True,volume_price_correlation
volume_price_correlation,alpha185,True,True,volume_price_correlation
rank_ts_rank_structure,alpha038,True,True,rank_ts_rank_structure
