family,fold_id,bucket_edge_source_split,bucket_edge_source_instrument_scope,bucket_frequency,train_seen_event_count,tail_count,train_seen_q20,train_seen_q80,train_seen_bottom_state_share,train_seen_top_state_share,bucket_boundary_tie_share_q20,bucket_boundary_tie_share_q80,bucket_edge_valid,decile_edges_train_seen,frozen_before_validation_read,bucket_method
volume_surge_money_flow,0,train,seen_folds_not_0,daily,148136,29628,0.38644688261243015,0.6031746021113716,0.1996444005681532,0.2038602181950055,2.5184095739858364e-06,2.5184095739858364e-06,True,"[0.3323412742632042, 0.38644688261243015, 0.4280045312563223, 0.4641439856163093, 0.4978741407394409, 0.5308956948242017, 0.5653344699447709, 0.6031746021113716, 0.6514027416706085]",True,fold_train_seen_daily_count_based_extreme_tail_20_60_20
volume_surge_money_flow,1,train,seen_folds_not_1,daily,141027,28206,0.3876581330384527,0.6044777104487786,0.20217792059958295,0.20066939326476543,2.5184095739858364e-06,2.5184095739858364e-06,True,"[0.33334663873299575, 0.387658630417926, 0.4291040580187525, 0.4651360487498875, 0.4988240199828787, 0.5318877596940313, 0.5662015121607553, 0.60447608679533, 0.6530612262764147]",True,fold_train_seen_daily_count_based_extreme_tail_20_60_20
volume_surge_money_flow,2,train,seen_folds_not_2,daily,140586,28118,0.3924932039963702,0.5965811828417438,0.199677139892615,0.20579183833825263,2.5184095739858364e-06,2.5184095739858364e-06,True,"[0.3427307480325301, 0.3924932039963702, 0.4309523843228817, 0.46471088086920126, 0.4964569149472352, 0.5279100554063916, 0.5605989275500178, 0.5965811828417438, 0.6420634904876352]",True,fold_train_seen_daily_count_based_extreme_tail_20_60_20
volume_surge_money_flow,3,train,seen_folds_not_3,daily,138173,27635,0.38647958849157604,0.6027494336345366,0.19970484239792885,0.2048549899767299,2.5184095739858364e-06,5.036819147971673e-06,True,"[0.3330909078674657, 0.3864795890237604, 0.42786281476063387, 0.4642123777624015, 0.4975391615714346, 0.5305845390336636, 0.5649093002613101, 0.6027494335280997, 0.6508978720559003]",True,fold_train_seen_daily_count_based_extreme_tail_20_60_20
volume_surge_money_flow,4,train,seen_folds_not_4,daily,140006,28002,0.3860544205776283,0.6033163237651544,0.19878058608427607,0.2036083772376069,7.555228721957509e-06,2.5184095739858364e-06,True,"[0.33234126759426935, 0.3860544205776283, 0.4275793610140681, 0.4637188177023615, 0.4975203730617509, 0.5306122440046498, 0.5651999172897866, 0.6033163237651544, 0.6517093994905456]",True,fold_train_seen_daily_count_based_extreme_tail_20_60_20
volume_price_correlation,0,train,seen_folds_not_0,daily,148054,29611,0.31084656715393066,0.6902367124954859,0.19927956975704372,0.19229190019774048,0.000551658123102888,2.518986863483507e-06,True,"[0.20634921391805014, 0.31084656715393066, 0.3849206566810608, 0.4510581890741984, 0.5118146128952503, 0.5714285671710968, 0.6302910049756368, 0.6902202109495801, 0.7685185124476751]",True,fold_train_seen_daily_count_based_extreme_tail_20_60_20
volume_price_correlation,1,train,seen_folds_not_1,daily,140952,28191,0.3134920597076416,0.6904761890570322,0.2019245059637014,0.1917352041009106,0.0005189112938776024,0.0004357847273826467,True,"[0.21031745771567026, 0.3134920597076416, 0.3875661293665568, 0.45304232835769653, 0.5138271550337474, 0.5727513233820597, 0.6314435958862304, 0.6904761890570322, 0.7685185124476751]",True,fold_train_seen_daily_count_based_extreme_tail_20_60_20
volume_price_correlation,2,train,seen_folds_not_2,daily,140520,28104,0.31084654728571576,0.6904761791229248,0.19832739272264696,0.19221884957869945,0.0002443417257579002,0.00014106326435507638,True,"[0.2050264577070872, 0.31084654728571576, 0.3849206368128459, 0.45105819900830585, 0.511904756228129, 0.5707639001309871, 0.6296296318372091, 0.6904761791229248, 0.7685185121682783]",True,fold_train_seen_daily_count_based_extreme_tail_20_60_20
volume_price_correlation,3,train,seen_folds_not_3,daily,138097,27620,0.3121693084637324,0.6904761915405592,0.20001007594745393,0.19118354597780773,5.037973726967014e-05,0.00016121515926294445,True,"[0.2076719601949056, 0.3121693084637324, 0.38624338308970135, 0.4517753461996715, 0.5132275025049845, 0.5720899472633997, 0.6309523781140646, 0.6904761915405592, 0.7685185099641482]",True,fold_train_seen_daily_count_based_extreme_tail_20_60_20
volume_price_correlation,4,train,seen_folds_not_4,daily,139941,27989,0.31084656715393066,0.6904761878152689,0.19927956975704372,0.19181833066740556,0.000551658123102888,5.037973726967014e-05,True,"[0.20634921391805014, 0.31084656715393066, 0.3852442304293315, 0.45171958208084106, 0.513227512439092, 0.5720899403095245, 0.630952368179957, 0.6904761878152689, 0.7685185174147288]",True,fold_train_seen_daily_count_based_extreme_tail_20_60_20
