family,fold_id,factor_id,direction_source_split,direction_source_instrument_scope,direction_label_horizon,fold_direction_valid_instrument_count,factor_nonconstant_observation_share,factor_direction_stat_full_daily,factor_direction_stat_anchor_offset_0,factor_direction_stat_anchor_offset_1,factor_direction_stat_anchor_offset_2,factor_direction_stat_anchor_median,factor_direction_anchor_positive_sign_count,factor_direction_anchor_negative_sign_count,full_daily_direction_sign_agree_count,direction_anchor_stability_pass,direction,direction_status,direction_insufficient_factor_dropped
volume_surge_money_flow,1,alpha135,train,seen_folds_not_1,H3,186,1.0,-0.050498473865522524,-0.05352047586688595,-0.042368823540563566,-0.04903482186590713,-0.04903482186590713,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,1,alpha145,train,seen_folds_not_1,H3,186,1.0,-0.012062488299113982,-0.0035735503556321674,-0.01175364123657571,-0.00975798248699972,-0.00975798248699972,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,1,alpha146,train,seen_folds_not_1,H3,185,1.0,-0.004267236917766744,-0.01021052618963845,-0.002589487489253287,-0.007895255057941033,-0.007895255057941033,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,1,alpha168,train,seen_folds_not_1,H3,186,1.0,-0.013822914268090108,-0.03545479780956626,-0.002938168041322943,0.00029205488424958396,-0.002938168041322943,1,2,2,True,-1.0,direction_available,False
volume_surge_money_flow,1,alpha169,train,seen_folds_not_1,H3,186,1.0,-0.014652429149067156,-0.013781779344991646,-0.006881743566623736,-0.013463976967003766,-0.013463976967003766,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,1,alpha178,train,seen_folds_not_1,H3,186,1.0,-0.0008686848706801972,0.0036471414270697394,-0.006402558678964571,0.014560161619831924,0.0036471414270697394,2,1,1,False,1.0,factor_direction_sample_insufficient,True
volume_surge_money_flow,1,alpha181,train,seen_folds_not_1,H3,185,1.0,0.0401540188703008,0.035086108026451984,0.042046100964617715,0.03770191728318751,0.03770191728318751,3,0,3,True,1.0,direction_available,False
volume_surge_money_flow,2,alpha025,train,seen_folds_not_2,H3,162,1.0,0.020584985715450182,0.0158283304642418,0.023187811131389187,0.008339176825502373,0.0158283304642418,3,0,3,True,1.0,direction_available,False
volume_surge_money_flow,2,alpha069,train,seen_folds_not_2,H3,187,1.0,-0.03135818686262595,-0.032882193197006665,-0.02689049212519416,-0.034011890838786966,-0.032882193197006665,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,2,alpha076,train,seen_folds_not_2,H3,187,1.0,0.010198990420800622,0.010498953303376593,0.00834686495386617,0.012912321804254556,0.010498953303376593,3,0,3,True,1.0,direction_available,False
volume_surge_money_flow,2,alpha080,train,seen_folds_not_2,H3,187,1.0,0.011642047805796772,0.03021030797049845,0.006525602128732269,-0.005906000871789959,0.006525602128732269,2,1,2,True,1.0,direction_available,False
volume_surge_money_flow,2,alpha081,train,seen_folds_not_2,H3,187,1.0,-0.07737708797259606,-0.07123595635146698,-0.06982948706033071,-0.08026965922611025,-0.07123595635146698,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,2,alpha086,train,seen_folds_not_2,H3,187,1.0,-0.01654927471599612,-0.028318642965769896,-0.011103314331955796,-0.012026535508847231,-0.012026535508847231,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,2,alpha098,train,seen_folds_not_2,H3,187,1.0,0.01057408982169889,0.006506743884670118,0.01417655175766022,0.01210621503905173,0.01210621503905173,3,0,3,True,1.0,direction_available,False
volume_surge_money_flow,2,alpha100,train,seen_folds_not_2,H3,187,1.0,-0.04844044678713367,-0.04575622411113587,-0.046062552000762,-0.055407272402350154,-0.046062552000762,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,2,alpha135,train,seen_folds_not_2,H3,187,1.0,-0.04663977793723244,-0.05326216454567561,-0.04216287452430342,-0.04472922102870333,-0.04472922102870333,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,2,alpha145,train,seen_folds_not_2,H3,187,1.0,-0.0034567759029938503,-0.0005275394089326631,-0.006841274638416345,-0.004393047950868957,-0.004393047950868957,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,2,alpha146,train,seen_folds_not_2,H3,186,1.0,-0.00046452891354577946,-0.00661010875738424,-0.000969488987712891,-0.001001674541850726,-0.001001674541850726,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,2,alpha168,train,seen_folds_not_2,H3,187,1.0,-0.01578854761748397,-0.03613482562452937,-0.011092737228938557,-0.002411808422331641,-0.011092737228938557,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,2,alpha169,train,seen_folds_not_2,H3,187,1.0,-0.012383337467180462,-0.011187691971848076,-0.0056818665492697614,-0.011942280933774823,-0.011187691971848076,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,2,alpha178,train,seen_folds_not_2,H3,187,1.0,-0.005597988536252532,-0.0033699318118756024,-0.008368148953163495,0.013832490584807035,-0.0033699318118756024,1,2,2,True,-1.0,direction_available,False
volume_surge_money_flow,2,alpha181,train,seen_folds_not_2,H3,186,1.0,0.04602596031099881,0.04432862141035809,0.04812795990474718,0.04368621040957964,0.04432862141035809,3,0,3,True,1.0,direction_available,False
volume_surge_money_flow,3,alpha025,train,seen_folds_not_3,H3,157,1.0,0.015569665375833156,0.013175047584261322,0.018858354956892434,0.007215837670151622,0.013175047584261322,3,0,3,True,1.0,direction_available,False
volume_surge_money_flow,3,alpha069,train,seen_folds_not_3,H3,175,1.0,-0.02828142174861065,-0.031073345615569237,-0.026809632052393027,-0.028839013095567707,-0.028839013095567707,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,3,alpha076,train,seen_folds_not_3,H3,175,1.0,0.010198990420800622,0.0064939242522723045,0.0019330603510802065,0.012431593739354313,0.0064939242522723045,3,0,3,True,1.0,direction_available,False
volume_surge_money_flow,3,alpha080,train,seen_folds_not_3,H3,175,1.0,0.00803951186638303,0.03021030797049845,0.006399684915169526,-0.010253365761220285,0.006399684915169526,2,1,2,True,1.0,direction_available,False
volume_surge_money_flow,3,alpha081,train,seen_folds_not_3,H3,175,1.0,-0.07084902473498685,-0.06776791770226374,-0.06787760273197,-0.0753705760499801,-0.06787760273197,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,3,alpha086,train,seen_folds_not_3,H3,175,1.0,-0.012719257091833715,-0.024187018209264798,-0.009622591351953983,-0.010234703037782405,-0.010234703037782405,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,3,alpha098,train,seen_folds_not_3,H3,175,1.0,0.01250094218412515,0.006708832719913868,0.022804051485016887,0.01795929888434593,0.01795929888434593,3,0,3,True,1.0,direction_available,False
volume_surge_money_flow,3,alpha100,train,seen_folds_not_3,H3,175,1.0,-0.04416114803249105,-0.04012720529697902,-0.04101596245594103,-0.0502758585104995,-0.04101596245594103,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,3,alpha135,train,seen_folds_not_3,H3,175,1.0,-0.04039381166520655,-0.04891022596726463,-0.03588623402815625,-0.03179160664209823,-0.03588623402815625,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,3,alpha145,train,seen_folds_not_3,H3,175,1.0,-0.0125632660623593,-0.005081874679497397,-0.015954955641034024,-0.01813279288749778,-0.015954955641034024,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,3,alpha146,train,seen_folds_not_3,H3,175,1.0,-0.0008720632383749412,-0.007042047527555809,-0.0022063129134263864,-0.0030495563977837917,-0.0030495563977837917,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,3,alpha168,train,seen_folds_not_3,H3,175,1.0,-0.0014426089668589013,-0.03155120922975351,-0.001440598601712339,0.007382091592617908,-0.001440598601712339,1,2,2,True,-1.0,direction_available,False
volume_surge_money_flow,3,alpha169,train,seen_folds_not_3,H3,175,1.0,-0.014140111761691495,-0.012142374491530864,-0.006684969259461335,-0.01561083511300325,-0.012142374491530864,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,3,alpha178,train,seen_folds_not_3,H3,175,1.0,-0.006073182762508418,0.003458839199167341,-0.008306131922855252,0.011431948480902494,0.003458839199167341,2,1,1,False,1.0,factor_direction_sample_insufficient,True
volume_surge_money_flow,3,alpha181,train,seen_folds_not_3,H3,174,1.0,0.03676070509700152,0.03554772822347389,0.03911210430342781,0.036706355149770914,0.036706355149770914,3,0,3,True,1.0,direction_available,False
volume_surge_money_flow,4,alpha025,train,seen_folds_not_4,H3,163,1.0,0.014965916577711414,0.008110447663388719,0.024065375693363505,0.009462515980853124,0.009462515980853124,3,0,3,True,1.0,direction_available,False
volume_surge_money_flow,4,alpha069,train,seen_folds_not_4,H3,185,1.0,-0.03080022419626183,-0.031315679846682855,-0.02612675832904037,-0.03541575357612012,-0.031315679846682855,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,4,alpha076,train,seen_folds_not_4,H3,185,1.0,0.009963011851870844,0.007044533605416624,0.005657544355170997,0.012431593739354313,0.007044533605416624,3,0,3,True,1.0,direction_available,False
volume_surge_money_flow,4,alpha080,train,seen_folds_not_4,H3,185,1.0,0.006602890367436452,0.02455743234828926,0.008824032148327804,-0.00774189205779087,0.008824032148327804,2,1,2,True,1.0,direction_available,False
volume_surge_money_flow,4,alpha081,train,seen_folds_not_4,H3,185,1.0,-0.07436537126146897,-0.06583944255870114,-0.06793892815060015,-0.07804547201107005,-0.06793892815060015,0,3,3,True,-1.0,direction_available,False
