family,factor_id,split,instrument_fold_id,stock_date_count,normalization_sample_pass_count,normalization_sample_fail_count,uses_future_data_flag,cross_stock_fill_flag,within_stock_lookback_excludes_future_data,within_stock_lookback_ends_at_D_minus_1,mid_rank_tie_handling_used,factor_value_tie_share_in_lookback,factor_value_at_tie_cluster_flag
volume_price_correlation,alpha022,robustness,0,18028,18028,0,False,False,True,True,True,8.27636758913286e-05,0.0
volume_price_correlation,alpha022,robustness,1,23559,23559,0,False,False,True,True,True,1.95389220607467e-05,0.0
volume_price_correlation,alpha022,robustness,2,21665,21657,8,False,False,True,True,True,6.11994692008011e-05,0.0
volume_price_correlation,alpha022,robustness,3,26068,26068,0,False,False,True,True,True,0.00011782372166635469,0.0
volume_price_correlation,alpha022,robustness,4,21099,21085,14,False,False,True,True,True,5.8719244407257065e-05,0.0
volume_price_correlation,alpha022,train,0,31246,28612,2634,False,False,True,True,True,0.00026004909886978567,0.00035204506176790627
volume_price_correlation,alpha022,train,1,40299,35662,4637,False,False,True,True,True,0.0006794841610826552,0.0005459192535794933
volume_price_correlation,alpha022,train,2,40105,36111,3994,False,False,True,True,True,0.0001624966535018757,2.4934546814611646e-05
volume_price_correlation,alpha022,train,3,43223,38455,4768,False,False,True,True,True,0.00011757398169720545,0.0
volume_price_correlation,alpha022,train,4,41379,36641,4738,False,False,True,True,True,0.00032536766957491636,0.00041083641460644285
volume_price_correlation,alpha022,validation,0,19411,19411,0,False,False,True,True,True,2.1669926354661584e-05,0.0
volume_price_correlation,alpha022,validation,1,22853,22825,28,False,False,True,True,True,4.450703636393882e-05,0.0
volume_price_correlation,alpha022,validation,2,21749,21721,28,False,False,True,True,True,2.119227974617388e-05,0.0
volume_price_correlation,alpha022,validation,3,25402,25388,14,False,False,True,True,True,1.3129562830727082e-05,0.0
volume_price_correlation,alpha022,validation,4,20307,20280,27,False,False,True,True,True,8.609624273958616e-06,0.0
volume_surge_money_flow,alpha025,robustness,0,18028,16580,1448,False,False,True,True,True,4.308117240725551e-06,0.0
volume_surge_money_flow,alpha025,robustness,1,23559,22981,578,False,False,True,True,True,4.6622367335658055e-06,0.0
volume_surge_money_flow,alpha025,robustness,2,21665,21010,655,False,False,True,True,True,1.359896850772202e-05,0.0
volume_surge_money_flow,alpha025,robustness,3,26068,24313,1755,False,False,True,True,True,1.264918773813406e-05,0.0
volume_surge_money_flow,alpha025,robustness,4,21099,20453,646,False,False,True,True,True,1.2124416571168695e-05,0.0
volume_surge_money_flow,alpha025,train,0,31246,19132,12114,False,False,True,True,True,6.012251560605364e-06,0.0
volume_surge_money_flow,alpha025,train,1,40299,24465,15834,False,False,True,True,True,4.48171249445295e-06,0.0
volume_surge_money_flow,alpha025,train,2,40105,24314,15791,False,False,True,True,True,1.1845284461742267e-05,0.0
volume_surge_money_flow,alpha025,train,3,43223,26495,16728,False,False,True,True,True,1.0347187526349444e-05,0.0
volume_surge_money_flow,alpha025,train,4,41379,24139,17240,False,False,True,True,True,6.013332949805772e-06,0.0
volume_surge_money_flow,alpha025,validation,0,19411,17140,2271,False,False,True,True,True,5.474465069710277e-06,0.0
volume_surge_money_flow,alpha025,validation,1,22853,20030,2823,False,False,True,True,True,3.5660800676851068e-06,0.0
volume_surge_money_flow,alpha025,validation,2,21749,20584,1165,False,False,True,True,True,1.086076008505188e-05,0.0
volume_surge_money_flow,alpha025,validation,3,25402,22948,2454,False,False,True,True,True,7.346351594605949e-06,0.0
volume_surge_money_flow,alpha025,validation,4,20307,18906,1401,False,False,True,True,True,3.778090331252315e-06,0.0
volume_price_correlation,alpha031,robustness,0,18028,17984,44,False,False,True,True,True,8.164223800122272e-06,0.0
volume_price_correlation,alpha031,robustness,1,23559,23548,11,False,False,True,True,True,3.875906713801669e-06,0.0
volume_price_correlation,alpha031,robustness,2,21665,21629,36,False,False,True,True,True,7.155297225835966e-06,0.0
volume_price_correlation,alpha031,robustness,3,26068,25989,79,False,False,True,True,True,1.6337804481736384e-05,0.0
volume_price_correlation,alpha031,robustness,4,21099,21056,43,False,False,True,True,True,4.439968506630976e-06,0.0
volume_price_correlation,alpha031,train,0,31246,28365,2881,False,False,True,True,True,3.676082633319311e-05,0.0
volume_price_correlation,alpha031,train,1,40299,35151,5148,False,False,True,True,True,8.791228538029827e-06,0.0
volume_price_correlation,alpha031,train,2,40105,35669,4436,False,False,True,True,True,3.300220851087943e-05,0.0
volume_price_correlation,alpha031,train,3,43223,38138,5085,False,False,True,True,True,1.936834814841859e-05,0.0
volume_price_correlation,alpha031,train,4,41379,36152,5227,False,False,True,True,True,7.046753125905525e-06,0.0
volume_price_correlation,alpha031,validation,0,19411,19393,18,False,False,True,True,True,2.8445212592487223e-05,0.0
volume_price_correlation,alpha031,validation,1,22853,22732,121,False,False,True,True,True,1.1019405064871535e-05,0.0
volume_price_correlation,alpha031,validation,2,21749,21704,45,False,False,True,True,True,3.069923332077451e-05,0.0
volume_price_correlation,alpha031,validation,3,25402,25374,28,False,False,True,True,True,1.9507693650666624e-05,0.0
volume_price_correlation,alpha031,validation,4,20307,20263,44,False,False,True,True,True,6.8543113229679875e-06,0.0
rank_ts_rank_structure,alpha038,robustness,0,18028,18028,0,False,False,True,True,True,0.2571408152580261,0.4872420678943865
rank_ts_rank_structure,alpha038,robustness,1,23559,23559,0,False,False,True,True,True,0.2473236620426178,0.47018124708179465
rank_ts_rank_structure,alpha038,robustness,2,21665,21665,0,False,False,True,True,True,0.25549235939979553,0.47671359335333485
rank_ts_rank_structure,alpha038,robustness,3,26068,26068,0,False,False,True,True,True,0.25280800461769104,0.4778272211140095
rank_ts_rank_structure,alpha038,robustness,4,21099,21099,0,False,False,True,True,True,0.26036137342453003,0.4910185316839661
rank_ts_rank_structure,alpha038,train,0,31246,28932,2314,False,False,True,True,True,0.2661459445953369,0.4639953914101005
rank_ts_rank_structure,alpha038,train,1,40299,36026,4273,False,False,True,True,True,0.26806411147117615,0.4446016030174446
rank_ts_rank_structure,alpha038,train,2,40105,36455,3650,False,False,True,True,True,0.2830217182636261,0.47358184764991895
rank_ts_rank_structure,alpha038,train,3,43223,38883,4340,False,False,True,True,True,0.2744296193122864,0.45637739166647384
rank_ts_rank_structure,alpha038,train,4,41379,37141,4238,False,False,True,True,True,0.26952850818634033,0.45460257618598804
rank_ts_rank_structure,alpha038,validation,0,19411,19411,0,False,False,True,True,True,0.2949642837047577,0.5407758487455566
rank_ts_rank_structure,alpha038,validation,1,22853,22853,0,False,False,True,True,True,0.307792067527771,0.5568196735658338
rank_ts_rank_structure,alpha038,validation,2,21749,21749,0,False,False,True,True,True,0.31102561950683594,0.5593360614281117
rank_ts_rank_structure,alpha038,validation,3,25402,25402,0,False,False,True,True,True,0.3152126669883728,0.5664908274938981
rank_ts_rank_structure,alpha038,validation,4,20307,20307,0,False,False,True,True,True,0.3053032457828522,0.5507952922637515
volume_surge_money_flow,alpha069,robustness,0,18028,17948,80,False,False,True,True,True,9.358683018945158e-05,0.0
volume_surge_money_flow,alpha069,robustness,1,23559,23539,20,False,False,True,True,True,5.5746004363754764e-05,0.0
volume_surge_money_flow,alpha069,robustness,2,21665,21611,54,False,False,True,True,True,7.116002234397456e-05,0.0
volume_surge_money_flow,alpha069,robustness,3,26068,25924,144,False,False,True,True,True,0.00011127009202027693,0.0
volume_surge_money_flow,alpha069,robustness,4,21099,21029,70,False,False,True,True,True,4.61182753497269e-05,0.0
volume_surge_money_flow,alpha069,train,0,31246,27966,3280,False,False,True,True,True,0.0002655005664564669,0.0
volume_surge_money_flow,alpha069,train,1,40299,34638,5661,False,False,True,True,True,8.532597712473944e-05,0.0
volume_surge_money_flow,alpha069,train,2,40105,35113,4992,False,False,True,True,True,0.00019356119446456432,0.0
volume_surge_money_flow,alpha069,train,3,43223,37625,5598,False,False,True,True,True,0.0001984994887607172,0.0
volume_surge_money_flow,alpha069,train,4,41379,35616,5763,False,False,True,True,True,8.602072193752974e-05,0.0
volume_surge_money_flow,alpha069,validation,0,19411,19375,36,False,False,True,True,True,0.0003287814324721694,0.0
volume_surge_money_flow,alpha069,validation,1,22853,22659,194,False,False,True,True,True,0.00012046026677126065,0.0
volume_surge_money_flow,alpha069,validation,2,21749,21677,72,False,False,True,True,True,0.0002577424456831068,0.0
volume_surge_money_flow,alpha069,validation,3,25402,25350,52,False,False,True,True,True,0.00012662302469834685,0.0
volume_surge_money_flow,alpha069,validation,4,20307,20236,71,False,False,True,True,True,7.867394015192986e-05,0.0
volume_surge_money_flow,alpha076,robustness,0,18028,17948,80,False,False,True,True,True,1.1406418707338162e-05,0.0
volume_surge_money_flow,alpha076,robustness,1,23559,23539,20,False,False,True,True,True,5.394627805799246e-06,0.0
volume_surge_money_flow,alpha076,robustness,2,21665,21611,54,False,False,True,True,True,5.508658887265483e-06,0.0
volume_surge_money_flow,alpha076,robustness,3,26068,25924,144,False,False,True,True,True,1.1654205081867985e-05,0.0
volume_surge_money_flow,alpha076,robustness,4,21099,21029,70,False,False,True,True,True,3.9599722185812425e-06,0.0
volume_surge_money_flow,alpha076,train,0,31246,27966,3280,False,False,True,True,True,3.0004883228684776e-05,0.0
volume_surge_money_flow,alpha076,train,1,40299,34638,5661,False,False,True,True,True,1.1544721928657964e-05,0.0
volume_surge_money_flow,alpha076,train,2,40105,35113,4992,False,False,True,True,True,2.3551376216346398e-05,0.0
volume_surge_money_flow,alpha076,train,3,43223,37625,5598,False,False,True,True,True,1.7001520973281004e-05,0.0
volume_surge_money_flow,alpha076,train,4,41379,35616,5763,False,False,True,True,True,1.1226114111195784e-05,0.0
volume_surge_money_flow,alpha076,validation,0,19411,19375,36,False,False,True,True,True,2.3537195374956354e-05,0.0
volume_surge_money_flow,alpha076,validation,1,22853,22659,194,False,False,True,True,True,1.2406011592247523e-05,0.0
volume_surge_money_flow,alpha076,validation,2,21749,21677,72,False,False,True,True,True,2.1010611817473546e-05,0.0
volume_surge_money_flow,alpha076,validation,3,25402,25350,52,False,False,True,True,True,1.7297048543696292e-05,0.0
volume_surge_money_flow,alpha076,validation,4,20307,20236,71,False,False,True,True,True,8.62834531289991e-06,0.0
volume_surge_money_flow,alpha080,robustness,0,18028,18010,18,False,False,True,True,True,0.0,0.0
volume_surge_money_flow,alpha080,robustness,1,23559,23554,5,False,False,True,True,True,0.0,0.0
volume_surge_money_flow,alpha080,robustness,2,21665,21650,15,False,False,True,True,True,0.0,0.0
volume_surge_money_flow,alpha080,robustness,3,26068,26036,32,False,False,True,True,True,0.0,0.0
volume_surge_money_flow,alpha080,robustness,4,21099,21078,21,False,False,True,True,True,0.0,0.0
volume_surge_money_flow,alpha080,train,0,31246,28634,2612,False,False,True,True,True,0.0,0.0
volume_surge_money_flow,alpha080,train,1,40299,35504,4795,False,False,True,True,True,1.1176921788091931e-07,0.0
volume_surge_money_flow,alpha080,train,2,40105,36093,4012,False,False,True,True,True,1.1544251776740566e-07,0.0
volume_surge_money_flow,alpha080,train,3,43223,38515,4708,False,False,True,True,True,0.0,0.0
volume_surge_money_flow,alpha080,train,4,41379,36545,4834,False,False,True,True,True,0.0,0.0
volume_surge_money_flow,alpha080,validation,0,19411,19405,6,False,False,True,True,True,0.0,0.0
volume_surge_money_flow,alpha080,validation,1,22853,22785,68,False,False,True,True,True,0.0,0.0
volume_surge_money_flow,alpha080,validation,2,21749,21722,27,False,False,True,True,True,0.0,0.0
volume_surge_money_flow,alpha080,validation,3,25402,25386,16,False,False,True,True,True,1.563166449614073e-07,0.0
