diagnostic_scope_id,family_id,overlap_family_id,split,raw_event_n,canonical_event_n,family_only_raw_event_n,family_only_canonical_event_n,overlap_raw_event_n,overlap_canonical_event_n,same_instrument_same_day_overlap_n,same_day_primary_choice_b1_event_n,same_day_primary_choice_b3_event_n,covered_06_episode_n,missed_06_episode_n,median_trading_days_from_episode_low,p25_trading_days_from_episode_low,p75_trading_days_from_episode_low,overlap_family_median_trading_days_from_episode_low,overlap_family_p25_trading_days_from_episode_low,overlap_family_p75_trading_days_from_episode_low,diagnostic_status,diagnostic_reason
B8_vs_B1,B8,B1,all,47201,3771,32351,3771,3094,0,3094,1263,0,230,198,21.0,-35.0,50.0,16.0,-35.0,51.0,ok,
B8_vs_B3,B8,B3,all,47201,3771,35410,3771,35,0,35,8,13,230,198,21.0,-35.0,50.0,8.0,-39.0,44.0,ok,
B8_vs_B1_or_B3,B8,B1_or_B3,all,47201,3771,32325,3771,3120,0,3120,1263,13,230,198,21.0,-35.0,50.0,14.0,-37.0,46.0,ok,
B1_vs_B3_same_day_collision,B1,B3,all,19748,4570,11960,4570,1367,0,1367,763,0,293,135,16.0,-35.0,51.0,8.0,-39.0,44.0,ok,
B8_vs_B1,B8,B1,train,25213,2008,17172,2008,1482,0,1482,614,0,143,82,22.5,-32.25,44.25,15.0,-30.0,53.0,ok,
B8_vs_B3,B8,B3,train,25213,2008,18635,2008,19,0,19,7,7,143,82,22.5,-32.25,44.25,12.0,-44.0,35.0,ok,
B8_vs_B1_or_B3,B8,B1_or_B3,train,25213,2008,17161,2008,1493,0,1493,614,7,143,82,22.5,-32.25,44.25,15.0,-32.0,44.75,ok,
B1_vs_B3_same_day_collision,B1,B3,train,9723,2163,5784,2163,697,0,697,379,0,153,72,15.0,-30.0,53.0,12.0,-44.0,35.0,ok,
B8_vs_B1,B8,B1,validation,9332,822,6612,822,603,0,603,232,0,11,11,-10.5,-46.75,19.0,20.0,-31.0,50.5,ok,
B8_vs_B3,B8,B3,validation,9332,822,7204,822,11,0,11,0,5,11,11,-10.5,-46.75,19.0,13.0,1.0,38.0,ok,
B8_vs_B1_or_B3,B8,B1_or_B3,validation,9332,822,6601,822,614,0,614,232,5,11,11,-10.5,-46.75,19.0,18.5,-25.75,47.75,ok,
B1_vs_B3_same_day_collision,B1,B3,validation,4764,1112,2752,1112,412,0,412,225,0,18,4,20.0,-31.0,50.5,13.0,1.0,38.0,ok,
B8_vs_B1,B8,B1,robustness,12656,941,8567,941,1009,0,1009,417,0,72,109,18.0,-37.0,54.0,16.0,-42.0,41.25,ok,
B8_vs_B3,B8,B3,robustness,12656,941,9571,941,5,0,5,1,1,72,109,18.0,-37.0,54.0,5.0,-39.0,59.5,ok,
B8_vs_B1_or_B3,B8,B1_or_B3,robustness,12656,941,8563,941,1013,0,1013,417,1,72,109,18.0,-37.0,54.0,9.0,-41.0,48.5,ok,
B1_vs_B3_same_day_collision,B1,B3,robustness,5261,1295,3424,1295,258,0,258,159,0,122,59,16.0,-42.0,41.25,5.0,-39.0,59.5,ok,
