split_bucket,decile_index,cost_bps,candidate_defend_region_flag,defended_negative_n,defended_positive_n,avoided_loss_abs,sacrificed_upside_abs,loss_avoidance_efficiency,decile_low_power,efficiency_above_one_flag
train,1,50,True,1078,662,136.15341398803946,114.46894554130063,1.189435382183328,False,True
train,2,50,True,712,865,82.8978049861432,118.22830354270195,0.7011671698072026,False,False
train,3,50,True,509,663,58.27063407669976,87.56027326310306,0.6654916882409316,False,False
train,4,50,False,0,0,0.0,0.0,,False,False
train,5,50,False,0,0,0.0,0.0,,False,False
train,6,50,False,0,0,0.0,0.0,,False,False
train,7,50,False,0,0,0.0,0.0,,False,False
train,8,50,False,0,0,0.0,0.0,,False,False
train,9,50,False,0,0,0.0,0.0,,False,False
train,10,50,False,0,0,0.0,0.0,,False,False
robustness,1,50,True,124,92,13.00739937556601,14.84547378451213,0.8761862076194744,False,False
robustness,2,50,True,72,109,7.505971798702422,16.649191258298195,0.45083101528798514,False,False
robustness,3,50,True,0,0,0.0,0.0,,False,False
robustness,4,50,False,0,0,0.0,0.0,,False,False
robustness,5,50,False,0,0,0.0,0.0,,False,False
robustness,6,50,False,0,0,0.0,0.0,,False,False
robustness,7,50,False,0,0,0.0,0.0,,False,False
robustness,8,50,False,0,0,0.0,0.0,,False,False
robustness,9,50,False,0,0,0.0,0.0,,False,False
robustness,10,50,False,0,0,0.0,0.0,,False,False
validation,1,50,True,34,23,4.210229837882889,5.342828398277198,0.7880151717469502,False,False
validation,2,50,True,25,35,2.2551459415703428,5.010962935080244,0.4500424311229174,False,False
validation,3,50,True,22,19,2.90025168726186,2.4760799699289473,1.1713077616572636,False,True
validation,4,50,False,0,0,0.0,0.0,,False,False
validation,5,50,False,0,0,0.0,0.0,,False,False
validation,6,50,False,0,0,0.0,0.0,,False,False
validation,7,50,False,0,0,0.0,0.0,,False,False
validation,8,50,False,0,0,0.0,0.0,,False,False
validation,9,50,False,0,0,0.0,0.0,,False,False
validation,10,50,False,0,0,0.0,0.0,,False,False
