split_bucket,cost_bps,full_denominator_net_utility_total,defended_positive_incremental_sum,defended_negative_incremental_sum,defended_neutral_incremental_sum,continued_positive_incremental_sum,continued_negative_incremental_sum,continued_neutral_incremental_sum,continued_negative_residual_loss_abs,defended_positive_oppcost_share,defended_negative_gain_share,defended_neutral_gain_share,attribution_identity_abs_diff,attribution_identity_status,continued_incremental_zero_abs_max,continued_incremental_zero_status,six_cell_bidirectional_replay_status
train,0,-18.972550473018977,-320.25752234710563,253.66213550105687,47.62283637302981,0.0,0.0,0.0,279.257036461643,16.880045874830934,13.369954443488867,2.510091431342067,2.1316282072803006e-14,pass,0.0,pass,pass
robustness,0,-11.370725397673018,-31.494665042810325,16.673210602904277,3.450729042233034,0.0,0.0,0.0,33.66177485297305,2.769802623960614,1.466327786467906,0.30347483749270865,3.552713678800501e-15,pass,0.0,pass,pass
validation,0,-2.94396953141098,-12.82987130328639,8.726611253012988,1.1592905188624207,0.0,0.0,0.0,11.13783442730593,4.3580176922338305,2.96423286990695,0.3937848223268799,8.881784197001252e-16,pass,0.0,pass,pass
train,25,-32.93255047301898,-325.73252234710554,247.9146355010568,44.88533637302981,0.0,0.0,0.0,279.257036461643,9.890898751190623,7.527951280425992,1.3629474707646323,4.973799150320701e-14,pass,0.0,pass,pass
robustness,25,-12.585725397673016,-31.997165042810323,16.183210602904275,3.2282290422330338,0.0,0.0,0.0,33.66177485297305,2.542337770115841,1.285838526708711,0.2564992434071304,1.7763568394002505e-15,pass,0.0,pass,pass
validation,25,-3.40146953141098,-13.022371303286386,8.524111253012988,1.0967905188624207,0.0,0.0,0.0,11.13783442730593,3.82845449092837,2.506008410275855,0.322446080652516,3.1086244689504383e-15,pass,0.0,pass,pass
train,50,-46.892550473019,-331.2075223471056,242.1671355010568,42.147836373029804,0.0,0.0,0.0,279.257036461643,7.0631159748428605,5.1642986584914965,0.8988173163513636,1.4210854715202004e-14,pass,0.0,pass,pass
robustness,50,-13.800725397673018,-32.49966504281033,15.693210602904276,3.0057290422330336,0.0,0.0,0.0,33.66177485297305,2.3549244047918085,1.1371294008610848,0.2177950039307237,0.0,pass,0.0,pass,pass
validation,50,-3.85896953141098,-13.21487130328639,8.321611253012987,1.0342905188624205,0.0,0.0,0.0,11.13783442730593,3.4244559838373614,2.156433520730676,0.26802246310668487,2.220446049250313e-15,pass,0.0,pass,pass
train,100,-74.81255047301902,-342.1575223471056,230.67213550105683,36.6728363730298,0.0,0.0,0.0,279.257036461643,4.573531047715102,3.0833347351825444,0.490196312532558,4.263256414560601e-14,pass,0.0,pass,pass
robustness,100,-16.23072539767302,-33.50466504281032,14.713210602904276,2.5607290422330333,0.0,0.0,0.0,33.66177485297305,2.064274037167424,0.9065035753123943,0.15777046185502971,7.105427357601002e-15,pass,0.0,pass,pass
validation,100,-4.773969531410981,-13.59987130328639,7.916611253012988,0.9092905188624206,0.0,0.0,0.0,11.13783442730593,2.8487553625560844,1.6582869247330903,0.19046843782299408,0.0,pass,0.0,pass,pass
