replay_key,split_bucket,cost_bps,source_table,source_value_column,panel_groupby_columns,panel_value_column,source_value,panel_replay_value,abs_diff,tolerance,replay_status,blocking_reason
six_cell:non_late_rescue_context:continued_neutral:incremental_return_sum,train,50,six_cell_utility_reconciliation.csv,incremental_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",incremental_net_return_h20,0.0,0.0,0.0,1e-09,pass,
six_cell:non_late_rescue_context:continued_neutral:drawdown_avoided_abs_sum,train,50,six_cell_utility_reconciliation.csv,drawdown_avoided_abs_sum,"split_bucket,context_stratum,cost_bps,cell_id",drawdown_avoided_abs,0.0,0.0,0.0,1e-09,pass,
six_cell:non_late_rescue_context:defended_positive:cell_step_n,train,100,six_cell_utility_reconciliation.csv,cell_step_n,"split_bucket,context_stratum,cost_bps,cell_id",step_id,1077.0,1077.0,0.0,1e-09,pass,
six_cell:non_late_rescue_context:defended_positive:continue_return_sum,train,100,six_cell_utility_reconciliation.csv,continue_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",continue_return_h20,173.71724947743775,173.71724947743775,0.0,1e-09,pass,
six_cell:non_late_rescue_context:defended_positive:policy_net_return_sum,train,100,six_cell_utility_reconciliation.csv,policy_net_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",policy_net_return_h20,-10.77,-10.77,0.0,1e-09,pass,
six_cell:non_late_rescue_context:defended_positive:incremental_return_sum,train,100,six_cell_utility_reconciliation.csv,incremental_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",incremental_net_return_h20,-184.48724947743776,-184.48724947743776,0.0,1e-09,pass,
six_cell:non_late_rescue_context:defended_positive:drawdown_avoided_abs_sum,train,100,six_cell_utility_reconciliation.csv,drawdown_avoided_abs_sum,"split_bucket,context_stratum,cost_bps,cell_id",drawdown_avoided_abs,33.35095221983004,33.35095221983004,0.0,1e-09,pass,
six_cell:non_late_rescue_context:defended_negative:cell_step_n,train,100,six_cell_utility_reconciliation.csv,cell_step_n,"split_bucket,context_stratum,cost_bps,cell_id",step_id,1105.0,1105.0,0.0,1e-09,pass,
six_cell:non_late_rescue_context:defended_negative:continue_return_sum,train,100,six_cell_utility_reconciliation.csv,continue_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",continue_return_h20,-120.23294253881916,-120.23294253881917,1.4210854715202004e-14,1e-09,pass,
six_cell:non_late_rescue_context:defended_negative:policy_net_return_sum,train,100,six_cell_utility_reconciliation.csv,policy_net_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",policy_net_return_h20,-11.05,-11.049999999999999,1.7763568394002505e-15,1e-09,pass,
six_cell:non_late_rescue_context:defended_negative:incremental_return_sum,train,100,six_cell_utility_reconciliation.csv,incremental_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",incremental_net_return_h20,109.18294253881918,109.18294253881918,0.0,1e-09,pass,
six_cell:non_late_rescue_context:defended_negative:drawdown_avoided_abs_sum,train,100,six_cell_utility_reconciliation.csv,drawdown_avoided_abs_sum,"split_bucket,context_stratum,cost_bps,cell_id",drawdown_avoided_abs,183.49848093625656,183.49848093625656,0.0,1e-09,pass,
six_cell:non_late_rescue_context:defended_neutral:cell_step_n,train,100,six_cell_utility_reconciliation.csv,cell_step_n,"split_bucket,context_stratum,cost_bps,cell_id",step_id,490.0,490.0,0.0,1e-09,pass,
six_cell:non_late_rescue_context:defended_neutral:continue_return_sum,train,100,six_cell_utility_reconciliation.csv,continue_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",continue_return_h20,-20.946204265004056,-20.946204265004056,0.0,1e-09,pass,
six_cell:non_late_rescue_context:defended_neutral:policy_net_return_sum,train,100,six_cell_utility_reconciliation.csv,policy_net_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",policy_net_return_h20,-4.9,-4.9,0.0,1e-09,pass,
