artifact_key,resolved_path,row_count,sha256,schema_status,read_status,required_flag,lineage_role,blocking_reason
requirement,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/requirement_16e_postmortem_continuation_utility_failure_decomposition.md,1198,4b50d4278299efb45b698fb4788d6d3a32be9491ea73c12b2a1267e999798b96,pass,pass,required,requirement,
source_plan,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/research_plan.md,422,2c6fd7dd530add1103ea4874698ae854afcf2764ade3f03b0b9fdf8ab8e1d6af,pass,pass,required,source_plan,
upstream_16e_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/sequential_continuation_utility_decision.csv,1,262c6da6ba6a3ddb300137302c3eb304ad4bf57a984aa2129f4c8c42551e6aee,pass,pass,required,upstream_16e_decision,
upstream_16e_input_artifact_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/input_artifact_audit.csv,26,5f9cb15fe2272cf99ddac2963fd677b81f891ca8d49a01ef8fe56e75f8c5fe03,pass,pass,required,upstream_16e_input_artifact_audit,
upstream_16e_upstream_16d_authorization_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/upstream_16d_authorization_audit.csv,1,7f108d86fd466d1db14cc11f661a9c98e05bc5fb83954eae4652f6578b6d071c,pass,pass,required,upstream_16e_upstream_16d_authorization_audit,
upstream_16e_full_action_panel_rebuild_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/full_action_panel_rebuild_audit.csv,1,9f593e6ce75a5118f4e2ca46fd2662e6c92516bfb6ea995f400dcfad278b793f,pass,pass,required,upstream_16e_full_action_panel_rebuild_audit,
upstream_16e_single_step_action_semantics_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/single_step_action_semantics_audit.csv,1,4f52cd0b22d57d6e0e847b9b5a33922cfb407ad740df2620d700d7d4129be782,pass,pass,required,upstream_16e_single_step_action_semantics_audit,
upstream_16e_utility_price_path_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/utility_price_path_audit.csv,3,d82a3696f28a71d090a2961f2f78dfdd3f622c6b447a162d862cdc200ff470c1,pass,pass,required,upstream_16e_utility_price_path_audit,
upstream_16e_policy_utility_binding_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/policy_utility_binding_audit.csv,1,c61c9ef005486ac9cb981ed2d3504d3f6780fd596cb71f11658668e3e1f91a7e,pass,pass,required,upstream_16e_policy_utility_binding_audit,
upstream_16e_six_cell_utility_reconciliation,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/six_cell_utility_reconciliation.csv,360,21e68bf6076a9cddc7cc5ac181cb1f7c8fb9d138f7000dc871fd740498a0f717,pass,pass,required,upstream_16e_six_cell_utility_reconciliation,
upstream_16e_utility_by_split_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/utility_by_split_readout.csv,12,f701cbc97466eb6c5bd76e422009c5b86855a7b58da51929807c235632270bf1,pass,pass,required,upstream_16e_utility_by_split_readout,
upstream_16e_utility_by_context_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/utility_by_context_readout.csv,60,ed595f758a417ef1149338ce872a1da8729138c42d1860b33cc121e7d9690431,pass,pass,required,upstream_16e_utility_by_context_readout,
upstream_16e_positive_sacrifice_utility_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/positive_sacrifice_utility_readout.csv,60,c3fc9a4388c742770f356262554dabaaff58a8e8c1ac05461ff0d42d1e4702e7,pass,pass,required,upstream_16e_positive_sacrifice_utility_readout,
upstream_16e_negative_avoidance_utility_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/negative_avoidance_utility_readout.csv,60,b70defff90ba2c0625f989e322bea3eede3f66774d7176c913fc27ee6de56f5a,pass,pass,required,upstream_16e_negative_avoidance_utility_readout,
upstream_16e_continued_negative_leakage_utility_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/continued_negative_leakage_utility_readout.csv,60,3d6201c69a89f3e3f43acc97f454ccd28e03009d3ad392e60b84c0324a40181d,pass,pass,required,upstream_16e_continued_negative_leakage_utility_readout,
