derived_metric_id,output_table,source_artifact_key,source_columns,allowed_transform_type,creates_new_return_cost_or_drawdown,lineage_status,blocking_reason
split_bucket_normalization,all_postmortem_tables,upstream_16e_utility_panel,cluster_split_bucket,column_rename,False,pass,
score_passthrough,score_bucket_monotonicity_readout.csv,upstream_16e_utility_panel,"score,model_id,policy_id,threshold_value",pass_through,False,pass,
split_incremental_replay,panel_aggregate_replay_audit.csv,"upstream_16e_utility_panel,utility_by_split_readout.csv","incremental_net_return_h20,full_denominator_sum_incremental_return",groupby_sum,False,pass,
six_cell_bidirectional_replay,panel_aggregate_replay_audit.csv,"upstream_16e_utility_panel,six_cell_utility_reconciliation.csv","cell_id,incremental_net_return_h20,continue_return_h20,policy_net_return_h20,drawdown_avoided_abs",groupby_sum,False,pass,
failure_arithmetic_attribution,failure_arithmetic_attribution.csv,upstream_16e_utility_panel,"cell_id,incremental_net_return_h20,continue_return_h20",groupby_sum,False,pass,
thick_tail_distribution,defended_positive_thick_tail_readout.csv,upstream_16e_utility_panel,"label_class,cell_id,continue_return_h20",quantile_ratio,False,pass,
score_bucket_monotonicity,score_bucket_monotonicity_readout.csv,upstream_16e_utility_panel,"score,continue_return_h20,continue_max_drawdown_h20,label_class",quantile_bucket_spearman,False,pass,
loss_avoidance_efficiency,loss_avoidance_efficiency_by_bucket.csv,upstream_16e_utility_panel,"cell_id,continue_return_h20,score",groupby_ratio,False,pass,
drawdown_residual_feasibility,drawdown_residual_feasibility_readout.csv,upstream_16e_utility_panel,"cell_id,drawdown_avoided_abs,continue_return_h20",quantile_ratio_boolean_gate,False,pass,
path_support_decision,path_support_decision.csv,postmortem_readouts,"directionality_gate,thick_tail_mismatch_flag,loss_avoidance_efficiency,partial_exposure_feasibility_hint",boolean_gate,False,pass,
