split_bucket,decile_index,score_column,score_low,score_high,row_n,binary_step_n,positive_n,negative_n,neutral_n,base_rate_positive,mean_continue_return_h20,mean_continue_max_drawdown,decile_low_power,monotonicity_spearman,monotone_increasing_flag,non_monotone_flag,inverted_flag,robustness_monotonicity_unstable_caveat
train,1,score,0.020450540388956558,0.32031811063517546,2025,1740,662,1078,285,0.38045977011494253,-0.009553864224098122,-0.11424360566506214,False,0.9030303030303028,True,False,False,False
train,2,score,0.32032815355257155,0.4123570002258483,2024,1577,865,712,447,0.5485098287888396,0.010458474241420067,-0.08409500402166427,False,0.9030303030303028,True,False,False,False
train,3,score,0.41236914671170355,0.4701952518097486,2025,1529,893,636,496,0.5840418574231524,0.013488772488740843,-0.07698753410159322,False,0.9030303030303028,True,False,False,False
train,4,score,0.4703156138403309,0.5113220101853321,2024,1551,1041,510,473,0.6711798839458414,0.02541198199863438,-0.06684163125238578,False,0.9030303030303028,True,False,False,False
train,5,score,0.5113254053751108,0.5479631214687709,2025,1489,1054,435,536,0.7078576225654802,0.02373792563750366,-0.06167224509765403,False,0.9030303030303028,True,False,False,False
train,6,score,0.5479720465345065,0.5824340357580494,2024,1466,1048,418,558,0.7148703956343793,0.02455354974572075,-0.058860398803069,False,0.9030303030303028,True,False,False,False
train,7,score,0.5824397497102146,0.6159877151139315,2024,1425,1070,355,599,0.7508771929824561,0.026326824323924906,-0.05545471071273758,False,0.9030303030303028,True,False,False,False
train,8,score,0.6160454639396779,0.6532143788977169,2025,1384,1072,312,641,0.7745664739884393,0.02492748914395686,-0.05222498543972925,False,0.9030303030303028,True,False,False,False
train,9,score,0.6532158802220945,0.6970426690099404,2024,1389,1142,247,635,0.822174226061915,0.03116196663579387,-0.04405728769163821,False,0.9030303030303028,True,False,False,False
train,10,score,0.6970725120456644,0.8943760744622498,2025,1412,1231,181,613,0.8718130311614731,0.03371168969064513,-0.03922423867740636,False,0.9030303030303028,True,False,False,False
robustness,1,score,0.024875532988924167,0.314472748795231,250,216,92,124,34,0.42592592592592593,0.015834998905639993,-0.10364147570739167,False,0.0303030303030303,False,True,False,False
robustness,2,score,0.3157928294267281,0.4605204505147139,250,192,114,78,58,0.59375,0.028537481272065384,-0.07837476419294317,False,0.0303030303030303,False,True,False,False
robustness,3,score,0.4606055600694498,0.5475948804865517,249,197,138,59,52,0.700507614213198,0.051685700891836654,-0.06414804991401722,False,0.0303030303030303,False,True,False,False
robustness,4,score,0.5482003779843215,0.6127218697258505,250,186,131,55,64,0.7043010752688172,0.04547844204523271,-0.06288143659778707,False,0.0303030303030303,False,True,False,False
robustness,5,score,0.6127555929528334,0.6595326274299308,249,186,139,47,63,0.7473118279569892,0.056382658654847546,-0.05477009574564726,False,0.0303030303030303,False,True,False,False
robustness,6,score,0.6597048354164303,0.691959815335245,250,178,135,43,72,0.7584269662921348,0.029903561084108212,-0.053460700983189655,False,0.0303030303030303,False,True,False,False
robustness,7,score,0.6923370136527655,0.7257226661436377,249,173,141,32,76,0.815028901734104,0.03247906341941718,-0.04811907173506172,False,0.0303030303030303,False,True,False,False
robustness,8,score,0.7257332176753107,0.7548389753942312,250,184,150,34,66,0.8152173913043478,0.029869125228396513,-0.04696458191923976,False,0.0303030303030303,False,True,False,False
robustness,9,score,0.754842131968314,0.7820884879651433,249,182,151,31,67,0.8296703296703297,0.026452938729751733,-0.04195643558814637,False,0.0303030303030303,False,True,False,False
robustness,10,score,0.7822776516568397,0.8908363784090931,250,178,155,23,72,0.8707865168539326,0.03226213560105531,-0.03609490588821805,False,0.0303030303030303,False,True,False,False
validation,1,score,0.022081827161353703,0.29021421360440347,67,57,23,34,10,0.40350877192982454,0.008936521126927032,-0.10411174474713003,False,0.05454545454545454,False,True,False,False
validation,2,score,0.2920893664019805,0.3780023336347208,66,60,35,25,6,0.5833333333333334,0.04363945166792569,-0.07691563369724047,False,0.05454545454545454,False,True,False,False
validation,3,score,0.37869077310552307,0.4744365884957942,66,57,29,28,9,0.5087719298245614,0.011614548565828421,-0.08744117506070712,False,0.05454545454545454,False,True,False,False
validation,4,score,0.47524263751161633,0.540440880576819,67,43,29,14,24,0.6744186046511628,0.020777461549727403,-0.06711002579070267,False,0.05454545454545454,False,True,False,False
validation,5,score,0.5419709912113823,0.5957315712769911,66,47,32,15,19,0.6808510638297872,0.01682296416168676,-0.0648128143388495,False,0.05454545454545454,False,True,False,False
validation,6,score,0.5964031233300173,0.6422619566963552,66,48,43,5,18,0.8958333333333334,0.08686187392970719,-0.046748033661876826,False,0.05454545454545454,False,True,False,False
validation,7,score,0.6428782409316601,0.6889151396328074,67,49,36,13,18,0.7346938775510204,0.02908360643165991,-0.06620588146339551,False,0.05454545454545454,False,True,False,False
validation,8,score,0.6890241110898804,0.7259793598460392,66,47,28,19,19,0.5957446808510638,-0.003512954701461913,-0.07240686137215567,False,0.05454545454545454,False,True,False,False
validation,9,score,0.726008872779182,0.7612180501179291,66,48,36,12,18,0.75,0.037252235803168866,-0.05876449301541951,False,0.05454545454545454,False,True,False,False
validation,10,score,0.7616073571368563,0.8428807284651236,67,49,34,15,18,0.6938775510204082,0.011985727555457045,-0.06514919558258063,False,0.05454545454545454,False,True,False,False
