split_bucket,defended_negative_n,defended_negative_drawdown_avoided_abs_median,defended_negative_drawdown_avoided_abs_mean,defended_positive_continue_return_h20_median,defended_positive_continue_return_h20_mean,defended_negative_drawdown_to_positive_upside_median_ratio,partial_exposure_feasibility_hint,feasibility_note
train,2299,0.1521482065431612,0.16685824701733815,0.10131228128042546,0.14623631157402084,1.501774559019408,False,readout_only_no_partial_exposure_utility_computed
robustness,196,0.15184054638059097,0.164024392171124,0.1220338983050846,0.15668987583487723,1.2442489217298442,False,readout_only_no_partial_exposure_utility_computed
validation,81,0.14499855866243871,0.158337609097573,0.09743202416918417,0.1666217052374856,1.4882022610005357,False,readout_only_no_partial_exposure_utility_computed
