variant_id,suppressor_family,primary_success_eligible,candidate_n_before,candidate_n_removed,candidate_n_after,candidate_removed_rate,right_clean_n_before,right_clean_n_removed,right_clean_n_after,right_clean_kept_rate,left_bad_n_before,left_bad_n_removed,left_bad_n_after,left_bad_removed_rate,both_n_before,both_n_removed,both_n_after,both_removed_rate,neither_n_before,neither_n_removed,neither_n_after,neither_removed_rate,left_bad_removed_per_right_clean_removed,right_clean_removed_zero_flag,right_tail_event_50_n_after,left_tail_event_10_n_after,left_tail_event_20_n_after,p_candidate_50_after,p_left_tail_10_after,p_left_tail_20_after,MAE_20_p10_after,MAE_20_p05_after,MFE_120_p90_after,S0_candidate_MAE_20_p10,MAE_20_p10_improvement_vs_S0,eligible_universe_MAE_20_p10,MAE_worsening_after,fast_fail_rate_after,candidate_per_winner_after,left_bad_removed_per_right_clean_removed_ci_low,left_bad_removed_per_right_clean_removed_ci_high,right_clean_kept_rate_ci_low,left_bad_removed_rate_ci_low,p_candidate_50_after_ci_low,MAE_20_p10_improvement_vs_S0_ci_low,MAE_20_p10_improvement_vs_S0_ci_high,MAE_worsening_after_ci_low,MAE_worsening_after_ci_high,primary_success_gate,diagnostic_only_flag,blocking_reason
S0,baseline,False,1552,0,1552,0.0,290,0,290,1.0,614,0,614,0.0,145,0,145,0.0,503,0,503,0.0,0.0,False,435,759,229,0.2802835051546392,0.4890463917525773,0.14755154639175258,-0.22875728048534535,-0.27965743244449864,0.9628765425877918,-0.22875728048534535,0.0,-0.1360977852126307,0.09265949527271466,0.4890463917525773,3.567816091954023,0.0,0.0,1.0,0.0,0.2802835051546392,0.0,0.0,0.09265949527271466,0.09265949527271466,fail,True,
S1,tail_risk_score_top_pct,True,1552,156,1396,0.10051546391752578,290,26,264,0.9103448275862069,614,81,533,0.13192182410423453,145,26,119,0.1793103448275862,503,23,480,0.04572564612326044,3.1153846153846154,False,383,652,182,0.27435530085959886,0.4670487106017192,0.1303724928366762,-0.2185027616062099,-0.2619806110201574,0.9519158690332373,-0.22875728048534535,0.010254518879135449,-0.1360977852126307,0.08240497639357922,0.4670487106017192,3.6449086161879896,1.8124577702702702,6.181818181818182,0.8644673123486684,0.10100850779084218,0.2378707225035193,0.0036302815255032303,0.018405976247195473,0.0724571911081827,0.09230700671675132,pass,True,
S2,tail_risk_score_top_pct,True,1552,233,1319,0.15012886597938144,290,39,251,0.8655172413793103,614,122,492,0.1986970684039088,145,41,104,0.2827586206896552,503,31,472,0.061630218687872766,3.128205128205128,False,355,596,163,0.26914329037149354,0.4518574677786202,0.12357846853677028,-0.21609243599261094,-0.2554934405025869,0.9064964237894982,-0.22875728048534535,0.012664844492734417,-0.1360977852126307,0.07999465077998025,0.4518574677786202,3.715492957746479,1.9179633231453181,6.318560606060604,0.7940292917435295,0.16074019675094622,0.23565326863211866,0.006092895371964486,0.022492208335024997,0.06878114286523981,0.08838797869761497,pass,True,
S3,tail_risk_score_top_pct,True,1552,311,1241,0.20038659793814434,290,58,232,0.8,614,161,453,0.26221498371335505,145,46,99,0.31724137931034485,503,46,457,0.09145129224652088,2.7758620689655173,False,331,552,145,0.26672038678485094,0.44480257856567285,0.1168412570507655,-0.2130937098844673,-0.25,0.8734793187347931,-0.22875728048534535,0.015663570600878057,-0.1360977852126307,0.07699592467183661,0.44480257856567285,3.7492447129909365,1.8444444444444446,4.823655462184873,0.7222130242825607,0.2198907933960101,0.23457387075173222,0.008242870082123061,0.027329472009294253,0.0637459647873693,0.08425651110792816,pass,True,
S4,tail_risk_score_top_pct,True,1552,388,1164,0.25,290,78,212,0.7310344827586207,614,195,419,0.31758957654723124,145,54,91,0.3724137931034483,503,61,442,0.12127236580516898,2.5,False,303,510,127,0.2603092783505155,0.4381443298969072,0.109106529209622,-0.20647995412947176,-0.2418020420737611,0.8555523939914169,-0.22875728048534535,0.022277326355873595,-0.1360977852126307,0.07038216891684107,0.4381443298969072,3.8415841584158414,1.7425366867043848,4.098366013071893,0.643058033399025,0.2759712270488133,0.22632362709304993,0.012523000518078687,0.0334405955997846,0.06059642966340231,0.08107193991244964,pass,True,
S5,tail_risk_score_top_pct,True,1552,466,1086,0.3002577319587629,290,97,193,0.6655172413793103,614,228,386,0.3713355048859935,145,63,82,0.43448275862068964,503,78,425,0.1550695825049702,2.350515463917526,False,275,468,113,0.2532228360957643,0.430939226519337,0.10405156537753223,-0.20205708528076954,-0.24095418286614662,0.8432174969067661,-0.22875728048534535,0.02670019520457581,-0.1360977852126307,0.06595930006813885,0.430939226519337,3.949090909090909,1.6530309901738474,3.5572294372294366,0.5690775629097997,0.32507847393572165,0.21964551539491298,0.015120664116277603,0.037141670066406375,0.05823945688796189,0.07886732359795368,fail,True,primary_success_thresholds_not_met
A_VOL60_top10,single_feature,False,1552,156,1396,0.10051546391752578,290,29,261,0.9,614,86,528,0.14006514657980457,145,22,123,0.15172413793103448,503,19,484,0.03777335984095427,2.9655172413793105,False,384,651,180,0.27507163323782235,0.4663323782234957,0.12893982808022922,-0.2179416943818075,-0.2607816376200834,0.9519158690332373,-0.22875728048534535,0.010815586103537861,-0.1360977852126307,0.0818439091691768,0.4663323782234957,3.6354166666666665,1.7434782608695651,5.824369747899155,0.8475583918974783,0.10584070603775503,0.2426872530711282,0.004605243745295766,0.01940529369161755,0.07154349003856575,0.09100989006634763,fail,True,
A_VOL60_top20,single_feature,False,1552,312,1240,0.20103092783505155,290,58,232,0.8,614,164,450,0.2671009771986971,145,46,99,0.31724137931034485,503,44,459,0.0874751491053678,2.8275862068965516,False,331,549,144,0.2669354838709677,0.442741935483871,0.11612903225806452,-0.21160179915549832,-0.2527442092583979,0.9005838851381732,-0.22875728048534535,0.01715548132984704,-0.1360977852126307,0.07550401394286763,0.442741935483871,3.7462235649546827,1.8299886363636364,5.187651209677418,0.7160838471465443,0.22053168339341972,0.23414243662141057,0.008935995575138755,0.028101581892559405,0.06350538939054381,0.08413065759687974,fail,True,
A_VOL60_top30,single_feature,False,1552,470,1082,0.30283505154639173,290,89,201,0.6931034482758621,614,235,379,0.38273615635179153,145,65,80,0.4482758620689655,503,81,422,0.1610337972166998,2.640449438202247,False,281,459,108,0.25970425138632164,0.4242144177449168,0.09981515711645102,-0.19987633178271308,-0.24115308865256396,0.8675135500352331,-0.22875728048534535,0.028880948702632275,-0.1360977852126307,0.06377854657008239,0.4242144177449168,3.8505338078291813,1.8666101694915254,4.150096153846154,0.5967700929469656,0.3322419553367329,0.22376941011711474,0.015377551830466732,0.03953863439025484,0.0553307862159407,0.07975888628384235,fail,True,
A_ATR20_top10,single_feature,False,1552,159,1393,0.10244845360824742,290,20,270,0.9310344827586207,614,90,524,0.1465798045602606,145,21,124,0.14482758620689656,503,28,475,0.055666003976143144,4.5,False,394,648,178,0.2828427853553482,0.46518305814788224,0.12778176597272076,-0.2173141292761296,-0.2620025855399949,0.975786459195929,-0.22875728048534535,0.011443151209215768,-0.1360977852126307,0.0812163440634989,0.46518305814788224,3.535532994923858,2.8887820512820515,8.667499999999995,0.8961924881665007,0.11582114068526768,0.24539378890993285,0.004862154519703719,0.01955459779546032,0.0719361001465332,0.08942745328326947,fail,True,
A_ATR20_top20,single_feature,False,1552,316,1236,0.2036082474226804,290,57,233,0.803448275862069,614,165,449,0.2687296416938111,145,37,108,0.25517241379310346,503,57,446,0.11332007952286283,2.8947368421052633,False,341,557,148,0.2758899676375405,0.4506472491909385,0.11974110032362459,-0.21395365040051612,-0.25555178307464893,0.9500490389678777,-0.22875728048534535,0.014803630084829239,-0.1360977852126307,0.07785586518788543,0.4506472491909385,3.624633431085044,2.045974025974026,4.275069444444444,0.7484457022640754,0.22784263656777218,0.24154399178363573,0.007746999215520345,0.025142242325689512,0.0653387149506078,0.08483189523938961,fail,True,
A_ATR20_top30,single_feature,False,1552,472,1080,0.30412371134020616,290,97,193,0.6655172413793103,614,226,388,0.36807817589576547,145,61,84,0.4206896551724138,503,88,415,0.1749502982107356,2.329896907216495,False,277,472,123,0.2564814814814815,0.43703703703703706,0.11388888888888889,-0.2090196104818171,-0.24516956252745514,0.8696267637394498,-0.22875728048534535,0.019737670003528246,-0.1360977852126307,0.07292182526918642,0.43703703703703706,3.898916967509025,1.7455583603798535,3.3526848591549263,0.5979597508850705,0.32231042482238653,0.22268174855661602,0.009836328999154084,0.030315778917346096,0.06156470876907372,0.08229301938507042,fail,True,
A_RET60_top10,single_feature,False,1552,168,1384,0.10824742268041238,290,30,260,0.896551724137931,614,85,529,0.13843648208469056,145,25,120,0.1724137931034483,503,28,475,0.055666003976143144,2.8333333333333335,False,380,649,179,0.2745664739884393,0.4689306358381503,0.12933526011560695,-0.21797178149542382,-0.26206850909950724,0.9454934950773562,-0.22875728048534535,0.010785498989921538,-0.1360977852126307,0.08187399628279313,0.4689306358381503,3.642105263157895,1.756587837837838,5.133947368421049,0.8487810232913325,0.10441832595870207,0.24014211594856755,0.0043860060943522895,0.019083526547024606,0.0717601792503321,0.08969168847157971,fail,True,
A_RET60_top20,single_feature,False,1552,312,1240,0.20103092783505155,290,50,240,0.8275862068965517,614,150,464,0.24429967426710097,145,44,101,0.30344827586206896,503,68,435,0.13518886679920478,3.0,False,341,565,155,0.275,0.45564516129032256,0.125,-0.21705737518572943,-0.25754753478190173,0.9498986966824643,-0.22875728048534535,0.011699905299615926,-0.1360977852126307,0.08095958997309874,0.45564516129032256,3.6363636363636362,1.9858333333333333,5.125208333333332,0.7598710060048929,0.20411311676569363,0.24151653703456272,0.004982895784591924,0.021801578469811497,0.06859194143410947,0.08924617319543052,fail,True,
A_RET60_top30,single_feature,False,1552,466,1086,0.3002577319587629,290,84,206,0.7103448275862069,614,221,393,0.35993485342019543,145,52,93,0.3586206896551724,503,109,394,0.21669980119284293,2.630952380952381,False,299,486,135,0.27532228360957645,0.44751381215469616,0.12430939226519337,-0.21710000162386428,-0.2542472248197901,0.909817933597775,-0.22875728048534535,0.011657278861481074,-0.1360977852126307,0.08100221641123359,0.44751381215469616,3.632107023411371,1.9082944915254239,3.95,0.6410211267605634,0.31711307087903096,0.23980171296197905,0.004676996922428985,0.022751966310050126,0.06954739501768353,0.08877857858854997,fail,True,
A_EMA60_top10,single_feature,False,1552,167,1385,0.10760309278350516,290,26,264,0.9103448275862069,614,81,533,0.13192182410423453,145,27,118,0.18620689655172415,503,33,470,0.06560636182902585,3.1153846153846154,False,382,651,174,0.275812274368231,0.4700361010830325,0.1256317689530686,-0.21724805420010485,-0.2560700186675643,0.9500866245392312,-0.22875728048534535,0.01150922628524051,-0.1360977852126307,0.08115026898747416,0.4700361010830325,3.6256544502617802,1.970565953654189,5.5,0.8695563321881293,0.10256198347107438,0.24145075028598345,0.005371362281722904,0.019938025433531004,0.07026585115100561,0.08940017283747259,fail,True,
A_EMA60_top20,single_feature,False,1552,318,1234,0.20489690721649484,290,54,236,0.8137931034482758,614,147,467,0.23941368078175895,145,44,101,0.30344827586206896,503,73,430,0.14512922465208747,2.7222222222222223,False,337,568,154,0.273095623987034,0.46029173419773095,0.12479740680713128,-0.21712639495033143,-0.25588421966010744,0.9254256474564682,-0.22875728048534535,0.01163088553501393,-0.1360977852126307,0.08102860973770074,0.46029173419773095,3.6617210682492582,1.9284584086799277,4.162393822393821,0.7622629217626452,0.20578062726979468,0.2376296096665541,0.005082917551572138,0.021490327907116216,0.06793102790293201,0.08923417858889371,fail,True,
A_EMA60_top30,single_feature,False,1552,481,1071,0.30992268041237114,290,86,204,0.7034482758620689,614,215,399,0.3501628664495114,145,60,85,0.41379310344827586,503,120,383,0.23856858846918488,2.5,False,289,484,126,0.2698412698412698,0.4519140989729225,0.11764705882352941,-0.2130937098844673,-0.2530445079817142,0.9106171671790022,-0.22875728048534535,0.015663570600878057,-0.1360977852126307,0.07699592467183661,0.4519140989729225,3.7058823529411766,1.8434561191626408,3.5806812710640346,0.6363636363636364,0.31228206995500096,0.23304610207060603,0.007244111493373247,0.028876211763924835,0.06352884549173429,0.08460467672421718,fail,True,
