primary_variant_id,primary_variant_family,single_feature_comparator_variant_id,candidate_removed_rate_abs_diff,primary_efficiency,single_feature_efficiency,efficiency_lift_abs,efficiency_lift_pct,efficiency_lift_pct_ci_low,efficiency_lift_pct_ci_high,primary_right_clean_kept_rate,single_feature_right_clean_kept_rate,primary_p_candidate_50_after,single_feature_p_candidate_50_after,primary_MAE_20_p10_improvement_vs_S0,single_feature_MAE_20_p10_improvement_vs_S0,primary_MAE_worsening_after,single_feature_MAE_worsening_after,budget_matched_flag,interaction_superiority_component_gate,blocking_reason
S1,tail_risk_score_top_pct,A_ATR20_top10,0.0019329896907216426,3.1153846153846154,4.5,-1.3846153846153846,-0.3076923076923077,-0.7042267887672475,0.5237499999999986,0.9103448275862069,0.9310344827586207,0.27435530085959886,0.2828427853553482,0.010254518879135449,0.011443151209215768,0.08240497639357922,0.0812163440634989,True,fail,interaction_or_basis_not_superior_to_single_feature
S2,tail_risk_score_top_pct,A_ATR20_top10,0.04768041237113402,3.128205128205128,4.5,-1.3717948717948718,-0.3048433048433048,-0.6884498598474951,0.6231931112365896,0.8655172413793103,0.9310344827586207,0.26914329037149354,0.2828427853553482,0.012664844492734417,0.011443151209215768,0.07999465077998025,0.0812163440634989,True,fail,interaction_or_basis_not_superior_to_single_feature
S3,tail_risk_score_top_pct,A_RET60_top20,0.0006443298969072142,2.7758620689655173,3.0,-0.22413793103448265,-0.07471264367816088,-0.5231945758435824,0.8688235294117644,0.8,0.8275862068965517,0.26672038678485094,0.275,0.015663570600878057,0.011699905299615926,0.07699592467183661,0.08095958997309874,True,fail,interaction_or_basis_not_superior_to_single_feature
S4,tail_risk_score_top_pct,A_RET60_top20,0.048969072164948446,2.5,3.0,-0.5,-0.16666666666666663,-0.5757945306725795,0.6157436708860741,0.7310344827586207,0.8275862068965517,0.2603092783505155,0.275,0.022277326355873595,0.011699905299615926,0.07038216891684107,0.08095958997309874,True,fail,interaction_or_basis_not_superior_to_single_feature
S5,tail_risk_score_top_pct,A_VOL60_top30,0.002577319587628857,2.350515463917526,2.640449438202247,-0.28993397428472134,-0.10980478175038377,-0.4848160550320309,0.5628716014926772,0.6655172413793103,0.6931034482758621,0.2532228360957643,0.25970425138632164,0.02670019520457581,0.028880948702632275,0.06595930006813885,0.06377854657008239,True,fail,interaction_or_basis_not_superior_to_single_feature
B_vol80_extension80,logical_interaction,A_ATR20_top10,0.003221649484536085,2.7096774193548385,4.5,-1.7903225806451615,-0.3978494623655915,-0.7230996882636906,0.294752234993614,0.8931034482758621,0.9310344827586207,0.27017291066282423,0.2828427853553482,0.01029930168253898,0.011443151209215768,0.08236019359017568,0.0812163440634989,True,fail,interaction_or_basis_not_superior_to_single_feature
B_vol70_extension85,logical_interaction,A_ATR20_top10,0.004510309278350513,2.7096774193548385,4.5,-1.7903225806451615,-0.3978494623655915,-0.7254222476130141,0.2850308427022186,0.8931034482758621,0.9310344827586207,0.2712842712842713,0.2828427853553482,0.01116661562460844,0.011443151209215768,0.08149287964810623,0.0812163440634989,True,fail,interaction_or_basis_not_superior_to_single_feature
B_vol85_extension70,logical_interaction,A_ATR20_top10,0.0,2.8,4.5,-1.7000000000000002,-0.37777777777777777,-0.7291647363629601,0.4139732142857128,0.896551724137931,0.9310344827586207,0.2727925340990668,0.2828427853553482,0.01044125437401483,0.011443151209215768,0.08221824089869983,0.0812163440634989,True,fail,interaction_or_basis_not_superior_to_single_feature
B_atr80_ema80,logical_interaction,A_ATR20_top10,0.027061855670103094,3.611111111111111,4.5,-0.8888888888888888,-0.19753086419753085,-0.6485407066052228,0.8421297592385216,0.9379310344827586,0.9310344827586207,0.2794425087108014,0.2828427853553482,0.007916534849122359,0.011443151209215768,0.0847429604235923,0.0812163440634989,True,fail,interaction_or_basis_not_superior_to_single_feature
B_vol60_80_ret60_80,logical_interaction,A_ATR20_top10,0.017396907216494853,3.3,4.5,-1.2000000000000002,-0.2666666666666667,-0.687813521324582,0.8452848866819438,0.896551724137931,0.9310344827586207,0.27379209370424595,0.2828427853553482,0.01284527582926312,0.011443151209215768,0.07981421944345155,0.0812163440634989,True,fail,interaction_or_basis_not_superior_to_single_feature
