variant_id,support_comparator_scope,support_comparator_n,candidate_n_after,candidate_instrument_n_after,winner_instrument_n_after,max_SMD_after,max_SMD_feature_after,SMD_match_market_cap_after,SMD_match_amount20_after,SMD_match_vol60_after,SMD_match_return20_after,top10_instrument_winner_share_after,top20_instrument_winner_share_after,support_descriptive_gate,concentration_descriptive_gate,diagnostic_only_flag,blocking_reason
S0,eligible_universe_primary,212415,1552,524,178,1.330901056689779,match_return20,0.16288262667610587,0.5490786040183253,1.066569965204638,1.330901056689779,0.19540229885057472,0.32413793103448274,pass,pass,True,
S1,eligible_universe_primary,212415,1396,507,168,1.4598102590509123,match_return20,0.14519568890668874,0.5042364425140594,0.9629092865623148,1.4598102590509123,0.185378590078329,0.32114882506527415,pass,pass,True,
S2,eligible_universe_primary,212415,1319,493,166,1.5031642588699838,match_return20,0.13814590508335517,0.48963166990934975,0.9049318231769305,1.5031642588699838,0.17183098591549295,0.30422535211267604,pass,pass,True,
S3,eligible_universe_primary,212415,1241,482,164,1.4888928276383595,match_return20,0.1321000425576738,0.47224482525285505,0.8462975108904485,1.4888928276383595,0.1661631419939577,0.2990936555891239,pass,pass,True,
S4,eligible_universe_primary,212415,1164,476,156,1.4768986072160812,match_return20,0.13603694787201703,0.4355322807222555,0.7868193563865072,1.4768986072160812,0.17491749174917492,0.297029702970297,pass,pass,True,
S5,eligible_universe_primary,212415,1086,467,149,1.4600179985253614,match_return20,0.1318103880114505,0.3964625155307992,0.724018893815416,1.4600179985253614,0.18181818181818182,0.29818181818181816,pass,pass,True,
A_VOL60_top10,eligible_universe_primary,212415,1396,500,170,1.466455454923817,match_return20,0.14271122962746344,0.5089584442070078,0.9602050222908626,1.466455454923817,0.18229166666666666,0.3098958333333333,pass,pass,True,
A_VOL60_top20,eligible_universe_primary,212415,1240,474,161,1.4825821967122574,match_return20,0.126629060962121,0.48788785116269695,0.8339039707136224,1.4825821967122574,0.1782477341389728,0.311178247734139,pass,pass,True,
A_VOL60_top30,eligible_universe_primary,212415,1082,455,146,1.4626634468046045,match_return20,0.11204539995452202,0.4265111682079947,0.6913231630215891,1.4626634468046045,0.18861209964412812,0.3167259786476868,pass,pass,True,
A_ATR20_top10,eligible_universe_primary,212415,1393,511,173,1.3845523303949023,match_return20,0.14172925651144627,0.49812458941067156,0.9628340079862288,1.3845523303949023,0.19796954314720813,0.3299492385786802,pass,pass,True,
A_ATR20_top20,eligible_universe_primary,212415,1236,494,167,1.3760728135796843,match_return20,0.11911258074294079,0.45926744228744504,0.8552352692591089,1.3760728135796843,0.187683284457478,0.3225806451612903,pass,pass,True,
A_ATR20_top30,eligible_universe_primary,212415,1080,480,155,1.347203879654534,match_return20,0.12259156271468291,0.37504120507350436,0.7464328332022911,1.347203879654534,0.17328519855595667,0.2924187725631769,pass,pass,True,
A_RET60_top10,eligible_universe_primary,212415,1384,503,165,1.4954825584592029,match_return20,0.18132294707475569,0.5044625780471373,0.9777145044169523,1.4954825584592029,0.17894736842105263,0.31842105263157894,pass,pass,True,
A_RET60_top20,eligible_universe_primary,212415,1240,489,163,1.613419484712251,match_return20,0.19450809313370704,0.47253838964788014,0.9153720515105345,1.613419484712251,0.16715542521994134,0.2991202346041056,pass,pass,True,
A_RET60_top30,eligible_universe_primary,212415,1086,465,159,1.6520576821478872,match_return20,0.1950258752626521,0.45641176546779,0.8838471420756854,1.6520576821478872,0.1705685618729097,0.2909698996655518,pass,pass,True,
