decision_date,rank_scope,rank_cross_section_n,rank_feature_n,rank_source_artifact,rank_source_before_outcome_join,forbidden_label_column_n,missing_required_feature_n,rank_source_gate,blocking_reason
2024-01-02,executable_universe_same_decision_date,499,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,1,pass,
2024-01-03,executable_universe_same_decision_date,499,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,1,pass,
2024-01-05,executable_universe_same_decision_date,499,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,1,pass,
2024-01-08,executable_universe_same_decision_date,499,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,1,pass,
2024-01-09,executable_universe_same_decision_date,499,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,1,pass,
2024-01-10,executable_universe_same_decision_date,499,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,1,pass,
2024-01-11,executable_universe_same_decision_date,498,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,1,pass,
2024-01-15,executable_universe_same_decision_date,499,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,1,pass,
2024-01-17,executable_universe_same_decision_date,499,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,1,pass,
2024-01-18,executable_universe_same_decision_date,499,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,1,pass,
2024-01-23,executable_universe_same_decision_date,499,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,1,pass,
2024-01-24,executable_universe_same_decision_date,499,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,1,pass,
2024-01-25,executable_universe_same_decision_date,499,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,1,pass,
2024-01-26,executable_universe_same_decision_date,499,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,1,pass,
2024-01-29,executable_universe_same_decision_date,499,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,1,pass,
2024-01-30,executable_universe_same_decision_date,499,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,1,pass,
2024-01-31,executable_universe_same_decision_date,499,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,1,pass,
2024-02-01,executable_universe_same_decision_date,499,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,1,pass,
2024-02-05,executable_universe_same_decision_date,499,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,1,pass,
2024-02-06,executable_universe_same_decision_date,499,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,1,pass,
2024-02-07,executable_universe_same_decision_date,499,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,1,pass,
2024-02-08,executable_universe_same_decision_date,499,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,1,pass,
2024-02-19,executable_universe_same_decision_date,498,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,2,pass,
2024-02-20,executable_universe_same_decision_date,498,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,2,pass,
2024-02-21,executable_universe_same_decision_date,498,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,2,pass,
2024-02-22,executable_universe_same_decision_date,498,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,2,pass,
2024-02-23,executable_universe_same_decision_date,498,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,2,pass,
2024-02-26,executable_universe_same_decision_date,498,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,2,pass,
2024-02-27,executable_universe_same_decision_date,498,4,pit_topn_400_100_executable_daily.csv + qfq close/money PIT features,True,0,2,pass,
