split_bucket,target_id,state_id,row_count,row_share,mean_y_payoff_h20,median_y_payoff_h20,min_y_payoff_h20,max_y_payoff_h20
train,y_payoff_h20,all_labelable,20245,1.0,0.020421700509241556,0.0040595399188092,-0.6418875242404654,2.2277904328018225
train,payoff_ordinal_h20_train_frozen,state_0_below_top30_payoff,14170,0.699925907631514,-0.04549373807873419,-0.03348420479200055,-0.6418875242404654,0.0596026490066226
train,payoff_ordinal_h20_train_frozen,state_1_top30_to_top20_payoff,2026,0.10007409236848605,0.07894469972265299,0.07845728856778561,0.0596330275229357,0.1012269938650307
train,payoff_ordinal_h20_train_frozen,state_2_top20_to_top10_payoff,2024,0.09997530254383799,0.1325930906739949,0.13009869100218854,0.1012345679012345,0.1721068249258159
train,payoff_ordinal_h20_train_frozen,state_3_top10_extreme_payoff,2025,0.10002469745616202,0.31099912011012254,0.2515212981744423,0.1721074241098472,2.2277904328018225
robustness,y_payoff_h20,all_labelable,2496,1.0,0.0348776146219519,0.01509814537055185,-0.3570127504553735,1.172723560636995
robustness,payoff_ordinal_h20_train_frozen,state_0_below_top30_payoff,1644,0.6586538461538461,-0.03858874620165215,-0.02690163779066255,-0.3570127504553735,0.0594333102971667
robustness,payoff_ordinal_h20_train_frozen,state_1_top30_to_top20_payoff,266,0.10657051282051282,0.07912909642812495,0.07926531539752245,0.0596714716728126,0.101184068891281
robustness,payoff_ordinal_h20_train_frozen,state_2_top20_to_top10_payoff,297,0.11899038461538461,0.133302984558797,0.1294964028776977,0.1012487343908201,0.1721068249258159
robustness,payoff_ordinal_h20_train_frozen,state_3_top10_extreme_payoff,289,0.11578525641025642,0.3109172968445126,0.27122381477398,0.172461752433936,1.172723560636995
validation,y_payoff_h20,all_labelable,664,1.0,0.026294033281092043,0.00447926184831845,-0.3207547169811321,1.2250316055625787
validation,payoff_ordinal_h20_train_frozen,state_0_below_top30_payoff,452,0.6807228915662651,-0.0527230669411973,-0.045971097161170746,-0.3207547169811321,0.0596026490066226
validation,payoff_ordinal_h20_train_frozen,state_1_top30_to_top20_payoff,67,0.10090361445783133,0.07992154613004723,0.0773195876288661,0.0600461893764434,0.1010971786833856
validation,payoff_ordinal_h20_train_frozen,state_2_top20_to_top10_payoff,61,0.09186746987951808,0.1346081769921117,0.1320667284522707,0.1027454242928453,0.1715228147333698
validation,payoff_ordinal_h20_train_frozen,state_3_top10_extreme_payoff,84,0.12650602409638553,0.33005026153374184,0.2695052331296621,0.1746765249537893,1.2250316055625787
