forbidden_column_family,forbidden_column_pattern,found_in_primary_feature_source,primary_feature_allowed,leakage_forbidden_column_gate,blocking_reason
future_payoff,future payoff,False,False,pass,
step_end_price,step_end price,False,False,pass,
step_end_return,step_end return,False,False,pass,
future_drawdown,future drawdown,False,False,pass,
oracle_action,oracle action,False,False,pass,
future_oracle_label,O1/O2/O4/O5 future labels,False,False,pass,
label_class,label_class if used as model feature,False,False,pass,
split_id,split id,False,False,pass,
instrument_id,instrument id as raw model feature,False,False,pass,
episode_cluster_id,episode cluster id as raw model feature,False,False,pass,
validation_robustness_outcome,validation / robustness outcome-derived columns,False,False,pass,
