split_bucket,target_id,signed_drawdown_threshold,observed_step_n,predicate_true_n,predicate_true_rate,signed_max_drawdown_min,signed_max_drawdown_max,positive_abs_drawdown_used_for_threshold,path_risk_sign_convention_gate,blocking_reason
train,risk_state_dd08,-0.08,20245,6490,0.3205729809829588,-0.6994182288299935,0.0,False,pass,
train,risk_state_dd10,-0.1,20245,4877,0.24089898740429735,-0.6994182288299935,0.0,False,pass,
train,risk_state_dd12,-0.12,20245,3583,0.17698197085700174,-0.6994182288299935,0.0,False,pass,
robustness,risk_state_dd08,-0.08,2496,731,0.29286858974358976,-0.3642002019327852,0.0,False,pass,
robustness,risk_state_dd10,-0.1,2496,526,0.2107371794871795,-0.3642002019327852,0.0,False,pass,
robustness,risk_state_dd12,-0.12,2496,369,0.14783653846153846,-0.3642002019327852,0.0,False,pass,
validation,risk_state_dd08,-0.08,664,237,0.3569277108433735,-0.3414367930144869,0.0,False,pass,
validation,risk_state_dd10,-0.1,664,180,0.2710843373493976,-0.3414367930144869,0.0,False,pass,
validation,risk_state_dd12,-0.12,664,133,0.2003012048192771,-0.3414367930144869,0.0,False,pass,
