instrument_id,decision_date,ordinary_exit_month,forced_exit_month,formation_mark_date,formation_mark,forced_exit_date,forced_exit_mark,deferred_gross_return,holding_calendar_days,deferred_resolution,failure_reason,affected_capacities,source_provider,source_payload_sha256,source_artifact,month1_last_mark_date,v5_source_last_trade_date,month1_last_date_matches_v5,mixed_provider_bridge_sensitivity
SH600372,2022-04-29,2022-05,2022-06,2022-04-29,16.474,2022-06-13,21.404,0.29925943911618313,45,resolved_first_mark_in_t_plus_2,,50,tencent_ifzq_qfq,f4b0c3c9b5ce4f311a984332ccaa14827723c2eca58eb08c6a2188a9e37bf4ba,source/tencent_qfq_bridge_SH600372_2022-04-01_2022-06-30.json,2022-05-26,2022-05-26,True,True
SH601298,2023-05-31,2023-06,2023-07,2023-05-31,6.227,2023-07-03,5.847,-0.06102457041914244,33,resolved_first_mark_in_t_plus_2,,50,tencent_ifzq_qfq,cebbf6a617813f2a3a1309afa8a889c3a84c1c0bee10641363a3305218ece73d,source/tencent_qfq_bridge_SH601298_2023-05-01_2023-07-31.json,2023-06-27,2023-06-27,True,True
SZ002049,2025-11-28,2025-12,2026-01,2025-11-28,75.754,2026-01-15,86.384,0.1403226232278163,48,resolved_first_mark_in_t_plus_2,,40|50,tencent_ifzq_qfq,83f62aa518afb5ee792b5e1d302719c02f420f6a10bce162a22de0729911bd93,source/tencent_qfq_bridge_SZ002049_2025-11-01_2026-01-31.json,2025-12-29,2025-12-29,True,True
SZ002064,2024-09-30,2024-10,2024-11,2024-09-30,8.1,2024-11-04,7.79,-0.03827160493827153,35,resolved_first_mark_in_t_plus_2,,50,tencent_ifzq_qfq,f5086384988bb9fabea24c1cfa4b3ba937d38ef59baac0bf6c40afb3e8687506,source/tencent_qfq_bridge_SZ002064_2024-09-01_2024-11-30.json,2024-10-28,2024-10-28,True,True
